Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5202313346,HypeBigelow,0,113.7,1B Bryce Harper 2B Bryson Stott 3B Kazuma Okamoto C Harry Ford OF Esmerlyn Valdez OF A.J. Ewing OF Daulton Varsho P Tarik Skubal P Sean Manaea SS Francisco Lindor,,Tarik Skubal,P,76.06%,18
2,5202377050,jokerdpo (2/2),0,113.4,1B Bryce Harper 2B Ozzie Albies 3B Kazuma Okamoto C Alejandro Kirk OF A.J. Ewing OF Daulton Varsho OF Nathan Lukes P Tarik Skubal P Trey Yesavage SS Francisco Lindor,,Jesus Luzardo,P,53.52%,6.25
3,5202172451,Aoteoroa (2/2),0,110.25,1B Spencer Torkelson 2B Bryson Stott 3B Kazuma Okamoto C Alejandro Kirk OF George Springer OF Brandon Marsh OF Yohendrick Pinango P Tarik Skubal P Jesus Luzardo SS Ernie Clement,,Bryce Harper,1B,30.99%,12
4,5202225832,wittwerjoe (2/2),0,108.4,1B Bryce Harper 2B Hao-Yu Lee 3B Alec Bohm C Gabriel Moreno OF Corbin Carroll OF Max Kepler OF Justin Crawford P Tarik Skubal P Trey Yesavage SS Geraldo Perdomo,,Daulton Varsho,OF,26.76%,10
4,5202281232,hcnpower (2/2),0,108.4,1B Bryce Harper 2B Ernie Clement 3B Alec Bohm C J.T. Realmuto OF George Springer OF Daulton Varsho OF Nathan Lukes P Tarik Skubal P Eduardo Rodriguez SS Trea Turner,,George Springer,OF,25.35%,9
6,5202393297,grantgoupil (2/2),0,108.1,1B Matt Olson 2B Ozzie Albies 3B Kazuma Okamoto C Drake Baldwin OF Michael Harris II OF Nathan Lukes OF Eli White P Trey Yesavage P Trevor Rogers SS Trea Turner,,Francisco Lindor,SS,25.35%,4
7,5202409853,Mige1 (2/2),0,106.7,1B Luis Garcia Jr. 2B Ernie Clement 3B Kazuma Okamoto C Gabriel Moreno OF George Springer OF Daulton Varsho OF Yohendrick Pinango P Tarik Skubal P Sean Manaea SS Geraldo Perdomo,,Kazuma Okamoto,3B,23.94%,19
8,5202100709,Wanna_Square_Up1567 (2/2),0,105.7,1B Tim Tawa 2B Ketel Marte 3B Edmundo Sosa C Gabriel Moreno OF Corbin Carroll OF Max Kepler OF Daulton Varsho P Tarik Skubal P Sean Manaea SS Trea Turner,,Bryson Stott,2B,22.54%,15
9,5202094866,Draftking1124,0,105.65,1B Bryce Harper 2B Ernie Clement 3B Kazuma Okamoto C Alejandro Kirk OF George Springer OF Carson Benge OF Daulton Varsho P Jesus Luzardo P Eduardo Rodriguez SS Francisco Lindor,,James Wood,OF,22.54%,12
10,5202225831,wittwerjoe (1/2),0,105.4,1B Bryce Harper 2B Hao-Yu Lee 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF Daulton Varsho OF Justin Crawford P Tarik Skubal P Trey Yesavage SS Geraldo Perdomo,,Nathan Lukes,OF,19.72%,4
11,5202059491,jordanh415,0,105.25,1B Bryce Harper 2B Bryson Stott 3B Kazuma Okamoto C Alejandro Kirk OF George Springer OF Max Kepler OF Daulton Varsho P Tarik Skubal P Jesus Luzardo SS Andres Gimenez,,Brandon Marsh,OF,19.72%,3
11,5202366808,Paulo21613 (2/2),0,105.25,1B Bryce Harper 2B Bryson Stott 3B Alec Bohm C J.T. Realmuto OF George Springer OF Daulton Varsho OF Davis Schneider P Tarik Skubal P Jesus Luzardo SS Trea Turner,,A.J. Ewing,OF,18.31%,19
13,5202377139,bleeski (2/2),0,103.4,1B Spencer Torkelson 2B Bryson Stott 3B Brady House C Harry Ford OF James Wood OF Daylen Lile OF Yohendrick Pinango P Tarik Skubal P Eduardo Rodriguez SS Francisco Lindor,,Hao-Yu Lee,2B,16.90%,2
14,5202405484,sphere3d,0,99.95,1B Bryce Harper 2B Bryson Stott 3B Kazuma Okamoto C Gabriel Moreno OF George Springer OF Daylen Lile OF Brandon Marsh P Jesus Luzardo P Trevor Rogers SS Geraldo Perdomo,,Luis Garcia Jr.,1B,16.90%,5
15,5202174118,newulmspeedy (1/2),0,98.4,1B Luis Garcia Jr. 2B Hao-Yu Lee 3B Alec Bohm C Gabriel Moreno OF Corbin Carroll OF Justin Crawford OF Nathan Lukes P Tarik Skubal P Eduardo Rodriguez SS Geraldo Perdomo,,Brady House,3B,16.90%,0
15,5202403626,hdcary11 (2/2),0,98.4,1B Bryce Harper 2B Hao-Yu Lee 3B Jorge Polanco C Gabriel Moreno OF Corbin Carroll OF Brandon Marsh OF Justin Crawford P Tarik Skubal P Trey Yesavage SS Geraldo Perdomo,,Alejandro Kirk,C,15.49%,6
17,5201937151,TheBabz,0,97.95,1B Pete Alonso 2B Bryson Stott 3B Nolan Arenado C Gabriel Moreno OF Taylor Ward OF George Springer OF Nathan Lukes P Jesus Luzardo P Trevor Rogers SS Trea Turner,,Alec Bohm,3B,15.49%,5
18,5202100708,Wanna_Square_Up1567 (1/2),0,96.7,1B Luis Garcia Jr. 2B Davis Schneider 3B Kazuma Okamoto C Henry Davis OF James Wood OF Daulton Varsho OF Nathan Lukes P Tarik Skubal P Trevor Rogers SS Ernie Clement,,Corbin Carroll,OF,15.49%,12
19,5201962014,pgk8 (1/2),0,96.3,1B Matt Olson 2B Xavier Edwards 3B Austin Riley C Joey Bart OF Michael Harris II OF Heriberto Hernandez OF Mauricio Dubon P Tarik Skubal P Zack Littell SS Otto Lopez,,Geraldo Perdomo,SS,15.49%,0
20,5202369390,jokerdpo (1/2),0,96.25,1B Bryce Harper 2B Bryson Stott 3B Kazuma Okamoto C J.T. Realmuto OF Brandon Marsh OF Daulton Varsho OF Edmundo Sosa P Tarik Skubal P Jesus Luzardo SS Francisco Lindor,,Gabriel Moreno,C,14.08%,20
21,5202264021,newulmspeedy (2/2),0,95.95,1B Bryce Harper 2B Bryson Stott 3B Christian Encarnacion-Strand C J.T. Realmuto OF Corbin Carroll OF George Springer OF A.J. Ewing P Jesus Luzardo P Trevor Rogers SS Francisco Lindor,,Andres Gimenez,SS,14.08%,2
22,5202067512,jpeyton1219,0,95.7,1B Spencer Torkelson 2B Ildemaro Vargas 3B Bo Bichette C J.T. Realmuto OF Ronald Acuna Jr. OF A.J. Ewing OF Max Kepler P Tarik Skubal P Trevor Rogers SS Francisco Lindor,,J.T. Realmuto,C,14.08%,4
22,5202407682,Darkmen715 (1/2),0,95.7,1B Bryce Harper 2B Bryson Stott 3B Jorge Polanco C Dillon Dingler OF Riley Greene OF Brandon Marsh OF Davis Schneider P Tarik Skubal P Sean Manaea SS Trea Turner,,Harry Ford,C,14.08%,2
22,5202415496,Darkmen715 (2/2),0,95.7,1B Spencer Torkelson 2B Ketel Marte 3B Jorge Polanco C Gabriel Moreno OF Corbin Carroll OF George Springer OF Tyler O'Neill P Tarik Skubal P Sean Manaea SS Geraldo Perdomo,,Trey Yesavage,P,14.08%,21.4
25,5202194277,LUE92,0,93.4,1B Luis Garcia Jr. 2B Gleyber Torres 3B Brady House C Harry Ford OF James Wood OF Jacob Young OF Yohendrick Pinango P Tarik Skubal P Eduardo Rodriguez SS Javier Baez,,Trevor Rogers,P,12.68%,12.7
25,5202392953,millermdm (1/2),0,93.4,1B Tim Tawa 2B Davis Schneider 3B Nolan Arenado C Alejandro Kirk OF James Wood OF Daulton Varsho OF Nathan Lukes P Tarik Skubal P Eduardo Rodriguez SS Otto Lopez,,Yohendrick Pinango,OF,12.68%,6
27,5202392954,millermdm (2/2),0,93.25,1B Bryce Harper 2B Davis Schneider 3B Alec Bohm C Eduardo Valencia OF George Springer OF Brandon Marsh OF Daulton Varsho P Tarik Skubal P Jesus Luzardo SS Trea Turner,,Sean Manaea,P,12.68%,12.7
