Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5202365765,dreday7,0,61.5,CPT A.J. Ewing UTIL Matt Olson UTIL Bo Bichette UTIL Francisco Lindor UTIL Carson Benge UTIL Mauricio Dubon,,Jorge Polanco,UTIL,56.52%,0
2,5202211906,beccapatt,0,60.2,CPT Sean Manaea UTIL A.J. Ewing UTIL Francisco Alvarez UTIL Brett Baty UTIL Jorge Polanco UTIL AJ Smith-Shawver,,Mauricio Dubon,UTIL,43.48%,3
3,5201822047,aramisj22,0,58.2,CPT Sean Manaea UTIL A.J. Ewing UTIL Mauricio Dubon UTIL Jared Young UTIL Jorge Polanco UTIL AJ Smith-Shawver,,Ronald Acuna Jr.,UTIL,43.48%,2
4,5202174777,whoisjohngalt420,0,54,CPT Drake Baldwin UTIL Matt Olson UTIL Francisco Lindor UTIL Austin Riley UTIL A.J. Ewing UTIL Jorge Polanco,,Jared Young,UTIL,34.78%,7
5,5202239998,macyfan,0,51.05,CPT Sean Manaea UTIL Ronald Acuna Jr. UTIL Francisco Lindor UTIL A.J. Ewing UTIL Jared Young UTIL Jorge Polanco,,A.J. Ewing,UTIL,30.43%,19
6,5202349295,grantgoupil,0,50.199997,CPT Sean Manaea UTIL Carson Benge UTIL Jared Young UTIL Tyrone Taylor UTIL Jorge Polanco UTIL AJ Smith-Shawver,,Matt Olson,UTIL,30.43%,16
7,5202239645,oaktownchamps,0,47.225,CPT AJ Smith-Shawver UTIL Drake Baldwin UTIL Mauricio Dubon UTIL Francisco Alvarez UTIL Joey Bart UTIL Jared Young,,Francisco Alvarez,UTIL,30.43%,7
8,5201983792,jarradkern,0,47,CPT Eli White UTIL Ronald Acuna Jr. UTIL Drake Baldwin UTIL Matt Olson UTIL Bo Bichette UTIL Carson Benge,,Sean Manaea,CPT,26.09%,19.05
9,5202051395,Stolle76,0,42,CPT Ronald Acuna Jr. UTIL Austin Riley UTIL Carson Benge UTIL A.J. Ewing UTIL Mauricio Dubon UTIL Francisco Alvarez,,Bo Bichette,UTIL,26.09%,0
9,5202445940,ScottNjustbeatyou,0,42,CPT Ronald Acuna Jr. UTIL Drake Baldwin UTIL Ozzie Albies UTIL A.J. Ewing UTIL Mauricio Dubon UTIL Jared Young,,Carson Benge,UTIL,26.09%,10
11,5202383761,Donny521Mac,0,41.5,CPT A.J. Ewing UTIL Ronald Acuna Jr. UTIL Ozzie Albies UTIL Bo Bichette UTIL Francisco Lindor UTIL Jared Young,,Francisco Lindor,UTIL,26.09%,4
12,5202034945,josephje,0,40.225,CPT AJ Smith-Shawver UTIL Ronald Acuna Jr. UTIL Drake Baldwin UTIL Jared Young UTIL Eli White UTIL Jorge Polanco,,Ozzie Albies,UTIL,26.09%,0
13,5202409346,IHATEbrady1,0,39,CPT Michael Harris II UTIL Bo Bichette UTIL Austin Riley UTIL Carson Benge UTIL A.J. Ewing UTIL Francisco Alvarez,,Austin Riley,UTIL,21.74%,0
14,5202399953,sportsfan14,0,37.7,CPT Francisco Lindor UTIL Sean Manaea UTIL Ronald Acuna Jr. UTIL Carson Benge UTIL Francisco Alvarez UTIL Jorge Polanco,,Brett Baty,UTIL,21.74%,5
15,5202202325,goodness78,0,37.05,CPT Sean Manaea UTIL Ronald Acuna Jr. UTIL Ozzie Albies UTIL Francisco Alvarez UTIL Brett Baty UTIL Tyrone Taylor,,AJ Smith-Shawver,UTIL,17.39%,10.15
16,5202342624,buckstar,0,36.85,CPT Francisco Lindor UTIL Sean Manaea UTIL Mauricio Dubon UTIL Brett Baty UTIL Jorge Polanco UTIL AJ Smith-Shawver,,Drake Baldwin,UTIL,17.39%,10
17,5202455044,kmk124,0,33,CPT Francisco Lindor UTIL Ronald Acuna Jr. UTIL Matt Olson UTIL Ozzie Albies UTIL Mauricio Dubon UTIL Eli White,,Ronald Acuna Jr.,CPT,17.39%,3
18,5202412909,74riZionup,0,31.225,CPT AJ Smith-Shawver UTIL Ronald Acuna Jr. UTIL Francisco Lindor UTIL Mauricio Dubon UTIL Jared Young UTIL Jorge Polanco,,Eli White,UTIL,13.04%,6
19,5202054109,corruption79,0,29.05,CPT Sean Manaea UTIL Ronald Acuna Jr. UTIL Bo Bichette UTIL Mauricio Dubon UTIL Brett Baty UTIL Jorge Polanco,,AJ Smith-Shawver,CPT,13.04%,15.23
20,5202439537,jazzygirl565,0,25,CPT Ozzie Albies UTIL Ronald Acuna Jr. UTIL Matt Olson UTIL Michael Harris II UTIL Joey Bart UTIL Jorge Polanco,,Francisco Lindor,CPT,13.04%,6
21,5202226499,wittwerjoe,0,24,CPT Ozzie Albies UTIL Matt Olson UTIL Michael Harris II UTIL Austin Riley UTIL Eli White UTIL Jorge Polanco,,Tyrone Taylor,UTIL,8.70%,4
22,5202404523,bleeski,0,22,CPT Ronald Acuna Jr. UTIL Matt Olson UTIL Ozzie Albies UTIL Austin Riley UTIL Mauricio Dubon UTIL Jorge Polanco,,Michael Harris II,UTIL,8.70%,2
23,5202263138,twtombo412,0,19,CPT Ronald Acuna Jr. UTIL Ozzie Albies UTIL Bo Bichette UTIL Francisco Lindor UTIL Francisco Alvarez UTIL Brett Baty,,Ozzie Albies,CPT,8.70%,0
,,,,,,,Joey Bart,UTIL,8.70%,5
,,,,,,,Sean Manaea,UTIL,8.70%,12.7
,,,,,,,A.J. Ewing,CPT,8.70%,28.5
,,,,,,,Eli White,CPT,4.35%,9
,,,,,,,Drake Baldwin,CPT,4.35%,15
,,,,,,,Michael Harris II,CPT,4.35%,3
