Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5202387202,samsli,0,113.4,1B Kyle Stowers 2B Bryson Stott 3B Brady House C Gabriel Moreno OF James Wood OF Carson Benge OF Eli White P Tarik Skubal P Trey Yesavage SS Javier Sanoja,,Tarik Skubal,P,60.87%,18
2,5202346512,MrPointman,0,113.3,1B Bryce Harper 2B Gleyber Torres 3B Javier Sanoja C Liam Hicks OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Tarik Skubal P Zack Littell SS Otto Lopez,,Jesus Luzardo,P,56.52%,6.25
3,5202396366,meyers2305,0,109.8,1B Spencer Torkelson 2B Ketel Marte 3B Jorge Polanco C Gabriel Moreno OF Ronald Acuna Jr. OF Corbin Carroll OF Max Kepler P Eduardo Rodriguez P Trey Yesavage SS Geraldo Perdomo,,Bryce Harper,1B,39.13%,12
4,5202369631,buckstar,0,107.25,1B Bryce Harper 2B Bryson Stott 3B Alec Bohm C Alejandro Kirk OF George Springer OF Daulton Varsho OF Davis Schneider P Tarik Skubal P Jesus Luzardo SS Trea Turner,,Bryson Stott,2B,34.78%,15
5,5202383046,cunningdog3,0,99.6,1B Bryce Harper 2B Xavier Edwards 3B Kazuma Okamoto C Alejandro Kirk OF James Wood OF Esmerlyn Valdez OF Nathan Lukes P Trevor Rogers P Jared Jones SS Francisco Lindor,,Francisco Lindor,SS,30.43%,4
6,5202347004,Nbot11,0,90.15,1B Bryce Harper 2B Bryson Stott 3B Alec Bohm C J.T. Realmuto OF James Wood OF Taylor Ward OF Bryan De La Cruz P Jesus Luzardo P Jared Jones SS Gunnar Henderson,,James Wood,OF,26.09%,12
7,5202355848,moldova,0,89.6,1B Pete Alonso 2B Nasim Nunez 3B Javier Sanoja C Liam Hicks OF James Wood OF Taylor Ward OF Heriberto Hernandez P Trevor Rogers P Jared Jones SS Otto Lopez,,Jared Jones,P,21.74%,13.9
8,5202389492,Jackie2424,0,89.25,1B Matt Olson 2B Nick Gonzales 3B Brett Baty C Eduardo Valencia OF Carson Benge OF A.J. Ewing OF Tyrone Taylor P Tarik Skubal P Jesus Luzardo SS Francisco Lindor,,Ronald Acuna Jr.,OF,21.74%,2
9,5202374514,peterjpacheco,0,87.25,1B Matt Olson 2B Bryson Stott 3B Austin Riley C Eduardo Valencia OF A.J. Ewing OF Mauricio Dubon OF Bryan De La Cruz P Tarik Skubal P Jesus Luzardo SS Francisco Lindor,,Esmerlyn Valdez,OF,21.74%,2
10,5202355934,redyodagirl,0,87.15,1B Bryce Harper 2B Hao-Yu Lee 3B Kazuma Okamoto C Dillon Dingler OF Riley Greene OF Jacob Young OF Javier Baez P Jesus Luzardo P Jared Jones SS Kevin McGonigle,,Taylor Ward,OF,21.74%,11
11,5202338949,louka001,0,86.4,1B Ildemaro Vargas 2B Hao-Yu Lee 3B Christian Encarnacion-Strand C Eduardo Valencia OF James Wood OF Taylor Ward OF Max Kepler P Tarik Skubal P Eduardo Rodriguez SS Geraldo Perdomo,,Trey Yesavage,P,17.39%,21.4
12,5202377711,bleeski,0,83.65,1B Bryce Harper 2B Bryson Stott 3B Alec Bohm C J.T. Realmuto OF Bryan Reynolds OF Esmerlyn Valdez OF George Springer P Jesus Luzardo P Trey Yesavage SS Francisco Lindor,,Zack Littell,P,17.39%,10.3
13,5202362105,chex43,0,78.25,1B Spencer Torkelson 2B Gleyber Torres 3B Nick Gonzales C Eduardo Valencia OF Bryan Reynolds OF Esmerlyn Valdez OF Marcell Ozuna P Tarik Skubal P Jesus Luzardo SS Javier Baez,,Matt Olson,1B,17.39%,16
14,5202337770,pgk8,0,76.4,1B Pete Alonso 2B Ernie Clement 3B Kazuma Okamoto C Harry Ford OF Taylor Ward OF Daulton Varsho OF Yohendrick Pinango P Jesus Luzardo P AJ Smith-Shawver SS Andres Gimenez,,Michael Harris II,OF,17.39%,2
15,5202366399,whoisjohngalt420,0,76.25,1B Bryce Harper 2B Bryson Stott 3B Alec Bohm C J.T. Realmuto OF Esmerlyn Valdez OF Marcell Ozuna OF Justin Crawford P Tarik Skubal P Jesus Luzardo SS Francisco Lindor,,George Springer,OF,17.39%,9
16,5202378076,Wanna_Square_Up1567,0,74.3,1B Jared Young 2B Bryson Stott 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Eli White P Tarik Skubal P Zack Littell SS Francisco Lindor,,Alec Bohm,3B,17.39%,5
17,5202316226,tmoney88,0,74.25,1B Bryce Harper 2B Davis Schneider 3B Brady House C Alejandro Kirk OF Ronald Acuna Jr. OF George Springer OF Daulton Varsho P Tarik Skubal P Jesus Luzardo SS Andres Gimenez,,Brady House,3B,17.39%,0
18,5202372486,Elwaysarmy,0,68.9,1B Bryce Harper 2B Nasim Nunez 3B Brady House C Harry Ford OF Daylen Lile OF Daulton Varsho OF Yohendrick Pinango P Tarik Skubal P Jared Jones SS CJ Abrams,,J.T. Realmuto,C,17.39%,4
19,5202305210,salatso22,0,68.7,1B Luis Garcia Jr. 2B Davis Schneider 3B Brady House C Harry Ford OF George Springer OF Daylen Lile OF Yohendrick Pinango P Tarik Skubal P Trevor Rogers SS CJ Abrams,,Daulton Varsho,OF,17.39%,10
20,5202304674,KETTLEHEADS,0,68.65,1B Pete Alonso 2B Bryson Stott 3B Christian Encarnacion-Strand C J.T. Realmuto OF Ronald Acuna Jr. OF Michael Harris II OF Taylor Ward P Jesus Luzardo P Trey Yesavage SS Andres Gimenez,,Eduardo Valencia,C,17.39%,4
21,5202363098,clags22,0,66.3,1B Luis Garcia Jr. 2B Nick Gonzales 3B Jared Triolo C Henry Davis OF James Wood OF Bryan Reynolds OF Esmerlyn Valdez P Tarik Skubal P Zack Littell SS Geraldo Perdomo,,Trevor Rogers,P,13.04%,12.7
22,5202378166,cb777,0,63.25,1B Matt Olson 2B Jorge Polanco 3B Austin Riley C Francisco Alvarez OF Michael Harris II OF Eli White OF Tyrone Taylor P Tarik Skubal P Jesus Luzardo SS Francisco Lindor,,Pete Alonso,1B,13.04%,3
23,5202328879,sportsfan14,0,57.55,1B Matt Olson 2B Ozzie Albies 3B Brett Baty C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Tyrone Taylor P Jesus Luzardo P Zack Littell SS Kevin McGonigle,,Bryan Reynolds,OF,13.04%,5
,,,,,,,Kazuma Okamoto,3B,13.04%,19
,,,,,,,Geraldo Perdomo,SS,13.04%,0
,,,,,,,Austin Riley,3B,13.04%,0
,,,,,,,Nick Gonzales,2B,13.04%,3
,,,,,,,A.J. Ewing,OF,13.04%,19
,,,,,,,Harry Ford,C,13.04%,2
,,,,,,,Alejandro Kirk,C,13.04%,6
,,,,,,,Javier Sanoja,3B,13.04%,7
,,,,,,,Andres Gimenez,SS,13.04%,2
,,,,,,,Yohendrick Pinango,OF,13.04%,6
,,,,,,,Eli White,OF,13.04%,6
,,,,,,,Tyrone Taylor,OF,13.04%,4
,,,,,,,Davis Schneider,2B,13.04%,9
,,,,,,,Eduardo Rodriguez,P,8.70%,22.4
,,,,,,,CJ Abrams,SS,8.70%,4
,,,,,,,Corbin Carroll,OF,8.70%,12
,,,,,,,Drake Baldwin,C,8.70%,10
,,,,,,,Luis Garcia Jr.,1B,8.70%,5
,,,,,,,Kevin McGonigle,SS,8.70%,2
,,,,,,,Otto Lopez,SS,8.70%,12
,,,,,,,Gabriel Moreno,C,8.70%,20
,,,,,,,Gleyber Torres,2B,8.70%,5
,,,,,,,Liam Hicks,C,8.70%,2
,,,,,,,Carson Benge,OF,8.70%,10
,,,,,,,Nasim Nunez,2B,8.70%,0
,,,,,,,Daylen Lile,OF,8.70%,3
,,,,,,,Spencer Torkelson,1B,8.70%,21
,,,,,,,Heriberto Hernandez,OF,8.70%,16
,,,,,,,Max Kepler,OF,8.70%,8
,,,,,,,Christian Encarnacion-Strand,3B,8.70%,2
,,,,,,,Marcell Ozuna,OF,8.70%,0
,,,,,,,Brett Baty,3B,8.70%,5
,,,,,,,Hao-Yu Lee,2B,8.70%,2
,,,,,,,Jorge Polanco,2B,8.70%,0
,,,,,,,Bryan De La Cruz,OF,8.70%,2
,,,,,,,Javier Baez,SS,8.70%,14
,,,,,,,Dillon Dingler,C,4.35%,3
,,,,,,,Ketel Marte,2B,4.35%,3
,,,,,,,Gunnar Henderson,SS,4.35%,9
,,,,,,,Trea Turner,SS,4.35%,17
,,,,,,,Riley Greene,OF,4.35%,6
,,,,,,,Ozzie Albies,2B,4.35%,0
,,,,,,,Ernie Clement,2B,4.35%,7
,,,,,,,Xavier Edwards,2B,4.35%,14
,,,,,,,Kyle Stowers,1B,4.35%,4
,,,,,,,Mauricio Dubon,OF,4.35%,3
,,,,,,,Francisco Alvarez,C,4.35%,7
,,,,,,,Ildemaro Vargas,1B,4.35%,7
,,,,,,,Jacob Young,OF,4.35%,9
,,,,,,,Justin Crawford,OF,4.35%,10
,,,,,,,Nathan Lukes,OF,4.35%,4
,,,,,,,Jared Young,1B,4.35%,7
,,,,,,,Henry Davis,C,4.35%,0
