Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Roki Sasaki (43677090),Roki Sasaki,43677090,UTIL,11200,LAD@NYM 07/24/2026 07:10PM ET,LAD,12.26
SP,Emmet Sheehan (43677141),Emmet Sheehan,43677141,UTIL,11200,LAD@NYM 07/24/2026 07:10PM ET,LAD,13.39
OF,Kyle Tucker (43677200),Kyle Tucker,43677200,CPT,11100,LAD@NYM 07/24/2026 07:10PM ET,LAD,7.03
C,Will Smith (43677219),Will Smith,43677219,CPT,10800,LAD@NYM 07/24/2026 07:10PM ET,LAD,6.21
1B/OF,Shohei Ohtani (43677092),Shohei Ohtani,43677092,UTIL,10600,LAD@NYM 07/24/2026 07:10PM ET,LAD,9.39
3B,Bo Bichette (43677201),Bo Bichette,43677201,CPT,10500,LAD@NYM 07/24/2026 07:10PM ET,NYM,6.72
SP,Sean Manaea (43677091),Sean Manaea,43677091,UTIL,10400,LAD@NYM 07/24/2026 07:10PM ET,NYM,8.97
RP,Eric Lauer (43677142),Eric Lauer,43677142,UTIL,10200,LAD@NYM 07/24/2026 07:10PM ET,LAD,9.84
SP,Landon Knack (43677143),Landon Knack,43677143,UTIL,10200,LAD@NYM 07/24/2026 07:10PM ET,LAD,1.92
SP,River Ryan (43677144),River Ryan,43677144,UTIL,10200,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
SP,Bobby Miller (43677145),Bobby Miller,43677145,UTIL,10200,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
RP,Chayce McDermott (43677146),Chayce McDermott,43677146,UTIL,10200,LAD@NYM 07/24/2026 07:10PM ET,LAD,0.72
SP,Gavin Stone (43677147),Gavin Stone,43677147,UTIL,10200,LAD@NYM 07/24/2026 07:10PM ET,LAD,0
OF,Teoscar Hernandez (43677202),Teoscar Hernandez,43677202,CPT,10200,LAD@NYM 07/24/2026 07:10PM ET,LAD,6.85
RP,Justin Hagenman (43677148),Justin Hagenman,43677148,UTIL,10000,LAD@NYM 07/24/2026 07:10PM ET,NYM,0
SP,Tobias Myers (43677149),Tobias Myers,43677149,UTIL,10000,LAD@NYM 07/24/2026 07:10PM ET,NYM,2.58
SP,Kodai Senga (43677150),Kodai Senga,43677150,UTIL,10000,LAD@NYM 07/24/2026 07:10PM ET,NYM,5.28
RP,Xzavion Curry (43677151),Xzavion Curry,43677151,UTIL,10000,LAD@NYM 07/24/2026 07:10PM ET,NYM,3.32
SP,Jonah Tong (43677152),Jonah Tong,43677152,UTIL,10000,LAD@NYM 07/24/2026 07:10PM ET,NYM,7.83
OF,Carson Benge (43677203),Carson Benge,43677203,CPT,9900,LAD@NYM 07/24/2026 07:10PM ET,NYM,7.46
OF,Juan Soto (43677093),Juan Soto,43677093,UTIL,9600,LAD@NYM 07/24/2026 07:10PM ET,NYM,9.34
SS,Francisco Lindor (43677204),Francisco Lindor,43677204,CPT,9600,LAD@NYM 07/24/2026 07:10PM ET,NYM,7
3B/OF,Kike Hernandez (43677220),Kike Hernandez,43677220,CPT,9300,LAD@NYM 07/24/2026 07:10PM ET,LAD,15.5
1B,Freddie Freeman (43677094),Freddie Freeman,43677094,UTIL,9000,LAD@NYM 07/24/2026 07:10PM ET,LAD,8.23
