Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5208508597,aramisj22,0,67.8,CPT Andre Pallante UTIL Will Warren UTIL Ben Rice UTIL Nathan Church UTIL Ryan McMahon UTIL Blaze Jordan,,Will Warren,UTIL,78.26%,11.2
1,5209576781,Ezilodi,0,67.8,CPT Andre Pallante UTIL Will Warren UTIL JJ Wetherholt UTIL Bryan Torres UTIL Jimmy Crooks UTIL Cesar Prieto,,Andre Pallante,UTIL,69.57%,18.4
3,5209438953,Baca369,0,64.2,CPT Will Warren UTIL Andre Pallante UTIL Ben Rice UTIL Nathan Church UTIL Ryan McMahon UTIL Blaze Jordan,,Nathan Church,UTIL,47.83%,6
4,5209362776,grantgoupil,0,63.8,CPT Andre Pallante UTIL Will Warren UTIL JJ Wetherholt UTIL Jose Fermin UTIL Jimmy Crooks UTIL Cesar Prieto,,JJ Wetherholt,UTIL,39.13%,15
5,5208848986,11baller20,0,63.6,CPT Andre Pallante UTIL Luis Garcia Jr. UTIL JJ Wetherholt UTIL Alec Burleson UTIL Ryan McMahon UTIL Jimmy Crooks,,Alec Burleson,UTIL,39.13%,5
5,5208922597,whoisjohngalt420,0,63.6,CPT Andre Pallante UTIL JJ Wetherholt UTIL Alec Burleson UTIL Spencer Jones UTIL Blaze Jordan UTIL Jimmy Crooks,,Ben Rice,UTIL,34.78%,13
7,5209555064,coleproffer,0,62.1,CPT JJ Wetherholt UTIL Will Warren UTIL Andre Pallante UTIL Jose Fermin UTIL Nathan Church UTIL Ryan McMahon,,Bryan Torres,UTIL,34.78%,4
8,5209025021,jazzyj0619,0,61.2,CPT Will Warren UTIL Andre Pallante UTIL Ben Rice UTIL Nathan Church UTIL Ryan McMahon UTIL Austin Wells,,Spencer Jones,UTIL,30.43%,0
9,5209505758,beccapatt,0,57.8,CPT Andre Pallante UTIL Will Warren UTIL JJ Wetherholt UTIL Jose Fermin UTIL Bryan Torres UTIL Cesar Prieto,,Jose Fermin,UTIL,30.43%,0
10,5209566735,NYC5788,0,56.2,CPT Will Warren UTIL Andre Pallante UTIL Alec Burleson UTIL Nathan Church UTIL Bryan Torres UTIL Blaze Jordan,,Ryan McMahon,UTIL,30.43%,4
11,5209562571,martini13,0,56.1,CPT Alec Burleson UTIL Will Warren UTIL Andre Pallante UTIL Paul Goldschmidt UTIL Bryan Torres UTIL Jimmy Crooks,,Blaze Jordan,UTIL,30.43%,6
12,5209554125,bleeski,0,50.1,CPT Alec Burleson UTIL Will Warren UTIL Andre Pallante UTIL Jazz Chisholm Jr. UTIL Ryan McMahon UTIL Austin Wells,,Trent Grisham,UTIL,26.09%,0
13,5209356759,crf_333,0,47.2,CPT Will Warren UTIL Andre Pallante UTIL Trent Grisham UTIL Spencer Jones UTIL Nathan Church UTIL Blaze Jordan,,Austin Wells,UTIL,26.09%,3
14,5209077500,Stree,0,46.7,CPT Ben Rice UTIL Will Warren UTIL Jazz Chisholm Jr. UTIL Trent Grisham UTIL Bryan Torres UTIL Blaze Jordan,,Luis Garcia Jr.,UTIL,21.74%,2
15,5209403182,BuckyNation34,0,46.2,CPT Will Warren UTIL Andre Pallante UTIL Luis Garcia Jr. UTIL Jose Fermin UTIL Blaze Jordan UTIL Austin Wells,,Jazz Chisholm Jr.,UTIL,21.74%,6
16,5209516126,corruption79,0,45.5,CPT JJ Wetherholt UTIL Ben Rice UTIL Luis Garcia Jr. UTIL Alec Burleson UTIL Spencer Jones UTIL Austin Wells,,Jimmy Crooks,UTIL,21.74%,10
17,5209533674,MCSuchNSuch,0,44.9,CPT Alec Burleson UTIL Andre Pallante UTIL Ben Rice UTIL Spencer Jones UTIL Jose Fermin UTIL Nathan Church,,Cesar Prieto,UTIL,13.04%,0
18,5209450011,DUI-Guy,0,44.2,CPT Will Warren UTIL Andre Pallante UTIL Trent Grisham UTIL Spencer Jones UTIL Nathan Church UTIL Austin Wells,,Paul Goldschmidt,UTIL,4.35%,5
19,5209423104,mrmoz48,0,39.2,CPT Luis Garcia Jr. UTIL Will Warren UTIL JJ Wetherholt UTIL Trent Grisham UTIL Nathan Church UTIL Ryan McMahon,,,
20,5209231776,Aoteoroa,0,38.8,CPT Will Warren UTIL Ben Rice UTIL Jazz Chisholm Jr. UTIL Spencer Jones UTIL Jose Fermin UTIL Austin Wells,,,
21,5209091714,ulbreaker,0,37.8,CPT Will Warren UTIL Alec Burleson UTIL Jazz Chisholm Jr. UTIL Trent Grisham UTIL Nathan Church UTIL Bryan Torres,,,
21,5209271858,KILLANADZ24,0,37.8,CPT Will Warren UTIL Alec Burleson UTIL Jazz Chisholm Jr. UTIL Spencer Jones UTIL Nathan Church UTIL Bryan Torres,,,
23,5209358374,Diesel,0,35,CPT Luis Garcia Jr. UTIL Ben Rice UTIL JJ Wetherholt UTIL Trent Grisham UTIL Jose Fermin UTIL Bryan Torres,,,
