Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5209554145,bleeski,0,76.6,CPT Blaze Jordan UTIL Will Warren UTIL Andre Pallante UTIL Ben Rice UTIL JJ Wetherholt UTIL Jimmy Crooks,,Will Warren,UTIL,76.19%,11.2
2,5209576800,Ezilodi,0,65.6,CPT Andre Pallante UTIL JJ Wetherholt UTIL Alec Burleson UTIL Jazz Chisholm Jr. UTIL Nathan Church UTIL Blaze Jordan,,Andre Pallante,UTIL,61.90%,18.4
3,5208508616,aramisj22,0,64.2,CPT Will Warren UTIL Andre Pallante UTIL Ben Rice UTIL Nathan Church UTIL Ryan McMahon UTIL Blaze Jordan,,Blaze Jordan,UTIL,57.14%,6
3,5209438997,Baca369,0,64.2,CPT Will Warren UTIL Andre Pallante UTIL Ben Rice UTIL Nathan Church UTIL Ryan McMahon UTIL Blaze Jordan,,Ben Rice,UTIL,42.86%,13
5,5208922598,whoisjohngalt420,0,63.6,CPT Andre Pallante UTIL JJ Wetherholt UTIL Alec Burleson UTIL Spencer Jones UTIL Blaze Jordan UTIL Jimmy Crooks,,Alec Burleson,UTIL,42.86%,5
6,5209358430,Diesel,0,59.6,CPT Andre Pallante UTIL JJ Wetherholt UTIL Ivan Herrera UTIL Trent Grisham UTIL Bryan Torres UTIL Blaze Jordan,,Trent Grisham,UTIL,42.86%,0
7,5209566722,NYC5788,0,56.2,CPT Will Warren UTIL Andre Pallante UTIL Alec Burleson UTIL Nathan Church UTIL Bryan Torres UTIL Blaze Jordan,,Spencer Jones,UTIL,38.10%,0
8,5209077501,Stree,0,53.8,CPT Andre Pallante UTIL Will Warren UTIL Alec Burleson UTIL Spencer Jones UTIL Jimmy Crooks UTIL Cesar Prieto,,Nathan Church,UTIL,38.10%,6
9,5209020826,macyfan,0,50.2,CPT Will Warren UTIL Andre Pallante UTIL Jazz Chisholm Jr. UTIL Trent Grisham UTIL Blaze Jordan UTIL Austin Wells,,Jazz Chisholm Jr.,UTIL,33.33%,6
10,5208939412,jep4576,0,49.8,CPT Will Warren UTIL Ben Rice UTIL Alec Burleson UTIL Jazz Chisholm Jr. UTIL Blaze Jordan UTIL Austin Wells,,Austin Wells,UTIL,33.33%,3
11,5209365248,crf_333,0,47.2,CPT Will Warren UTIL Andre Pallante UTIL Trent Grisham UTIL Spencer Jones UTIL Nathan Church UTIL Blaze Jordan,,JJ Wetherholt,UTIL,28.57%,15
12,5209271862,KILLANADZ24,0,47.1,CPT Alec Burleson UTIL Will Warren UTIL Andre Pallante UTIL Spencer Jones UTIL Nathan Church UTIL Ryan McMahon,,Ryan McMahon,UTIL,23.81%,4
13,5209513040,corruption79,0,45.5,CPT JJ Wetherholt UTIL Ben Rice UTIL Luis Garcia Jr. UTIL Alec Burleson UTIL Spencer Jones UTIL Austin Wells,,Luis Garcia Jr.,UTIL,19.05%,2
14,5209552313,coleproffer,0,45.2,CPT Will Warren UTIL Andre Pallante UTIL Trent Grisham UTIL Spencer Jones UTIL Bryan Torres UTIL Blaze Jordan,,Bryan Torres,UTIL,19.05%,4
15,5209565518,L053R666,0,44.2,CPT Will Warren UTIL Andre Pallante UTIL Jazz Chisholm Jr. UTIL Trent Grisham UTIL Austin Wells UTIL Cesar Prieto,,Jimmy Crooks,UTIL,19.05%,10
16,5209505793,beccapatt,0,43.8,CPT Will Warren UTIL Luis Garcia Jr. UTIL JJ Wetherholt UTIL Trent Grisham UTIL Ryan McMahon UTIL Blaze Jordan,,Ivan Herrera,UTIL,9.52%,7
17,5209362881,grantgoupil,0,42.8,CPT Will Warren UTIL Ben Rice UTIL Jazz Chisholm Jr. UTIL Spencer Jones UTIL Bryan Torres UTIL Austin Wells,,Cesar Prieto,UTIL,9.52%,0
18,5209434195,mrmoz48,0,39.5,CPT Alec Burleson UTIL Ben Rice UTIL Luis Garcia Jr. UTIL Ivan Herrera UTIL Trent Grisham UTIL Jimmy Crooks,,Jose Fermin,UTIL,4.76%,0
19,5209231779,Aoteoroa,0,38.8,CPT Will Warren UTIL Ben Rice UTIL Jazz Chisholm Jr. UTIL Spencer Jones UTIL Jose Fermin UTIL Austin Wells,,,
20,5208856784,11baller20,0,37.8,CPT Will Warren UTIL Alec Burleson UTIL Jazz Chisholm Jr. UTIL Trent Grisham UTIL Nathan Church UTIL Ryan McMahon,,,
21,5209533705,MCSuchNSuch,0,36.2,CPT Luis Garcia Jr. UTIL Will Warren UTIL Ben Rice UTIL Trent Grisham UTIL Nathan Church UTIL Austin Wells,,,
