Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5223738779,tmoney88 (1/2),0,149.5,1B Ben Rice 2B Jose Tena 3B Nick Loftin C Salvador Perez OF Andy Pages OF Jac Caglianone OF Kyle Isbel P Parker Messick P Cade Cavalli SS Maikel Garcia,,Parker Messick,P,62.90%,29.4
2,5223701785,soonerbernie2002 (1/2),0,146.55,1B Kike Hernandez 2B Miguel Rojas 3B Maikel Garcia C Salvador Perez OF Teoscar Hernandez OF Lawrence Butler OF Tyler Tolbert P Chase Burns P Cade Cavalli SS Mookie Betts,,Teoscar Hernandez,OF,46.77%,7
3,5223773753,jsanders41,0,143.5,1B Abimelec Ortiz 2B Jose Tena 3B Maikel Garcia C Jose Trevino OF Andy Pages OF Teoscar Hernandez OF Angel Martinez P Parker Messick P Cade Cavalli SS Bobby Witt Jr.,,Andy Pages,OF,43.55%,5
4,5223736387,Extraqtt (1/2),0,140.5,1B Andres Chaparro 2B Jose Tena 3B Nick Loftin C Salvador Perez OF Shohei Ohtani OF Daylen Lile OF Jacob Young P Parker Messick P Cade Cavalli SS CJ Abrams,,Mookie Betts,SS,29.03%,24
5,5223449105,TY54321,0,139.85,1B Kike Hernandez 2B Donovan Walton 3B Max Muncy C Jonah Heim OF Andy Pages OF Kyle Tucker OF Teoscar Hernandez P Parker Messick P Roki Sasaki SS Mookie Betts,,Miguel Rojas,2B,27.42%,0
6,5223299403,amiezin,0,135.7,1B Kike Hernandez 2B Jazz Chisholm Jr. 3B Zack Gelof C Alejandro Kirk OF Heliot Ramos OF Lawrence Butler OF Carlos Cortes P Logan Gilbert P Walbert Urena SS Mookie Betts,,Ethan Pecko,P,25.81%,8.05
7,5223343265,Wanna_Square_Up1567 (2/2),0,132.5,1B Freddie Freeman 2B Jose Tena 3B Ryan McMahon C Ben Rortvedt OF Andy Pages OF Kyle Tucker OF Teoscar Hernandez P Parker Messick P Cade Cavalli SS George Lombard Jr.,,Cade Cavalli,P,25.81%,37.1
8,5223989198,xmalachi (2/2),0,129.25,1B Abimelec Ortiz 2B Jazz Chisholm Jr. 3B Nick Loftin C Ben Rice OF Trent Grisham OF Spencer Jones OF Jose Tena P Drew Rasmussen P Parker Messick SS Maikel Garcia,,Dustin May,P,20.97%,-13.5
9,5223736388,Extraqtt (2/2),0,125.9,1B Jeff McNeil 2B Jazz Chisholm Jr. 3B Max Muncy C Ben Rice OF Zack Gelof OF Lawrence Butler OF Henry Bolte P Parker Messick P Dustin May SS Gunnar Henderson,,Logan Gilbert,P,16.13%,14.45
10,5223932458,Mige1 (2/2),0,125.5,1B Freddie Freeman 2B Miguel Rojas 3B Brendan Donovan C Samuel Basallo OF Andy Pages OF Kike Hernandez OF Dylan Beavers P Parker Messick P Seth Lugo SS Mookie Betts,,Shohei Ohtani,1B,16.13%,2
11,5223762726,kngof9ex,0,123.5,1B Freddie Freeman 2B Miguel Rojas 3B Angel Genao C Jose Trevino OF Kyle Tucker OF Teoscar Hernandez OF Zac Veen P Parker Messick P Cade Cavalli SS Mookie Betts,,Dane Myers,OF,16.13%,5
12,5223343264,Wanna_Square_Up1567 (1/2),0,121.85,1B Josh Naylor 2B Cole Young 3B Brendan Donovan C Cal Raleigh OF Kyle Tucker OF Julio Rodriguez OF Lawrence Butler P Logan Gilbert P Parker Messick SS Mookie Betts,,Salvador Perez,C,16.13%,11
13,5223769591,bgwig500 (2/2),0,119.5,1B Pete Alonso 2B Jackson Holliday 3B Maikel Garcia C Samuel Basallo OF Jac Caglianone OF Wade Meckler OF Kyle Isbel P Parker Messick P Matthew Liberatore SS Gunnar Henderson,,Drew Rasmussen,P,14.52%,9.85
13,5223973927,Branaman12 (1/2),0,119.5,1B Abimelec Ortiz 2B Nasim Nunez 3B Ryan McMahon C Ben Rice OF Trent Grisham OF Heliot Ramos OF Spencer Jones P Parker Messick P Cade Cavalli SS CJ Abrams,,Eugenio Suarez,3B,14.52%,2
15,5223973928,Branaman12 (2/2),0,117.85,1B Tommy White 2B Jeff McNeil 3B Maikel Garcia C Salvador Perez OF Zack Gelof OF Lawrence Butler OF Henry Bolte P Logan Gilbert P Parker Messick SS Bobby Witt Jr.,,Bobby Witt Jr.,SS,14.52%,4
16,5223485575,drunkonpappy (1/2),0,116.85,1B Kike Hernandez 2B Miguel Rojas 3B Jose Ramirez C Salvador Perez OF Andy Pages OF Teoscar Hernandez OF Dane Myers P Parker Messick P Roki Sasaki SS Mookie Betts,,Trent Grisham,OF,14.52%,5
17,5223744600,Jackie2424,0,115.5,1B Luis Garcia Jr. 2B Jazz Chisholm Jr. 3B Ryan McMahon C Ben Rice OF Trent Grisham OF Zac Veen OF Colton Cowser P Parker Messick P Cade Cavalli SS Cole Carrigg,,Lawrence Butler,OF,12.90%,6
18,5223498115,rphdallas,0,114.5,1B Shohei Ohtani 2B Matt McLain 3B Eugenio Suarez C Jose Trevino OF Andy Pages OF Christian Yelich OF Dane Myers P Parker Messick P Cade Cavalli SS Miguel Rojas,,Kyle Tucker,OF,11.29%,8
19,5223983819,xmalachi (1/2),0,113.5,1B Michael Toglia 2B Miguel Rojas 3B Josh Smith C Carlos Narvaez OF Shohei Ohtani OF Andy Pages OF Teoscar Hernandez P Parker Messick P Cade Cavalli SS Mookie Betts,,Zac Veen,OF,9.68%,0
20,5223857700,bleeski (2/2),0,113.45,1B Pete Alonso 2B Josh Smith 3B Kazuma Okamoto C Alejandro Kirk OF Yordan Alvarez OF Andy Pages OF Brett Bateman P Cade Cavalli P Chris Bassitt SS Bobby Witt Jr.,,Nick Loftin,3B,9.68%,2
21,5223701786,soonerbernie2002 (2/2),0,112.85,1B Ben Rice 2B Jackson Holliday 3B Ryan McMahon C Austin Wells OF Trent Grisham OF Dylan Beavers OF Spencer Jones P Logan Gilbert P Parker Messick SS Gunnar Henderson,,Ben Rortvedt,C,9.68%,3
22,5223942899,andymilligan3,0,112.5,1B Luis Garcia Jr. 2B Jazz Chisholm Jr. 3B Junior Caminero C Liam Hicks OF Trent Grisham OF Heliot Ramos OF Petey Halpin P Parker Messick P Matthew Liberatore SS Taylor Walls,,Junior Caminero,3B,9.68%,9
23,5223968565,cb777 (1/2),0,112.45,1B Abimelec Ortiz 2B Connor Norby 3B Maikel Garcia C Samuel Basallo OF Jake McCarthy OF Mickey Moniak OF Zac Veen P Parker Messick P Ethan Pecko SS Cole Carrigg,,Tyler Stephenson,C,9.68%,0
24,5223857459,bleeski (1/2),0,111.9,1B Pete Alonso 2B Matt McLain 3B Isaac Paredes C Christian Vazquez OF Yordan Alvarez OF Trent Grisham OF Cam Smith P Chase Burns P Roki Sasaki SS George Lombard Jr.,,Abimelec Ortiz,1B,9.68%,9
25,5223996026,Razzle11,0,109.5,1B Pete Alonso 2B Jackson Holliday 3B Coby Mayo C Samuel Basallo OF Trent Grisham OF Dane Myers OF Colton Cowser P Parker Messick P Cade Cavalli SS Elly De La Cruz,,Jazz Chisholm Jr.,2B,9.68%,16
26,5223371637,RDB78,0,108.5,1B Nolan Schanuel 2B Jeff McNeil 3B Jose Ramirez C Salvador Perez OF Jake McCarthy OF Lawrence Butler OF Brett Bateman P Parker Messick P Cade Cavalli SS Bobby Witt Jr.,,Kike Hernandez,1B,9.68%,21
27,5223243215,SoCalHusker,0,108.25,1B Jeff McNeil 2B Connor Norby 3B Eugenio Suarez C Tyler Stephenson OF Andy Pages OF Teoscar Hernandez OF Dane Myers P Drew Rasmussen P Parker Messick SS Mookie Betts,,Ryan McMahon,3B,9.68%,5
28,5223992512,wittwerjoe (1/2),0,107.45,1B Sal Stewart 2B Matt McLain 3B Junior Caminero C Jose Trevino OF Teoscar Hernandez OF JJ Bleday OF Dane Myers P Parker Messick P Ethan Pecko SS Bobby Witt Jr.,,Samuel Basallo,C,9.68%,5
29,5223992513,wittwerjoe (2/2),0,106.45,1B Yandy Diaz 2B Richie Palacios 3B Junior Caminero C Jose Trevino OF Andy Pages OF Teoscar Hernandez OF Ryan Vilade P Parker Messick P Ethan Pecko SS Taylor Walls,,Matt McLain,2B,9.68%,20
30,5223767801,moldova,0,105.25,1B Abimelec Ortiz 2B Jose Tena 3B Isaac Paredes C Christian Vazquez OF Andy Pages OF Daylen Lile OF Jacob Young P Drew Rasmussen P Parker Messick SS CJ Abrams,,Luis Garcia Jr.,1B,9.68%,3
31,5223307900,jpeyton1219,0,101.5,1B Sal Stewart 2B Miguel Rojas 3B Jorbit Vivas C Brett Sullivan OF Teoscar Hernandez OF Julio Rodriguez OF Dominic Canzone P Chase Burns P Ethan Pecko SS Mookie Betts,,Maikel Garcia,3B,9.68%,15
32,5223907653,sasmallen,0,100.45,1B Shohei Ohtani 2B Adael Amador 3B Brendan Donovan C Tyler Stephenson OF Andy Pages OF Teoscar Hernandez OF Cam Smith P Parker Messick P Ethan Pecko SS Mookie Betts,,Kike Hernandez,OF,8.06%,21
33,5223945567,A1HoosierSales,0,99.149994,1B Shohei Ohtani 2B Miguel Rojas 3B Brendan Donovan C Moises Ballesteros OF Andy Pages OF Jake Bauers OF Teoscar Hernandez P Cade Cavalli P Ethan Pecko SS Mookie Betts,,Angel Genao,3B,8.06%,6
34,5223485576,drunkonpappy (2/2),0,98.9,1B Sal Stewart 2B Matt McLain 3B Eugenio Suarez C Tyler Stephenson OF Andy Pages OF Teoscar Hernandez OF Dane Myers P Parker Messick P Dustin May SS Mookie Betts,,Brendan Donovan,3B,8.06%,14
35,5223998204,Paulo21613 (1/2),0,98.85,1B Tommy White 2B Jeff McNeil 3B Nick Loftin C Ben Rice OF Lawrence Butler OF Henry Bolte OF Carlos Cortes P Logan Gilbert P Parker Messick SS Bobby Witt Jr.,,Jose Tena,2B,8.06%,21
36,5223985393,LoganGrewe50,0,97.45,1B Shohei Ohtani 2B Miguel Rojas 3B Angel Genao C Salvador Perez OF Andy Pages OF Teoscar Hernandez OF Dane Myers P Parker Messick P Ethan Pecko SS Mookie Betts,,Pete Alonso,1B,8.06%,14
37,5223650650,8EIGHT8,0,97.4,1B TJ Rumfield 2B Matt McLain 3B Junior Caminero C Brett Sullivan OF Shohei Ohtani OF Teoscar Hernandez OF Trent Grisham P Ethan Pecko P Chris Bassitt SS Mookie Betts,,Gunnar Henderson,SS,8.06%,12
38,5223802317,hcnpower (1/2),0,94.8,1B Alec Burleson 2B Travis Bazzana 3B Jose Ramirez C Jimmy Crooks OF Jordan Walker OF Angel Martinez OF Nathan Church P Parker Messick P Will Warren SS Angel Genao,,Elly De La Cruz,SS,8.06%,5
39,5223769590,bgwig500 (1/2),0,94.55,1B Nathaniel Lowe 2B Miguel Rojas 3B Coby Mayo C Carlos Narvaez OF Andy Pages OF Kyle Tucker OF Dylan Beavers P Logan Gilbert P Cade Cavalli SS Gunnar Henderson,,Shohei Ohtani,OF,8.06%,2
