Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5225703084,pat_the_hat2,0,73.55,CPT Jacob Misiorowski UTIL Chris Sale UTIL Austin Riley UTIL Cooper Pratt UTIL Luis Lara UTIL Mike Yastrzemski,,Jacob Misiorowski,UTIL,90.00%,25.9
2,5225738353,lpapesh,0,72.55,CPT Jacob Misiorowski UTIL Chris Sale UTIL Ozzie Albies UTIL Andrew Vaughn UTIL Joey Ortiz UTIL Mike Yastrzemski,,Chris Sale,UTIL,70.00%,16.7
2,5225757517,chelterbrand,0,72.55,CPT Jacob Misiorowski UTIL Chris Sale UTIL Ozzie Albies UTIL Andrew Vaughn UTIL Joey Ortiz UTIL Mike Yastrzemski,,Joey Ortiz,UTIL,70.00%,0
2,5225770764,bamamammith,0,72.55,CPT Jacob Misiorowski UTIL Chris Sale UTIL Ozzie Albies UTIL Andrew Vaughn UTIL Joey Ortiz UTIL Mike Yastrzemski,,Mike Yastrzemski,UTIL,65.00%,10
5,5225730236,CyclopeanCyborg,0,71.1,CPT Jackson Chourio UTIL Jacob Misiorowski UTIL Chris Sale UTIL Luis Lara UTIL Joey Ortiz UTIL Mike Yastrzemski,,Andrew Vaughn,UTIL,50.00%,5
6,5225721873,Ezilodi,0,70.6,CPT Chris Sale UTIL Jacob Misiorowski UTIL Drake Baldwin UTIL Mauricio Dubon UTIL Mike Yastrzemski UTIL Trevor Megill,,Ozzie Albies,UTIL,35.00%,2
7,5225745021,eaglezzz,0,70.55,CPT Jacob Misiorowski UTIL Chris Sale UTIL Gary Sanchez UTIL Andrew Vaughn UTIL Joey Ortiz UTIL Mike Yastrzemski,,Mauricio Dubon,UTIL,30.00%,6
7,5225782332,Rallycap,0,70.55,CPT Jacob Misiorowski UTIL Chris Sale UTIL Gary Sanchez UTIL Andrew Vaughn UTIL Joey Ortiz UTIL Mike Yastrzemski,,Jackson Chourio,UTIL,25.00%,7
9,5225735082,bposluszny,0,69.85,CPT Jacob Misiorowski UTIL Jackson Chourio UTIL Jake Bauers UTIL William Contreras UTIL Joey Ortiz UTIL Mike Yastrzemski,,Jake Bauers,UTIL,25.00%,0
10,5225752020,wittwerjoe,0,68.55,CPT Jacob Misiorowski UTIL Chris Sale UTIL Andrew Vaughn UTIL Cooper Pratt UTIL Luis Lara UTIL Joey Ortiz,,Austin Riley,UTIL,20.00%,0
11,5225707755,KristianFTM,0,67.85,CPT Jacob Misiorowski UTIL Jake Bauers UTIL William Contreras UTIL Gary Sanchez UTIL Andrew Vaughn UTIL Mike Yastrzemski,,Luis Lara,UTIL,20.00%,8
12,5225764336,wackkattack34,0,66.85,CPT Jacob Misiorowski UTIL Jackson Chourio UTIL William Contreras UTIL Ozzie Albies UTIL Andrew Vaughn UTIL Joey Ortiz,,Brice Turang,UTIL,15.00%,3
13,5225782365,vavo27,0,66.55,CPT Jacob Misiorowski UTIL Chris Sale UTIL Andrew Vaughn UTIL Cooper Pratt UTIL Mauricio Dubon UTIL Joey Ortiz,,Michael Harris II,UTIL,15.00%,10
14,5225772795,ffwaiverwiz,0,63.85,CPT Jacob Misiorowski UTIL Jackson Chourio UTIL Jake Bauers UTIL Austin Riley UTIL Luis Lara UTIL Mike Yastrzemski,,William Contreras,UTIL,15.00%,14
15,5225757495,scaliscal80,0,62.95,CPT Chris Sale UTIL Jacob Misiorowski UTIL Ozzie Albies UTIL Austin Riley UTIL Joey Ortiz UTIL Mike Yastrzemski,,Gary Sanchez,UTIL,15.00%,0
16,5225755314,newulmspeedy,0,58.6,CPT Joey Ortiz UTIL Jacob Misiorowski UTIL Chris Sale UTIL Jake Bauers UTIL Michael Harris II UTIL Mauricio Dubon,,Cooper Pratt,UTIL,15.00%,0
17,5225768952,Dandys,0,53.6,CPT Jake Bauers UTIL Jacob Misiorowski UTIL Chris Sale UTIL Andrew Vaughn UTIL Mauricio Dubon UTIL Joey Ortiz,,Ronald Acuna Jr.,UTIL,10.00%,4
18,5225707436,tresta1965,0,47.9,CPT Joey Ortiz UTIL Jacob Misiorowski UTIL Jackson Chourio UTIL Brice Turang UTIL Michael Harris II UTIL Ozzie Albies,,Drake Baldwin,UTIL,10.00%,0
19,5225745790,corruption79,0,39.7,CPT Drake Baldwin UTIL Chris Sale UTIL Ronald Acuna Jr. UTIL Brice Turang UTIL Mauricio Dubon UTIL Mike Yastrzemski,,Trevor Megill,UTIL,5.00%,3.65
20,5225724623,bleeski,0,27,CPT Ronald Acuna Jr. UTIL Brice Turang UTIL Michael Harris II UTIL Ozzie Albies UTIL Austin Riley UTIL Mauricio Dubon,,,
