Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Michael Wacha (43668927),Michael Wacha,43668927,UTIL,11400,KC@DET 07/23/2026 06:40PM ET,KC,15.54
SP,Kris Bubic (43668928),Kris Bubic,43668928,UTIL,11400,KC@DET 07/23/2026 06:40PM ET,KC,15.94
2B,Michael Massey (43668987),Michael Massey,43668987,CPT,11400,KC@DET 07/23/2026 06:40PM ET,KC,5.54
SP,Jack Flaherty (43668929),Jack Flaherty,43668929,UTIL,11200,KC@DET 07/23/2026 06:40PM ET,DET,12.89
SP,Jackson Jobe (43668930),Jackson Jobe,43668930,UTIL,11200,KC@DET 07/23/2026 06:40PM ET,DET,0
SP,Reese Olson (43668931),Reese Olson,43668931,UTIL,11200,KC@DET 07/23/2026 06:40PM ET,DET,0
SP,Yilber Diaz (43668932),Yilber Diaz,43668932,UTIL,11200,KC@DET 07/23/2026 06:40PM ET,DET,-17.3
3B/SS,Maikel Garcia (43669005),Maikel Garcia,43669005,CPT,11100,KC@DET 07/23/2026 06:40PM ET,KC,6.84
RP,Stephen Kolek (43668933),Stephen Kolek,43668933,UTIL,11000,KC@DET 07/23/2026 06:40PM ET,KC,11.51
RP,Seth Lugo (43668934),Seth Lugo,43668934,UTIL,11000,KC@DET 07/23/2026 06:40PM ET,KC,12.15
SP,Noah Cameron (43668935),Noah Cameron,43668935,UTIL,11000,KC@DET 07/23/2026 06:40PM ET,KC,11.74
OF,Lane Thomas (43668988),Lane Thomas,43668988,CPT,10800,KC@DET 07/23/2026 06:40PM ET,KC,5.84
SP,Justin Verlander (43668936),Justin Verlander,43668936,UTIL,10600,KC@DET 07/23/2026 06:40PM ET,DET,-4.55
OF,Kerry Carpenter (43668989),Kerry Carpenter,43668989,CPT,10500,KC@DET 07/23/2026 06:40PM ET,DET,5.37
RP,Randy Dobnak (43668879),Randy Dobnak,43668879,UTIL,10400,KC@DET 07/23/2026 06:40PM ET,KC,8.97
RP,Daniel Lynch IV (43668937),Daniel Lynch IV,43668937,UTIL,10400,KC@DET 07/23/2026 06:40PM ET,KC,3.11
RP,Luinder Avila (43668938),Luinder Avila,43668938,UTIL,10400,KC@DET 07/23/2026 06:40PM ET,KC,7.78
RP,Mitch Spence (43668939),Mitch Spence,43668939,UTIL,10400,KC@DET 07/23/2026 06:40PM ET,KC,-9.27
RP,Mason Black (43668940),Mason Black,43668940,UTIL,10400,KC@DET 07/23/2026 06:40PM ET,KC,3.10
SP,Alec Marsh (43668941),Alec Marsh,43668941,UTIL,10400,KC@DET 07/23/2026 06:40PM ET,KC,0
SP,Ben Kudrna (43668942),Ben Kudrna,43668942,UTIL,10400,KC@DET 07/23/2026 06:40PM ET,KC,0
SP,Nick Frasso (43668943),Nick Frasso,43668943,UTIL,10400,KC@DET 07/23/2026 06:40PM ET,KC,0
RP,Ryan Bergert (43668944),Ryan Bergert,43668944,UTIL,10400,KC@DET 07/23/2026 06:40PM ET,KC,0
SS,Bobby Witt Jr. (43668880),Bobby Witt Jr.,43668880,UTIL,10000,KC@DET 07/23/2026 06:40PM ET,KC,9.18
RP,Sawyer Gipson-Long (43668945),Sawyer Gipson-Long,43668945,UTIL,10000,KC@DET 07/23/2026 06:40PM ET,DET,0
RP,Ty Madden (43668946),Ty Madden,43668946,UTIL,10000,KC@DET 07/23/2026 06:40PM ET,DET,9.54
3B,Colt Keith (43668990),Colt Keith,43668990,CPT,9900,KC@DET 07/23/2026 06:40PM ET,DET,5.05
1B,Salvador Perez (43668991),Salvador Perez,43668991,CPT,9600,KC@DET 07/23/2026 06:40PM ET,KC,5.98
C,Carter Jensen (43668881),Carter Jensen,43668881,UTIL,9400,KC@DET 07/23/2026 06:40PM ET,KC,6.83
OF/SS,Tyler Tolbert (43668992),Tyler Tolbert,43668992,CPT,9300,KC@DET 07/23/2026 06:40PM ET,KC,4.69
C,Dillon Dingler (43668882),Dillon Dingler,43668882,UTIL,9000,KC@DET 07/23/2026 06:40PM ET,DET,8.54
1B,Spencer Torkelson (43668993),Spencer Torkelson,43668993,CPT,9000,KC@DET 07/23/2026 06:40PM ET,DET,6.60
3B/SS,Kevin McGonigle (43668883),Kevin McGonigle,43668883,UTIL,8800,KC@DET 07/23/2026 06:40PM ET,DET,8.20
2B,Jonathan India (43669006),Jonathan India,43669006,CPT,8700,KC@DET 07/23/2026 06:40PM ET,KC,5.41
