Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5205774775,peterjpacheco (3/3),0,192.45,1B Matt Olson 2B Willi Castro 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF John Rave P Max Fried P David Peterson SS Tyler Tolbert,,Yoshinobu Yamamoto,P,47.46%,15
2,5205726033,whoisjohngalt420 (1/3),0,181.25,1B TJ Rumfield 2B Willi Castro 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Nick Loftin OF Isaac Collins P Yoshinobu Yamamoto P David Peterson SS Tyler Tolbert,,David Peterson,P,44.92%,25.25
2,5205726034,whoisjohngalt420 (2/3),0,181.25,1B TJ Rumfield 2B Willi Castro 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Nick Loftin OF Isaac Collins P Yoshinobu Yamamoto P David Peterson SS Tyler Tolbert,,Kevin McGonigle,SS,30.51%,26
2,5205726035,whoisjohngalt420 (3/3),0,181.25,1B TJ Rumfield 2B Willi Castro 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Nick Loftin OF Isaac Collins P Yoshinobu Yamamoto P David Peterson SS Tyler Tolbert,,Max Clark,OF,27.97%,19
5,5205743120,hallfreddy,0,171.25,1B Matt Olson 2B Gleyber Torres 3B Colt Keith C Hunter Goodman OF Jac Caglianone OF Riley Greene OF Max Clark P Yoshinobu Yamamoto P David Peterson SS Miguel Rojas,,Cristopher Sanchez,P,26.27%,35.3
6,5205758059,bleeski,0,168.95,1B TJ Rumfield 2B Willi Castro 3B Kyle Karros C Drake Baldwin OF Cole Carrigg OF Javier Baez OF Max Clark P Cristopher Sanchez P Robert Gasser SS Kevin McGonigle,,Lane Thomas,OF,26.27%,3
7,5205725565,Byronn5 (2/3),0,166.25,1B TJ Rumfield 2B Zach McKinstry 3B Kyle Karros C Hunter Goodman OF Jake McCarthy OF Cole Carrigg OF Javier Baez P Yoshinobu Yamamoto P David Peterson SS Kevin McGonigle,,Riley Greene,OF,25.42%,4
8,5205694869,murthy89 (2/3),0,165.45,1B Salvador Perez 2B Zach McKinstry 3B Kyle Karros C Hunter Goodman OF Mickey Moniak OF Jake McCarthy OF Mike Yastrzemski P Cristopher Sanchez P Framber Valdez SS Jim Jarvis,,Jac Caglianone,OF,23.73%,16
9,5205756697,jdub.14 (2/3),0,165.25,1B TJ Rumfield 2B Gleyber Torres 3B Kyle Karros C Salvador Perez OF Jac Caglianone OF Lane Thomas OF Isaac Collins P Yoshinobu Yamamoto P David Peterson SS Kevin McGonigle,,Gleyber Torres,2B,21.19%,21
9,5205763612,Handcuff2006 (2/3),0,165.25,1B TJ Rumfield 2B Gleyber Torres 3B Kyle Karros C Salvador Perez OF Jac Caglianone OF Lane Thomas OF Isaac Collins P Yoshinobu Yamamoto P David Peterson SS Kevin McGonigle,,Isaac Collins,OF,21.19%,10
11,5205728360,deckeron (3/3),0,164.5,1B Tommy White 2B Alika Williams 3B Amed Rosario C Dillon Dingler OF Tyler Soderstrom OF Henry Bolte OF Max Clark P Cristopher Sanchez P Max Fried SS Kevin McGonigle,,Kyle Karros,3B,21.19%,16
