Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5217155373,jazzyj0619,0,84.8,CPT Logan Gilbert UTIL Max Fried UTIL Randy Arozarena UTIL Jhonny Pereda UTIL Weston Wilson UTIL Leo Rivas,,Max Fried,UTIL,73.68%,13.05
2,5217382487,papa-sports-39,0,83.8,CPT Logan Gilbert UTIL Max Fried UTIL Randy Arozarena UTIL George Lombard Jr. UTIL Weston Wilson UTIL Ryan McMahon,,Logan Gilbert,UTIL,65.79%,28.5
3,5217259734,howardwi,0,81.8,CPT Logan Gilbert UTIL Max Fried UTIL Trent Grisham UTIL George Lombard Jr. UTIL Weston Wilson UTIL Ryan McMahon,,Ryan McMahon,UTIL,57.89%,2
3,5217334027,Diesel,0,81.8,CPT Logan Gilbert UTIL Max Fried UTIL Cal Raleigh UTIL Josh Naylor UTIL Weston Wilson UTIL Ryan McMahon,,Trent Grisham,UTIL,42.11%,3
5,5217251086,mrclean913,0,75.75,CPT Logan Gilbert UTIL Randy Arozarena UTIL Julio Rodriguez UTIL Dominic Canzone UTIL Weston Wilson UTIL Ryan McMahon,,George Lombard Jr.,UTIL,39.47%,0
6,5216945654,jgorms3322,0,74.08,CPT Max Fried UTIL Logan Gilbert UTIL Trent Grisham UTIL Spencer Jones UTIL Weston Wilson UTIL Ryan McMahon,,Dominic Canzone,UTIL,34.21%,2
6,5217099210,Stree,0,74.08,CPT Max Fried UTIL Logan Gilbert UTIL Trent Grisham UTIL Spencer Jones UTIL Weston Wilson UTIL Ryan McMahon,,Randy Arozarena,UTIL,31.58%,5
8,5217138104,Celticsnc,0,72.55,CPT George Lombard Jr. UTIL Logan Gilbert UTIL Max Fried UTIL Trent Grisham UTIL Jose Caballero UTIL Weston Wilson,,Spencer Jones,UTIL,31.58%,0
9,5217346773,snowstorm87,0,61.08,CPT Max Fried UTIL Logan Gilbert UTIL Luis Garcia Jr. UTIL George Lombard Jr. UTIL Ali Sanchez UTIL Ryan McMahon,,Ben Rice,UTIL,26.32%,2
9,5217374466,BAlmeida402,0,61.08,CPT Max Fried UTIL Logan Gilbert UTIL Luis Garcia Jr. UTIL George Lombard Jr. UTIL Ali Sanchez UTIL Ryan McMahon,,Josh Naylor,UTIL,26.32%,3
11,5217254754,RR1948,0,59.8,CPT Logan Gilbert UTIL Max Fried UTIL Taylor Ward UTIL Dominic Canzone UTIL Ryan McMahon UTIL Austin Wells,,Weston Wilson,UTIL,26.32%,21
12,5217228524,clags22,0,59.75,CPT Logan Gilbert UTIL Randy Arozarena UTIL Jose Caballero UTIL Dominic Canzone UTIL Josh Naylor UTIL George Lombard Jr.,,Julio Rodriguez,UTIL,23.68%,3
