#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
152,Noah Schultz,CHW,2,5,0,9,9,43.0,8.37,5.44,1.05,.243,60.0%,36.8%,9.4%,95.6,5.86,5.46,4.85,5.21,0.3
153,AJ Blubaugh,HOU,4,2,0,34,0,56.1,8.47,4.63,0.80,.236,76.2%,33.8%,6.8%,95.7,3.36,4.03,3.98,4.79,0.3
154,Hogan Harris,ATH,3,0,6,43,0,40.0,11.70,5.85,0.90,.327,82.8%,47.5%,10.8%,95.3,3.38,3.15,4.06,4.16,0.3
155,Jack Kochanowicz,LAA,2,5,0,13,13,64.0,6.61,5.06,0.98,.289,61.3%,56.8%,11.5%,96.4,6.19,5.54,4.99,5.01,0.3
156,Chris Bassitt,BAL,4,4,0,12,10,56.1,5.91,3.51,0.96,.340,72.1%,46.4%,10.0%,91.5,5.27,5.03,4.78,5.01,0.3
157,Lake Bachar,MIA,1,0,1,30,4,47.0,9.38,3.64,1.15,.224,72.4%,37.0%,10.0%,94.8,3.83,3.41,4.09,4.37,0.3
158,Brock Burke,CIN,3,4,1,44,0,42.1,7.65,5.53,0.64,.243,68.8%,40.2%,6.0%,96.3,2.98,4.54,4.24,5.12,0.3
159,Colin Rea,CHC,6,5,1,18,14,89.1,6.85,3.43,1.31,.297,74.5%,44.3%,12.0%,93.8,4.74,5.48,4.86,4.80,0.3
160,Tatsuya Imai,HOU,5,4,0,12,12,48.1,11.17,5.59,1.49,.292,65.8%,44.5%,18.6%,95.0,6.14,4.85,4.89,4.09,0.3
161,Luinder Avila,KCR,4,3,0,17,8,51.2,8.19,5.40,0.87,.329,71.1%,45.1%,8.8%,96.1,5.05,4.50,4.41,4.82,0.3
162,Tyler Phillips,MIA,1,3,2,23,7,69.0,6.78,4.17,1.04,.270,79.0%,46.2%,11.0%,96.4,3.52,4.79,4.54,4.64,0.3
163,Jose Quintana,COL,2,3,0,9,9,41.0,4.39,3.73,1.32,.285,65.9%,34.3%,9.0%,89.9,5.27,5.01,5.35,5.93,0.3
164,Wandy Peralta,SDP,1,1,0,39,4,46.1,5.83,3.69,0.58,.290,87.0%,48.6%,7.1%,96.4,2.33,4.18,4.02,4.55,0.2
165,Ryan Zeferjahn,LAA,4,3,2,35,0,40.2,12.39,6.86,0.66,.217,71.2%,42.4%,9.1%,97.6,3.98,3.31,4.12,4.39,0.2
166,Griffin Jax,TBR,4,5,0,23,12,60.0,8.70,3.00,1.65,.285,73.1%,44.0%,19.0%,96.5,3.45,5.38,4.61,3.69,0.2
167,Edward Cabrera,CHC,5,4,0,14,14,72.1,8.09,3.61,1.74,.290,68.0%,42.9%,19.2%,96.2,5.10,4.83,5.07,4.09,0.2
168,Tyler Holton,DET,1,4,0,38,2,40.0,7.43,2.25,1.13,.331,76.0%,48.0%,13.5%,91.8,3.38,3.76,3.99,3.76,0.2
169,Zebby Matthews,MIN,4,5,0,10,10,61.0,7.52,2.36,1.92,.251,78.5%,39.1%,16.7%,95.2,4.43,4.47,5.09,4.26,0.2
170,Kai-Wei Teng,HOU,4,6,0,23,10,64.0,8.86,3.94,1.41,.285,73.8%,40.9%,14.9%,93.5,4.36,4.58,4.81,4.37,0.2
171,Chris Paddack,3 Tms,0,7,0,14,9,57.0,6.32,3.00,1.42,.340,62.8%,38.4%,11.7%,93.1,6.79,4.98,4.86,4.86,0.2
172,Matthew Liberatore,STL,4,6,0,18,18,87.2,8.42,3.59,1.75,.325,70.9%,35.7%,15.6%,94.4,5.34,5.47,5.09,4.46,0.2
173,Roki Sasaki,LAD,3,5,0,15,15,75.0,9.00,3.84,2.04,.280,74.2%,43.3%,19.5%,97.6,5.40,4.76,5.54,4.35,0.2
174,Yoendrys Gómez,2 Tms,0,0,9,36,0,41.1,7.84,3.92,1.31,.243,77.3%,26.9%,9.1%,95.5,3.70,5.18,4.78,5.32,0.2
175,Cal Quantrill,TEX,3,1,0,18,3,40.1,6.02,2.68,1.12,.248,73.3%,31.0%,8.2%,94.1,3.35,4.85,4.65,5.33,0.2
176,Yohan Ramírez,PIT,5,2,1,38,0,48.2,10.36,5.55,0.74,.282,76.7%,50.4%,11.8%,96.6,3.51,3.72,4.28,4.27,0.1
177,Justin Bruihl,STL,0,0,0,38,0,40.0,6.53,3.38,0.45,.302,68.1%,49.6%,5.7%,91.9,3.60,4.26,3.96,4.64,0.1
178,Brad Lord,WSN,5,2,1,27,1,58.0,8.07,3.26,1.09,.264,75.5%,59.5%,16.3%,94.6,3.88,4.17,4.23,3.79,0.1
179,JT Brubaker,SFG,0,0,0,28,0,43.2,6.18,4.12,0.62,.236,75.3%,34.9%,5.0%,93.3,2.89,4.56,4.00,5.20,0.1
180,Aaron Civale,ATH,5,6,0,15,15,72.1,6.72,2.74,1.99,.326,79.1%,27.5%,13.4%,91.7,5.10,5.17,5.49,5.11,0.1
181,Griffin Canning,SDP,1,6,0,12,9,51.0,8.82,5.29,1.41,.321,63.2%,44.1%,14.3%,94.3,6.71,4.79,5.07,4.70,0.1
182,Tanner Gordon,COL,0,2,0,11,4,45.1,9.13,1.99,2.18,.375,66.6%,34.7%,15.9%,93.2,6.95,4.84,5.03,4.19,0.1
183,Grant Holmes,ATL,5,4,0,17,16,82.1,7.76,4.15,1.64,.252,82.6%,41.7%,15.5%,94.3,3.83,4.58,5.21,4.63,0.0
184,Braydon Fisher,TOR,3,3,1,43,6,46.0,9.00,4.11,1.17,.222,71.7%,45.1%,14.0%,94.8,3.33,3.88,4.31,4.03,0.0
185,Tobias Myers,NYM,0,2,1,24,3,42.0,6.86,2.57,1.71,.297,57.7%,33.6%,13.8%,92.8,6.21,4.04,4.92,4.54,0.0
186,Steven Matz,TBR,4,4,0,15,10,53.0,6.96,3.23,1.87,.278,62.1%,36.1%,16.7%,,6.28,5.81,5.39,4.59,0.0
187,Andrew Painter,PHI,1,8,0,14,12,65.0,7.34,3.32,1.94,.341,65.6%,38.9%,15.4%,96.6,7.06,5.15,5.53,4.85,0.0
188,Ryan Watson,BOS,0,0,1,29,0,47.2,6.80,3.40,1.32,.273,73.4%,35.4%,11.5%,94.3,4.72,6.30,4.83,4.86,0.0
189,Brady Singer,CIN,3,8,0,17,17,82.1,7.76,3.28,2.19,.312,78.1%,41.9%,19.6%,90.8,5.03,5.54,5.86,4.58,0.0
190,Brayan Bello,BOS,2,6,0,12,8,61.0,6.49,3.54,1.48,.335,62.9%,49.8%,16.7%,94.8,6.34,6.22,5.03,4.39,0.0
191,Zac Gallen,ARI,3,8,0,18,18,92.0,5.48,2.74,1.66,.320,62.8%,44.8%,14.4%,93.5,6.36,6.32,5.34,4.88,-0.1
192,Ryne Nelson,ARI,3,5,0,15,15,83.1,6.70,2.38,1.94,.254,66.4%,32.5%,13.7%,96.3,4.97,5.21,5.40,4.98,-0.1
193,Zach Agnos,COL,0,2,2,23,2,53.1,6.24,3.88,1.35,.322,57.1%,35.6%,10.5%,94.6,7.09,5.77,5.14,5.35,-0.1
194,Justin Sterner,ATH,2,3,1,42,0,40.2,8.85,1.99,1.99,.269,78.5%,41.1%,18.4%,93.8,3.98,2.86,4.68,3.64,-0.1
