#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
61,Sean Newcomb,CHW,0,2,3,34,1,52.1,8.77,2.92,0.17,.272,73.4%,50.4%,2.5%,94.6,2.58,3.59,2.67,3.58,1.4
62,Bryce Miller,SEA,4,2,0,9,8,52.2,10.59,0.85,1.20,.204,99.2%,38.1%,12.5%,96.4,1.71,2.10,2.77,2.65,1.4
63,Noah Cameron,KCR,4,6,0,16,16,83.2,8.07,2.69,1.08,.322,65.1%,34.7%,9.6%,92.4,4.95,4.88,3.84,4.17,1.4
64,Taj Bradley,MIN,7,3,0,16,16,88.2,10.35,3.86,1.22,.284,78.6%,33.6%,11.1%,97.0,3.86,3.96,3.92,4.01,1.4
65,Ryan Weathers,NYY,3,7,0,17,17,92.1,10.14,2.63,1.56,.304,70.8%,42.5%,16.7%,96.0,4.29,4.60,4.05,3.38,1.3
66,Brandon Young,BAL,7,2,0,14,14,77.1,7.22,3.49,0.81,.288,71.7%,41.9%,7.2%,94.3,3.38,4.33,3.89,4.61,1.3
67,Grant Taylor,CHW,4,2,3,34,4,45.2,12.81,2.96,0.79,.308,68.3%,43.5%,9.3%,98.3,2.96,2.30,2.39,2.68,1.3
68,Kumar Rocker,TEX,2,7,0,17,15,84.1,7.90,3.42,0.96,.294,75.2%,46.2%,10.1%,94.6,3.95,4.58,3.95,4.17,1.3
69,Nathan Eovaldi,TEX,9,7,0,17,17,105.1,9.40,2.05,1.62,.289,78.1%,49.2%,19.6%,94.6,4.02,4.01,4.22,3.27,1.3
70,Walbert Ureña,LAA,5,7,0,16,14,77.1,8.73,4.77,0.58,.263,74.3%,54.7%,7.5%,97.4,3.03,3.26,3.87,4.35,1.3
71,Kyle Bradish,BAL,5,9,0,18,18,100.2,9.03,4.29,1.07,.303,75.1%,48.4%,12.8%,,3.75,3.89,4.11,3.98,1.3
72,J.T. Ginn,ATH,7,4,0,19,16,94.2,7.80,3.90,0.95,.254,79.2%,47.1%,10.6%,94.1,3.04,4.06,4.18,4.31,1.2
73,Walker Buehler,SDP,5,4,0,17,17,82.0,8.34,3.29,0.99,.318,71.6%,48.3%,12.0%,94.0,4.61,4.44,3.89,3.85,1.2
74,Foster Griffin,WSN,9,2,0,18,18,103.1,8.71,2.26,1.48,.237,84.3%,44.5%,16.5%,91.5,2.87,4.04,4.27,3.65,1.2
75,Trey Yesavage,TOR,4,4,0,13,13,73.1,8.35,3.93,0.86,.212,74.4%,33.3%,7.2%,94.6,3.31,3.10,3.89,4.65,1.2
76,Brandon Woodruff,MIL,2,2,0,9,9,45.1,9.33,1.99,0.99,.207,71.9%,27.0%,7.8%,91.8,2.98,2.83,3.20,3.91,1.2
77,Connor Prielipp,MIN,2,5,0,12,12,61.2,9.49,3.36,0.88,.322,58.8%,41.7%,8.3%,95.5,4.96,4.07,3.63,4.14,1.2
78,Carmen Mlodzinski,PIT,5,3,2,18,9,75.2,7.14,3.09,0.71,.312,73.0%,42.4%,6.7%,95.1,3.33,4.80,3.67,4.42,1.2
79,Seth Lugo,KCR,3,6,0,17,17,96.1,7.10,2.80,1.12,.317,72.8%,37.8%,9.9%,91.8,4.20,5.34,4.15,4.44,1.2
80,Clay Holmes,NYM,4,4,0,9,9,52.2,7.69,3.08,0.51,.250,82.1%,56.0%,7.1%,94.8,2.39,3.89,3.22,3.69,1.2
81,Freddy Peralta,NYM,5,7,0,18,18,95.1,8.69,3.59,1.23,.305,68.7%,42.5%,12.5%,94.3,4.81,3.78,4.27,4.16,1.2
82,Luis Castillo,SEA,3,7,0,17,14,82.2,8.38,2.94,0.98,.300,60.5%,36.7%,8.4%,95.3,4.79,4.55,3.82,4.37,1.2
83,Andrew Alvarez,WSN,2,1,1,11,5,41.1,10.45,3.48,0.44,.364,79.7%,56.0%,10.0%,92.5,3.05,4.07,2.65,2.76,1.2
84,Jake Bennett,BOS,3,3,0,7,7,40.2,6.86,1.55,0.66,.261,73.4%,52.2%,7.7%,93.2,3.10,2.83,3.13,3.63,1.1
85,Shane Drohan,MIL,3,2,1,17,7,57.2,9.21,2.81,0.78,.304,75.4%,42.6%,8.3%,94.8,3.12,3.32,3.18,3.63,1.1
86,Mitch Keller,PIT,6,6,0,18,18,100.1,6.64,2.96,1.08,.285,63.5%,38.1%,10.7%,93.5,5.02,5.36,4.39,4.53,1.1
87,Kyle Leahy,STL,7,4,0,17,17,86.1,7.61,3.44,0.94,.322,79.2%,42.8%,10.3%,94.2,3.86,5.54,4.09,4.27,1.1
88,Brent Headrick,NYY,4,1,0,44,0,43.1,9.76,3.32,0.42,.277,88.7%,33.3%,3.8%,94.2,1.45,3.16,2.65,3.87,1.1
89,Peter Lambert,HOU,7,5,0,14,14,80.0,8.33,3.60,1.13,.238,81.9%,38.1%,10.1%,94.1,3.26,3.54,4.27,4.53,1.0
90,Eury Pérez,MIA,5,6,0,15,15,79.2,10.05,3.62,1.47,.235,73.9%,36.9%,14.0%,98.3,3.84,4.16,4.43,4.08,1.0
91,Michael McGreevy,STL,3,7,0,17,17,95.1,5.66,2.08,1.23,.252,83.1%,44.9%,13.0%,91.7,3.12,5.60,4.32,4.14,1.0
92,Framber Valdez,DET,4,6,0,18,18,100.2,6.97,3.22,0.98,.297,71.4%,51.6%,11.2%,95.1,4.29,4.41,4.29,4.35,1.0
93,Antonio Senzatela,COL,8,0,3,26,0,45.0,7.20,2.80,0.60,.273,73.8%,43.1%,5.8%,97.3,3.00,3.41,3.38,4.26,1.0
94,Janson Junk,MIA,3,5,0,11,11,60.0,6.45,1.95,1.20,.300,66.4%,43.2%,10.7%,94.5,4.80,4.03,4.11,4.27,1.0
95,Carlos Rodón,NYY,4,2,0,9,9,46.1,10.10,5.05,0.58,.259,71.2%,40.4%,6.8%,94.3,3.30,3.63,3.46,4.06,1.0
96,Shota Imanaga,CHC,5,7,0,18,18,103.0,8.74,2.27,1.83,.249,76.2%,37.8%,16.5%,91.9,4.28,3.66,4.66,3.89,1.0
97,Joey Cantillo,CLE,7,3,0,18,18,91.0,8.80,4.35,1.19,.288,76.0%,41.2%,11.9%,92.0,3.86,4.22,4.38,4.36,0.9
98,Emmet Sheehan,LAD,4,6,0,16,16,77.0,10.05,2.92,1.75,.293,74.4%,35.1%,15.6%,94.6,4.91,3.93,4.58,3.94,0.9
99,Aaron Ashby,MIL,12,1,0,42,1,52.2,11.96,4.78,0.68,.328,74.9%,52.3%,9.8%,97.4,3.25,3.08,3.15,3.34,0.9
100,Andrew Morris,MIN,4,2,2,32,2,41.0,9.44,2.85,0.44,.345,68.3%,44.8%,4.5%,96.7,3.73,2.97,2.74,3.74,0.9
101,Slade Cecconi,CLE,4,6,0,18,18,95.1,6.89,2.83,1.23,.307,73.9%,46.4%,12.0%,93.4,4.44,4.50,4.39,4.34,0.9
102,Gage Jump,ATH,3,3,0,8,8,43.0,8.58,2.72,0.84,.325,74.9%,37.1%,7.8%,96.3,3.98,3.93,3.53,4.12,0.9
103,Trevor McDonald,SFG,3,6,0,11,11,57.0,7.89,3.00,0.63,.283,65.4%,56.9%,10.0%,94.3,4.42,3.89,3.74,3.89,0.9
104,Bubba Chandler,PIT,3,8,0,18,17,89.2,7.93,5.22,1.00,.264,66.7%,36.7%,8.8%,98.5,4.82,4.27,4.70,5.19,0.8
105,Chad Patrick,MIL,5,4,4,26,6,68.2,7.47,3.54,0.92,.268,77.1%,36.1%,8.0%,95.1,3.54,4.24,3.95,4.58,0.8
106,Spencer Miles,TOR,4,1,0,24,2,54.0,9.17,2.83,0.67,.248,73.4%,55.2%,10.8%,96.1,2.83,3.30,2.98,3.06,0.8
107,Kris Bubic,KCR,3,2,0,9,9,50.1,9.12,4.65,0.72,.256,69.7%,43.8%,8.2%,92.1,4.11,4.50,3.73,4.17,0.8
108,Tyler Rogers,TOR,1,2,2,42,0,40.2,4.65,2.88,0.00,.265,69.4%,64.9%,0.0%,,1.77,2.70,3.04,4.04,0.8
109,Aaron Nola,PHI,3,6,0,18,18,92.0,9.20,2.84,1.86,.328,67.3%,39.7%,16.5%,92.4,5.87,4.25,4.73,3.94,0.8
110,Andrew Abbott,CIN,5,4,0,18,18,95.0,6.92,4.26,1.42,.273,80.2%,40.5%,12.3%,92.7,3.88,4.87,5.05,4.94,0.8
111,Michael Lorenzen,COL,3,9,0,19,18,86.0,7.01,3.35,1.36,.374,62.3%,45.3%,12.4%,94.1,6.91,5.58,4.81,4.70,0.8
112,Rhett Lowder,CIN,3,6,0,14,13,65.2,7.68,4.52,1.10,.307,71.4%,42.2%,10.3%,93.4,5.07,5.45,4.63,4.85,0.8
113,Jack Perkins,ATH,2,4,3,23,6,54.2,11.52,3.46,1.32,.345,57.5%,34.6%,11.9%,96.3,6.75,4.06,3.99,3.95,0.7
114,Ryan Feltner,COL,3,2,0,12,12,59.0,6.71,3.05,1.37,.253,69.5%,44.4%,13.4%,94.7,4.27,4.89,4.67,4.41,0.7
