Name,MLBAM_ID,Team,G,GS,IP,TBF,SO,K/9
George Klassen,691946,Los Angeles Angels,6,6,27.0000,125,24,8.0000
Trey Yesavage,702056,Toronto Blue Jays,19,19,95.6667,393,94,8.8432
Bryse Wilson,669060,Milwaukee Brewers,15,0,34.3333,145,30,7.8641
Justin Wrobleski,680736,Los Angeles Dodgers,26,22,137.3333,566,114,7.4709
Will Klein,694361,Los Angeles Dodgers,36,3,41.6667,189,49,10.5840
Zach Pop,647315,Philadelphia Phillies,7,1,7.3333,31,6,7.3636
Gregory Soto,642397,Pittsburgh Pirates,68,0,66.0000,282,79,10.7727
Justin Bruihl,677865,St. Louis Cardinals,71,0,75.6667,337,53,6.3040
Seranthony Domínguez,622554,Seattle Mariners,66,0,61.0000,257,64,9.4426
Drew Sommers,805427,Detroit Tigers,42,0,39.0000,166,60,13.8462
Peter Lambert,663567,Houston Astros,27,27,151.0000,641,147,8.7616
Wandy Peralta,593974,San Diego Padres,64,5,75.3333,315,49,5.8540
Richard Lovelady,663992,Washington Nationals,37,6,34.0000,165,30,7.9412
J.T. Ginn,669372,Athletics,27,24,138.3333,580,121,7.8723
Brandon Pfaadt,694297,Arizona Diamondbacks,28,18,128.3333,531,87,6.1013
José Soriano,667755,Toronto Blue Jays,31,31,174.3333,729,167,8.6214
Trevor Richards,670950,Chicago White Sox,53,0,79.6667,334,70,7.9079
Taj Bradley,671737,Minnesota Twins,31,31,178.3333,748,205,10.3458
Shota Imanaga,684007,Chicago Cubs,31,31,173.3333,702,171,8.8788
Orlando Ribalta,687377,Washington Nationals,45,0,43.0000,178,42,8.7907
Jake Bennett,687562,Boston Red Sox,19,19,109.6667,441,90,7.3860
Will Dion,702021,Washington Nationals,26,1,47.6667,193,53,10.0070
Angel Chivilli,683409,New York Yankees,15,0,16.6667,73,16,8.6400
Kody Funderburk,681892,Minnesota Twins,57,0,50.0000,218,47,8.4600
Brad Lord,695418,Washington Nationals,40,5,83.3333,357,77,8.3160
Jalen Beeks,656222,Texas Rangers,29,0,26.0000,113,21,7.2692
Logan Gilbert,669302,Seattle Mariners,31,31,182.0000,737,197,9.7418
Geoff Hartlieb,664129,Athletics,16,0,26.0000,112,20,6.9231
Anthony Nunez,689296,Baltimore Orioles,51,0,59.0000,249,66,10.0678
Bryan Abreu,650556,Houston Astros,65,0,61.3333,263,80,11.7391
Paul Skenes,694973,Pittsburgh Pirates,32,32,174.3333,712,200,10.3250
Casey Legumina,668984,Tampa Bay Rays,54,6,70.6667,300,55,7.0047
Enmanuel De Jesus,646241,Detroit Tigers,30,0,42.3333,178,39,8.2913
Joe Ryan,657746,Minnesota Twins,26,26,138.6667,588,151,9.8005
Erick Fedde,607200,Chicago White Sox,33,15,141.0000,606,99,6.3191
Kris Bubic,663460,Los Angeles Dodgers,13,9,54.0000,222,55,9.1667
Ryan Yarbrough,642232,New York Yankees,37,1,61.0000,256,44,6.4918
Davis Martin,663436,Chicago White Sox,28,27,145.3333,610,121,7.4931
Michael McGreevy,700241,St. Louis Cardinals,30,30,164.0000,677,113,6.2012
