Name,MLBAM_ID,Team,G,GS,IP,TBF,SO,K/9
Sam Aldegheri,691951,Los Angeles Angels,9,6,33.6667,151,22,5.8812
Gavin Collyer,686560,Texas Rangers,23,0,23.0000,105,22,8.6087
Juan Mejia,675848,Colorado Rockies,64,1,69.0000,316,65,8.4783
Trevor McDonald,686790,San Francisco Giants,14,14,70.3333,310,57,7.2938
Drey Jameson,686753,Arizona Diamondbacks,12,0,19.3333,86,13,6.0517
Nick Mears,683232,Kansas City Royals,21,0,19.3333,83,15,6.9828
Eli Morgan,669212,Kansas City Royals,16,0,19.3333,91,16,7.4483
Michael Grove,675627,Tampa Bay Rays,3,0,7.0000,28,6,7.7143
Cristian Javier,664299,Houston Astros,17,12,63.0000,276,59,8.4286
Matt Pushard,690155,St. Louis Cardinals,6,0,7.0000,32,6,7.7143
Lucas Giolito,608337,San Diego Padres,7,5,29.6667,138,18,5.4607
Andrew Nardi,677053,Miami Marlins,25,0,22.6667,99,27,10.7206
Seth Lugo,607625,Kansas City Royals,32,32,172.3333,751,134,6.9981
Caleb Ferguson,657571,St. Louis Cardinals,35,1,33.0000,150,31,8.4545
Raymond Burgos,670103,Boston Red Sox,7,0,17.3333,69,12,6.2308
Christian Roa,685005,Houston Astros,7,0,8.6667,43,6,6.2308
Andrew Sears,808825,Detroit Tigers,5,3,17.3333,82,13,6.7500
Carlos Vargas,672841,Seattle Mariners,15,0,17.3333,75,17,8.8269
Joe Boyle,671212,Tampa Bay Rays,4,3,19.0000,81,21,9.9474
Zack Littell,641793,Arizona Diamondbacks,26,14,124.3333,540,73,5.2842
Matthew Liberatore,669461,St. Louis Cardinals,31,31,155.0000,674,154,8.9419
Adam Macko,671936,Texas Rangers,30,1,31.0000,145,32,9.2903
Peyton Pallette,688883,Cleveland Guardians,16,0,20.6667,97,22,9.5806
Joe Rock,697812,Athletics,5,0,10.3333,56,12,10.4516
Eric Lauer,641778,Los Angeles Dodgers,22,18,108.3333,466,72,5.9815
Connor Seabold,657756,Kansas City Royals,21,0,24.0000,115,20,7.5000
Germán Márquez,608566,San Diego Padres,13,10,53.0000,236,37,6.2830
Jack Leiter,683004,Texas Rangers,15,15,80.0000,355,83,9.3375
Mitch Keller,656605,Pittsburgh Pirates,22,22,115.6667,503,89,6.9251
Coleman Crow,689441,Milwaukee Brewers,5,4,18.6667,85,10,4.8214
Tyler Ferguson,621053,Chicago Cubs,18,0,18.6667,78,21,10.1250
Spencer Strider,675911,Atlanta Braves,8,8,39.0000,165,46,10.6154
Jake Bird,656234,Washington Nationals,44,0,38.6667,172,41,9.5431
Jaden Hill,677955,Colorado Rockies,45,0,38.6667,177,38,8.8448
Isaac Mattson,676755,Pittsburgh Pirates,38,0,38.6667,176,36,8.3793
Brady Basso,669620,Athletics,25,7,42.0000,192,30,6.4286
Tomoyuki Sugano,608372,Colorado Rockies,28,28,147.6667,631,91,5.5463
Cody Bolton,675989,Houston Astros,8,3,20.0000,95,22,9.9000
Yovanny Cruz,672442,Washington Nationals,16,0,15.0000,67,14,8.4000
Adrian Del Castillo,680728,Arizona Diamondbacks,1,0,1.6667,10,0,0.0000
Jake Irvin,663623,Washington Nationals,21,20,101.6667,446,104,9.2066
Alek Jacob,689690,San Diego Padres,3,0,5.0000,23,6,10.8000
Bryan King,687911,Houston Astros,58,1,58.3333,267,46,7.0971
Dylan Moore,664238,Philadelphia Phillies,2,0,1.6667,8,0,0.0000
Andrew Painter,691725,Philadelphia Phillies,25,23,126.6667,552,115,8.1711
Jose Quintana,500779,Colorado Rockies,10,10,45.0000,199,22,4.4000
Elmer Rodríguez,695684,New York Yankees,6,6,26.6667,125,21,7.0875
Robby Snelling,702281,Miami Marlins,1,1,5.0000,22,2,3.6000
Hunter Stratton,676702,Pittsburgh Pirates,3,0,3.3333,15,3,8.1000
CJ Van Eyk,669310,Toronto Blue Jays,5,1,11.6667,55,3,2.3143
Bruce Zimmermann,669145,St. Louis Cardinals,1,0,5.0000,21,2,3.6000
Steven Matz,571927,Tampa Bay Rays,34,11,78.0000,333,58,6.6923
José Alvarado,621237,Philadelphia Phillies,67,0,58.0000,268,70,10.8621
Dennis Santana,642701,Arizona Diamondbacks,56,0,54.6667,240,49,8.0671
Cade Gibson,806188,Miami Marlins,46,1,49.6667,219,43,7.7919
Gage Jump,695611,Athletics,20,20,98.6667,437,108,9.8514
Xzavion Curry,675540,New York Mets,9,1,21.3333,94,15,6.3281
Zak Kent,687849,Washington Nationals,11,0,16.3333,77,12,6.6122
Patrick Corbin,571578,Toronto Blue Jays,19,15,80.0000,360,63,7.0875
Luinder Avila,679883,Kansas City Royals,21,12,70.0000,309,61,7.8429
Connor Phillips,683175,Cincinnati Reds,25,0,27.6667,133,28,9.1084
Chad Dallas,689149,Toronto Blue Jays,5,0,13.0000,57,14,9.6923
Lazaro Estrada,681751,Toronto Blue Jays,8,0,13.0000,57,9,6.2308
Ryan Feltner,663372,Colorado Rockies,25,22,119.6667,531,89,6.6936
Brandon Sproat,687075,Milwaukee Brewers,22,19,97.0000,422,101,9.3711
Griffin Canning,656288,San Diego Padres,29,11,85.6667,377,85,8.9300
Noah Schultz,702273,Chicago White Sox,18,14,71.0000,311,64,8.1127
David Sandlin,689818,Chicago White Sox,8,6,40.3333,167,40,8.9256
Drew Pomeranz,519141,Chicago Cubs,31,0,29.0000,135,17,5.2759
Matt Gage,657424,San Francisco Giants,34,0,27.3333,126,22,7.2439
Bradley Blalock,687134,Miami Marlins,3,0,8.0000,35,9,10.1250
Cole Winn,668390,Texas Rangers,51,1,48.0000,215,49,9.1875
Tobias Myers,668964,New York Mets,31,3,52.6667,226,39,6.6646
Brandon Eisert,685126,Pittsburgh Pirates,39,4,43.0000,185,49,10.2558
Jameson Taillon,592791,Toronto Blue Jays,18,18,86.0000,370,76,7.9535
Eric Orze,679358,Minnesota Twins,36,0,41.3333,189,36,7.8387
Tyler Zuber,676604,Miami Marlins,44,0,39.6667,175,42,9.5294
Jacob Lopez,682052,Athletics,26,23,117.3333,529,108,8.2841
Keegan Akin,669211,Baltimore Orioles,24,2,25.3333,114,17,6.0395
Jonathan Hernández,642546,Los Angeles Dodgers,16,0,25.3333,109,22,7.8158
Wyatt Mills,670090,Los Angeles Dodgers,6,0,6.3333,36,5,7.1053
Jimmy Herget,623474,Colorado Rockies,51,3,53.6667,237,47,7.8820
Garrett Acton,670183,Minnesota Twins,7,0,11.0000,51,14,11.4545
Luis Mey,682825,Cincinnati Reds,27,0,32.6667,155,47,12.9490
Luke Murphy,684665,Los Angeles Angels,20,0,18.6667,82,19,9.1607
Peter Strzelecki,657265,St. Louis Cardinals,8,0,14.0000,61,8,5.1429
Miles Mikolas,571945,Washington Nationals,25,11,116.0000,498,58,4.5000
Lucas Erceg,668674,Kansas City Royals,50,0,46.3333,218,33,6.4101
Brady Singer,663903,Cincinnati Reds,31,31,157.0000,725,126,7.2229
Luis Castillo,622491,Chicago White Sox,29,23,130.6667,592,112,7.7143
Chayce McDermott,694646,New York Mets,5,0,7.6667,36,6,7.0435
José Suarez,660761,Athletics,45,2,61.3333,277,61,8.9511
Alan Rangel,660604,Philadelphia Phillies,7,3,26.0000,123,29,10.0385
Seth Halvorsen,678020,Los Angeles Dodgers,32,0,29.0000,141,23,7.1379
Jack Perkins,678022,Athletics,36,16,116.0000,519,131,10.1638
Zach Agnos,688642,Colorado Rockies,41,3,91.0000,407,58,5.7363
Robert Stock,476594,New York Mets,8,7,30.3333,147,29,8.6044
Logan Allen,671106,Cleveland Guardians,7,2,16.6667,81,16,8.6400
Tristan Beck,663941,San Francisco Giants,12,0,16.6667,72,7,3.7800
Carlos Carrasco,471911,Atlanta Braves,8,0,16.6667,73,7,3.7800
Jackson Kent,800600,Washington Nationals,8,7,36.3333,170,30,7.4312
Mason Englert,669438,Tampa Bay Rays,15,4,39.3333,179,38,8.6949
Grayson Rodriguez,680570,Los Angeles Angels,19,19,93.6667,421,83,7.9751
Edward Cabrera,665795,Chicago Cubs,18,15,80.0000,350,71,7.9875
Mike Burrows,681347,Houston Astros,18,17,94.6667,423,75,7.1303
Julian Aguiar,687924,Cincinnati Reds,1,0,3.0000,14,2,6.0000
Carlos Hernández,672578,Cleveland Guardians,2,0,3.0000,14,4,12.0000
Carson Kelly,608348,Chicago Cubs,3,0,3.0000,13,0,0.0000
Owen Murphy,702566,Atlanta Braves,5,1,12.0000,56,9,6.7500
Thomas Pannone,623381,Milwaukee Brewers,1,1,3.0000,14,2,6.0000
Chase Solesky,686678,Tampa Bay Rays,1,0,3.0000,17,4,12.0000
Rhett Lowder,695076,Cincinnati Reds,28,25,127.3333,581,101,7.1387
Michael Rucker,621074,Seattle Mariners,35,0,40.3333,173,45,10.0413
Will Vest,676684,Detroit Tigers,27,0,26.6667,116,27,9.1125
Robby Ahlstrom,695239,Texas Rangers,42,0,37.0000,164,34,8.2703
Ron Marinaccio,676760,Cincinnati Reds,41,0,57.6667,260,48,7.4913
Nick Frasso,693308,Colorado Rockies,19,0,20.6667,96,21,9.1452
Seth Johnson,686751,Athletics,26,0,31.0000,146,37,10.7419
Justin Sterner,686993,Athletics,46,0,42.6667,184,40,8.4375
Zac Gallen,668678,Arizona Diamondbacks,21,20,104.3333,469,64,5.5208
Trey Gibson,694346,Baltimore Orioles,9,8,39.6667,185,37,8.3950
Max Scherzer,453286,Toronto Blue Jays,17,17,77.6667,337,61,7.0687
Phil Maton,664208,Chicago Cubs,31,0,27.6667,136,31,10.0843
Jeffrey Springs,605488,Athletics,29,29,142.6667,630,112,7.0654
Alex Lange,656638,Kansas City Royals,58,0,59.6667,270,60,9.0503
Jack Kochanowicz,686799,Los Angeles Angels,13,13,64.0000,296,47,6.6094
Chris Roycroft,688297,Athletics,25,0,36.3333,175,25,6.1927
Austin Hedges,595978,Cleveland Guardians,4,0,4.3333,20,1,2.0769
Osvaldo Bido,674370,Chicago White Sox,11,0,18.6667,81,11,5.3036
Jordan Leasure,673929,Chicago White Sox,18,1,18.6667,78,18,8.6786
Garrett Crochet,676979,Boston Red Sox,6,6,30.0000,138,37,11.1000
Eduardo Rivera,700842,Boston Red Sox,4,3,10.0000,44,10,9.0000
Pete Fairbanks,664126,Miami Marlins,46,1,41.3333,183,57,12.4113
Brandan Bidois,684049,Pittsburgh Pirates,15,0,15.6667,80,20,11.4894
Gabriel Hughes,687312,Colorado Rockies,14,13,64.0000,283,56,7.8750
Angel Zerpa,672582,Milwaukee Brewers,12,0,12.6667,55,8,5.6842
Paxton Schultz,687606,Washington Nationals,27,1,32.3333,153,32,8.9072
Tony Santillan,663574,Cincinnati Reds,44,0,40.6667,191,36,7.9672
Tanner Banks,621383,Philadelphia Phillies,31,1,35.0000,171,37,9.5143
Brycen Mautz,802408,St. Louis Cardinals,7,1,14.0000,70,18,11.5714
AJ Smith-Shawver,700363,Atlanta Braves,7,5,28.0000,131,24,7.7143
Scott Barlow,605130,Athletics,36,0,33.3333,152,29,7.8300
Carson Whisenhunt,687931,San Francisco Giants,8,8,34.6667,164,26,6.7500
Chase Lee,695445,Toronto Blue Jays,8,0,9.6667,42,5,4.6552
Kohl Drake,684442,Arizona Diamondbacks,5,5,20.6667,95,17,7.4032
Matt Waldron,663362,Washington Nationals,17,4,42.6667,194,33,6.9609
Lance McCullers Jr.,621121,Milwaukee Brewers,10,8,44.0000,195,48,9.8182
Kyle Freeland,607536,Colorado Rockies,25,25,131.3333,593,106,7.2640
Mitchell Parker,680730,Washington Nationals,22,0,39.6667,178,34,7.7143
Brendon Little,663893,Toronto Blue Jays,29,0,27.3333,129,43,14.1585
Simeon Woods Richardson,680573,Toronto Blue Jays,20,10,66.0000,303,40,5.4545
Tanner Gordon,685299,Colorado Rockies,24,12,103.6667,473,85,7.3794
Jhonathan Díaz,646242,Seattle Mariners,1,0,1.3333,6,1,6.7500
Hunter Harvey,640451,Chicago Cubs,4,0,4.0000,18,4,9.0000
Ken Waldichuk,686610,Washington Nationals,5,0,9.3333,41,8,7.7143
Chris Paddack,663978,Texas Rangers,14,9,57.0000,267,40,6.3158
Gus Varland,681402,Washington Nationals,33,0,31.6667,151,30,8.5263
Hunter Greene,668881,Cincinnati Reds,5,5,27.6667,121,33,10.7349
Charlie Barnes,656212,Los Angeles Dodgers,5,0,13.0000,63,6,4.1538
Justin Topa,623437,New York Yankees,25,0,22.0000,108,15,6.1364
Hunter Bigge,685801,Tampa Bay Rays,18,0,19.3333,85,14,6.5172
Philip Abner,691769,San Francisco Giants,13,0,19.0000,86,10,4.7368
Ronel Blanco,669854,Houston Astros,7,5,31.6667,136,26,7.3895
Easton McGee,668834,Kansas City Royals,9,0,11.3333,52,9,7.1471
Mason Barnett,686930,Athletics,19,5,44.0000,205,42,8.5909
Ryan Walker,676254,San Francisco Giants,33,0,32.6667,155,23,6.3367
Jake Woodford,663765,Chicago Cubs,18,0,26.3333,126,23,7.8608
Michael Lorenzen,547179,Toronto Blue Jays,32,25,127.3333,619,90,6.3613
Matt Svanson,694335,St. Louis Cardinals,41,1,43.3333,207,41,8.5154
Matt Strahm,621381,Kansas City Royals,41,0,35.6667,161,30,7.5701
Kodai Senga,673540,New York Mets,31,8,61.3333,283,75,11.0054
Justin Lawrence,664875,Washington Nationals,37,0,34.3333,177,43,11.2718
Nick Raquet,675919,Baltimore Orioles,4,0,3.6667,17,1,2.4545
Brandon Leibrandt,605335,Cincinnati Reds,1,0,6.0000,30,3,4.5000
Valente Bellozo,678368,Colorado Rockies,3,0,10.6667,48,8,6.7500
Ryan Weiss,680802,Houston Astros,9,2,26.0000,131,30,10.3846
Hunter Barco,682995,Pittsburgh Pirates,7,0,17.6667,87,14,7.1321
Shaun Anderson,641312,Los Angeles Angels,12,0,20.0000,93,17,7.6500
Tom Cosgrove,676680,Washington Nationals,18,0,16.3333,74,14,7.7143
Ian Hamilton,641656,Atlanta Braves,4,0,4.6667,23,4,7.7143
Andrew Hoffmann,694851,Arizona Diamondbacks,8,0,11.6667,59,12,9.2571
Carson Palmquist,687223,Washington Nationals,11,6,16.3333,78,15,8.2653
Yariel Rodríguez,684320,Toronto Blue Jays,10,0,9.3333,45,6,5.7857
Luis Torrens,620443,New York Mets,2,0,2.3333,11,0,0.0000
Corbin Burnes,669203,Arizona Diamondbacks,3,3,10.3333,47,8,6.9677
Sammy Peralta,671111,Los Angeles Angels,14,1,18.3333,91,22,10.8000
Cole Henry,669371,Washington Nationals,11,0,13.6667,70,15,9.8780
Taylor Rashi,688497,Athletics,4,0,5.6667,26,5,7.9412
Tommy Kahnle,592454,Boston Red Sox,8,0,9.0000,43,5,5.0000
Danny Young,664849,Atlanta Braves,16,1,12.3333,65,15,10.9459
Connor Thomas,671162,Kansas City Royals,17,0,22.3333,107,17,6.8507
J.P. France,641585,Houston Astros,3,0,6.6667,31,4,5.4000
Brendan Beck,694341,New York Yankees,3,1,7.6667,34,5,5.8696
Joel Payamps,606303,Atlanta Braves,12,0,7.6667,36,9,10.5652
TJ Shook,669298,Colorado Rockies,5,0,7.6667,36,7,8.2174
Cole Sands,663485,Minnesota Twins,13,0,12.0000,56,11,8.2500
Keegan Thompson,624522,Colorado Rockies,5,0,12.0000,57,11,8.2500
Zach Maxwell,687209,Cincinnati Reds,12,0,13.0000,67,12,8.3077
Hurston Waldrep,694462,Atlanta Braves,3,2,10.6667,56,9,7.5938
Kyle Nicolas,693312,Cincinnati Reds,7,0,7.3333,42,7,8.5909
Yaramil Hiraldo,682274,Baltimore Orioles,8,0,9.3333,48,13,12.5357
Colton Gordon,676467,Milwaukee Brewers,5,1,14.3333,70,12,7.5349
Sean Sullivan,807743,Colorado Rockies,5,5,22.3333,114,16,6.4478
Orlando Arcia,606115,Minnesota Twins,1,0,1.0000,5,0,0.0000
Blake Burkhalter,686628,Atlanta Braves,1,0,1.0000,5,1,9.0000
Jonathan Cannon,686563,Chicago White Sox,2,0,3.0000,18,4,12.0000
Cameron Foster,671382,Baltimore Orioles,6,0,9.0000,49,9,9.0000
Luis García,472610,Minnesota Twins,15,0,15.0000,74,6,3.6000
Woo-Suk Go,808970,Minnesota Twins,4,0,4.0000,22,5,11.2500
DJ Herz,687792,Washington Nationals,1,1,4.0000,19,4,9.0000
Cole Irvin,608344,Los Angeles Dodgers,1,0,6.0000,30,5,7.5000
Hayden Juenger,696522,Athletics,15,0,16.0000,81,6,3.3750
Nolan Kingham,663884,Texas Rangers,1,0,1.0000,6,1,9.0000
Jared Koenig,657649,Milwaukee Brewers,9,0,7.0000,41,7,9.0000
Luke Little,681432,Chicago Cubs,1,0,1.0000,5,1,9.0000
Seth Lonsway,675920,San Francisco Giants,1,0,2.0000,11,2,9.0000
Nicky Lopez,670032,Texas Rangers,1,0,1.0000,7,1,9.0000
Chris Martin,455119,Texas Rangers,16,0,14.0000,66,9,5.7857
Seth Martinez,661527,Boston Red Sox,1,0,1.0000,6,1,9.0000
Patrick Monteverde,687287,Miami Marlins,1,0,4.0000,18,2,4.5000
César Salazar,663967,Houston Astros,1,0,1.0000,4,0,0.0000
Winston Santos,692437,Texas Rangers,1,0,2.0000,9,1,4.5000
Jared Shuster,694363,St. Louis Cardinals,5,0,9.0000,44,4,4.0000
Carson Spiers,686730,Cincinnati Reds,1,0,4.0000,17,5,11.2500
José Tena,677588,Washington Nationals,1,0,1.0000,5,0,0.0000
Taijuan Walker,592836,Philadelphia Phillies,5,4,22.6667,115,17,6.7500
Joe Ross,605452,Texas Rangers,8,0,11.6667,57,7,5.4000
Jason Alexander,669920,Houston Astros,4,2,18.3333,84,14,6.8727
Max Kranick,668820,Washington Nationals,17,0,18.3333,94,11,5.4000
Jayden Murray,681151,Chicago Cubs,10,0,16.3333,79,14,7.7143
Luis Curvelo,681168,Texas Rangers,9,0,10.3333,55,6,5.2258
Ben Casparius,676508,Los Angeles Dodgers,5,0,4.6667,23,4,7.7143
Andre Granillo,701552,Washington Nationals,8,0,9.3333,50,3,2.8929
Garrett Stubbs,596117,Philadelphia Phillies,5,0,4.6667,24,0,0.0000
Edwin Díaz,621242,Los Angeles Dodgers,19,0,16.6667,90,25,13.5000
Alek Manoah,666201,Los Angeles Angels,3,0,7.3333,39,5,6.1364
Johan Oviedo,670912,Boston Red Sox,1,0,3.6667,18,3,7.3636
Josh Simpson,681006,Seattle Mariners,8,0,7.3333,38,10,12.2727
Austin Voth,608723,Minnesota Twins,3,0,10.0000,56,3,2.7000
Eric Cerantola,672021,Kansas City Royals,4,0,5.3333,27,7,11.8125
Tyler Heineman,623168,Los Angeles Angels,5,0,5.3333,26,0,0.0000
Aaron Bummer,607481,Kansas City Royals,21,0,16.6667,88,13,7.0200
Spencer Bivens,702352,Kansas City Royals,5,0,7.0000,37,12,15.4286
Kolby Allard,663465,Cleveland Guardians,4,0,8.6667,45,9,9.3462
John Brebbia,605154,Colorado Rockies,3,0,4.3333,21,2,4.1538
Bailey Falter,663559,Atlanta Braves,7,2,13.0000,69,8,5.5385
Jared Simpson,688692,Washington Nationals,4,1,4.3333,20,4,8.3077
Jordan Wicks,696136,Chicago Cubs,4,2,10.3333,50,8,6.9677
Carlos Cortes,666126,Athletics,9,0,9.3333,49,1,0.9643
Matt Krook,640454,Washington Nationals,11,0,8.3333,46,9,9.7200
Corbin Martin,656686,Chicago Cubs,7,0,5.0000,25,4,7.2000
Shane Smith,681343,Chicago White Sox,3,3,8.3333,49,11,11.8800
Emiliano Teodo,693713,Texas Rangers,1,0,1.6667,10,1,5.4000
Kade Morris,695034,Athletics,6,2,17.3333,89,10,5.1923
Joey Estes,683155,Athletics,2,1,7.3333,34,5,6.1364
Jonathan Heasley,669169,Tampa Bay Rays,1,0,4.0000,19,2,4.5000
James McCann,543510,Arizona Diamondbacks,4,0,4.0000,23,0,0.0000
Nick Sandlin,680704,Los Angeles Angels,8,0,8.6667,40,6,6.2308
Luis Perales,691384,Washington Nationals,6,0,11.0000,60,13,10.6364
Chris Devenski,606965,New York Mets,9,0,7.6667,38,5,5.8696
Bradley Hanner,690440,New York Yankees,4,0,5.3333,26,7,11.8125
Josh Fleming,676596,Toronto Blue Jays,1,0,3.0000,18,1,3.0000
Tyler Gilbert,656457,Chicago White Sox,5,1,6.0000,32,4,6.0000
Justin Verlander,434378,Detroit Tigers,1,1,3.6667,19,1,2.4545
Carlos Duran,679922,Kansas City Royals,2,0,1.3333,9,1,6.7500
Alex Jackson,656577,Minnesota Twins,2,0,2.0000,10,0,0.0000
Christian Koss,683766,San Francisco Giants,2,0,2.0000,10,0,0.0000
Joey Lucchesi,664192,Los Angeles Angels,5,0,3.3333,24,4,10.8000
Luis Morales,806960,Athletics,5,2,16.0000,90,13,7.3125
Rolddy Muñoz,691548,Atlanta Braves,1,0,2.0000,12,3,13.5000
Lyon Richardson,680689,Milwaukee Brewers,3,1,3.3333,16,4,10.8000
Miguel Rojas,500743,Los Angeles Dodgers,4,0,4.0000,23,0,0.0000
Javier Sanoja,691594,Miami Marlins,5,0,4.6667,27,1,1.9286
Jorbit Vivas,678391,Washington Nationals,4,0,4.0000,27,0,0.0000
Braxton Garrett,666129,Miami Marlins,2,2,4.3333,28,5,10.3846
Andrew Wantz,681806,Chicago Cubs,2,0,3.6667,20,1,2.4545
Jose Trevino,624431,Cincinnati Reds,7,0,9.0000,49,3,3.0000
Lou Trivino III,642152,Philadelphia Phillies,5,0,6.0000,36,7,10.5000
Ricky Vanasco,676568,Detroit Tigers,5,0,6.3333,40,4,5.6842
Roddery Muñoz,682610,Houston Astros,3,0,4.0000,25,6,13.5000
Félix Bautista,642585,Baltimore Orioles,2,0,1.6667,10,3,16.2000
Michael Kelly,547184,Athletics,5,0,5.0000,32,6,10.8000
Yilber Díaz,700270,Detroit Tigers,5,0,6.0000,34,6,9.0000
Yunior Tur,814305,Athletics,7,0,10.3333,66,12,10.4516
Tony Gonsolin,664062,Kansas City Royals,1,0,2.6667,15,5,16.8750
Adam Frazier,624428,Los Angeles Angels,3,0,2.0000,14,0,0.0000
Zach McKinstry,656716,Detroit Tigers,2,0,2.0000,15,0,0.0000
Chadwick Tromp,644433,Baltimore Orioles,1,0,1.0000,6,0,0.0000
LaMonte Wade Jr.,664774,Houston Astros,1,0,1.0000,6,0,0.0000
Jedixson Paez,699151,Boston Red Sox,4,1,6.6667,39,3,4.0500
Weston Wilson,642215,Seattle Mariners,4,0,3.3333,21,0,0.0000
Jose Corniell,692030,Texas Rangers,2,0,4.3333,28,4,8.3077
Kyle Higashioka,543309,Texas Rangers,3,0,3.0000,18,0,0.0000
Mitch Spence,687765,Kansas City Royals,3,1,9.3333,56,6,5.7857
José Buttó,676130,San Francisco Giants,3,0,2.0000,16,5,22.5000
Wilkin Ramos,678576,San Francisco Giants,2,0,2.0000,15,1,4.5000
Joey Wiemer,686894,Washington Nationals,2,0,2.0000,16,0,0.0000
Tyler Tolbert,686475,Kansas City Royals,5,0,4.6667,33,0,0.0000
Rodolfo Durán,660710,San Diego Padres,2,0,3.0000,19,0,0.0000
Joe La Sorsa,686747,Boston Red Sox,1,0,0.3333,2,1,27.0000
Tanner McDougal,701780,Chicago White Sox,1,0,0.3333,5,0,0.0000
Victor Robles,645302,Seattle Mariners,1,0,1.0000,9,0,0.0000
Andrew Vaughn,683734,Milwaukee Brewers,2,0,3.0000,26,1,3.0000
Matt Seelinger,676910,New York Mets,1,0,2.0000,15,2,9.0000
Ben Bowden,641386,Athletics,1,0,1.0000,8,0,0.0000
Buddy Kennedy,671083,San Francisco Giants,1,0,1.0000,9,0,0.0000
Blake Adams,687060,Colorado Rockies,1,0,1.0000,9,0,0.0000
Hancel Rincon,684516,St. Louis Cardinals,2,0,1.3333,11,1,6.7500
Jackson Rutledge,671131,Washington Nationals,1,0,1.3333,12,2,13.5000
Jhonny Pereda,640902,Seattle Mariners,1,0,0.3333,4,0,0.0000
Leo Rivas,660844,Seattle Mariners,1,0,1.0000,13,0,0.0000
Andruw Monasterio,655316,Boston Red Sox,1,0,0.6667,8,0,0.0000
Josh White,687985,Miami Marlins,1,0,0.6667,8,1,13.5000
Aaron Brooks,605156,Tampa Bay Rays,1,0,0.3333,4,0,0.0000
Yunior Marte,628708,Cincinnati Reds,1,0,0.3333,6,1,27.0000
Carlos Estévez,608032,Kansas City Royals,1,0,0.3333,7,0,0.0000
