Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5229263083,Cmoney13x,0,80,CPT Tristan Peters UTIL Munetaka Murakami UTIL Miguel Vargas UTIL Wyatt Langford UTIL Corey Seager UTIL Chase Meidroth,,Jose Urquidy,UTIL,60.87%,-6.45
2,5229134822,bkukor,0,77.48,CPT Kumar Rocker UTIL Jose Urquidy UTIL Jake Burger UTIL Joc Pederson UTIL Evan Carter UTIL Cody Freeman,,Joc Pederson,UTIL,52.17%,4
3,5228872506,zonaque,0,69.45,CPT Braden Montgomery UTIL Kumar Rocker UTIL Miguel Vargas UTIL Corey Seager UTIL Brandon Nimmo UTIL Drew Romo,,Munetaka Murakami,UTIL,47.83%,3
4,5228836766,USAFJorgensen,0,68.48,CPT Kumar Rocker UTIL Jose Urquidy UTIL Wyatt Langford UTIL Joc Pederson UTIL Elias Diaz UTIL Cody Freeman,,Miguel Vargas,UTIL,47.83%,5
5,5229278583,msosaaa,0,63.5,CPT Miguel Vargas UTIL Munetaka Murakami UTIL Wyatt Langford UTIL Corey Seager UTIL Joc Pederson UTIL Drew Romo,,Sam Antonacci,UTIL,43.48%,0
6,5229335397,dreday7,0,55,CPT Andrew Benintendi UTIL Miguel Vargas UTIL Corey Seager UTIL Ezequiel Duran UTIL Brandon Nimmo UTIL Braden Montgomery,,Andrew Benintendi,UTIL,43.48%,0
7,5228821307,TheBossinMyWorld,0,53,CPT Colson Montgomery UTIL Munetaka Murakami UTIL Miguel Vargas UTIL Jake Burger UTIL Joc Pederson UTIL Tristan Peters,,Kumar Rocker,UTIL,39.13%,23.95
8,5229383511,josephje,0,52.48,CPT Kumar Rocker UTIL Jose Urquidy UTIL Sam Antonacci UTIL Joc Pederson UTIL Evan Carter UTIL Cody Freeman,,Tristan Peters,UTIL,34.78%,16
9,5229055258,corruption79,0,50.45,CPT Munetaka Murakami UTIL Kumar Rocker UTIL Braden Montgomery UTIL Andrew Benintendi UTIL Joc Pederson UTIL Evan Carter,,Drew Romo,UTIL,34.78%,3
10,5228887800,KILLANADZ24,0,44.05,CPT Miguel Vargas UTIL Jose Urquidy UTIL Corey Seager UTIL Andrew Benintendi UTIL Joc Pederson UTIL Tristan Peters,,Braden Montgomery,UTIL,30.43%,7
11,5229337658,Rhombus87,0,42.5,CPT Miguel Vargas UTIL Wyatt Langford UTIL Sam Antonacci UTIL Brandon Nimmo UTIL Joc Pederson UTIL Elias Diaz,,Cody Freeman,UTIL,30.43%,8
12,5228879008,oneupthedevil,0,40.28,CPT Jose Urquidy UTIL Kumar Rocker UTIL Sam Antonacci UTIL Chase Meidroth UTIL Tristan Peters UTIL Cody Freeman,,Corey Seager,UTIL,21.74%,23
13,5228886942,JcClark18,0,33.28,CPT Jose Urquidy UTIL Kumar Rocker UTIL Sam Antonacci UTIL Andrew Benintendi UTIL Tristan Peters UTIL Drew Romo,,Evan Carter,UTIL,21.74%,11
13,5229374275,nutrinoche,0,33.28,CPT Jose Urquidy UTIL Kumar Rocker UTIL Sam Antonacci UTIL Andrew Benintendi UTIL Tristan Peters UTIL Drew Romo,,Wyatt Langford,UTIL,17.39%,23
15,5228642353,dtapper29,0,28.28,CPT Jose Urquidy UTIL Kumar Rocker UTIL Braden Montgomery UTIL Andrew Benintendi UTIL Joc Pederson UTIL Drew Romo,,Colson Montgomery,UTIL,17.39%,0
16,5229279621,bleeski,0,22.5,CPT Munetaka Murakami UTIL Sam Antonacci UTIL Colson Montgomery UTIL Braden Montgomery UTIL Andrew Benintendi UTIL Evan Carter,,Brandon Nimmo,UTIL,17.39%,4
17,5228839504,whoisjohngalt420,0,22.33,CPT Jose Urquidy UTIL Munetaka Murakami UTIL Colson Montgomery UTIL Chase Meidroth UTIL Evan Carter UTIL Tristan Peters,,Chase Meidroth,UTIL,17.39%,2
17,5228862149,bposluszny,0,22.33,CPT Jose Urquidy UTIL Munetaka Murakami UTIL Miguel Vargas UTIL Andrew Benintendi UTIL Tristan Peters UTIL Cody Freeman,,Jake Burger,UTIL,8.70%,25
19,5229333889,3lbfrill,0,18,CPT Joc Pederson UTIL Munetaka Murakami UTIL Miguel Vargas UTIL Sam Antonacci UTIL Brandon Nimmo UTIL Andrew Benintendi,,Elias Diaz,UTIL,8.70%,4
20,5229319109,clags22,0,12.33,CPT Jose Urquidy UTIL Miguel Vargas UTIL Colson Montgomery UTIL Braden Montgomery UTIL Chase Meidroth UTIL Cody Freeman,,Ezequiel Duran,UTIL,4.35%,16
21,5229204654,KristianFTM,0,9.33,CPT Jose Urquidy UTIL Munetaka Murakami UTIL Miguel Vargas UTIL Sam Antonacci UTIL Cody Freeman UTIL Drew Romo,,,
22,5229107497,austin60915,0,7.33,CPT Jose Urquidy UTIL Munetaka Murakami UTIL Sam Antonacci UTIL Braden Montgomery UTIL Joc Pederson UTIL Drew Romo,,,
23,5228940416,mythicalrhymer01,0,0.32,CPT Jose Urquidy UTIL Munetaka Murakami UTIL Sam Antonacci UTIL Andrew Benintendi UTIL Joc Pederson UTIL Drew Romo,,,
