Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5216011622,Stree,0,102.08,CPT Eric Lauer UTIL Shohei Ohtani UTIL Jac Caglianone UTIL Mookie Betts UTIL Miguel Rojas UTIL Hunter Feduccia,,Shohei Ohtani,UTIL,82.61%,19
2,5216289632,bkukor,0,94.08,CPT Eric Lauer UTIL Shohei Ohtani UTIL Andy Pages UTIL Mookie Betts UTIL Starling Marte UTIL Hunter Feduccia,,Mookie Betts,UTIL,65.22%,19
2,5216682432,L053R666,0,94.08,CPT Eric Lauer UTIL Shohei Ohtani UTIL Andy Pages UTIL Mookie Betts UTIL Starling Marte UTIL Hunter Feduccia,,Eric Lauer,UTIL,47.83%,24.05
4,5216809282,SportsJoker12,0,80.55,CPT Mookie Betts UTIL Eric Lauer UTIL Shohei Ohtani UTIL Teoscar Hernandez UTIL Salvador Perez UTIL Isaac Collins,,Bobby Witt Jr.,UTIL,43.48%,8
5,5216749656,Extraqtt,0,80.08,CPT Eric Lauer UTIL Shohei Ohtani UTIL Kyle Tucker UTIL Teoscar Hernandez UTIL Tyler Tolbert UTIL Hunter Feduccia,,Andy Pages,UTIL,43.48%,3
6,5216524074,KristianFTM,0,73.08,CPT Eric Lauer UTIL Shohei Ohtani UTIL Kyle Tucker UTIL Teoscar Hernandez UTIL Isaac Collins UTIL Hunter Feduccia,,Starling Marte,UTIL,39.13%,3
7,5216752198,SmokingSquash,0,72.55,CPT Jac Caglianone UTIL Eric Lauer UTIL Shohei Ohtani UTIL Mookie Betts UTIL Nick Loftin UTIL Starling Marte,,Teoscar Hernandez,UTIL,34.78%,0
8,5216036552,jep4576,0,72.08,CPT Eric Lauer UTIL Freddie Freeman UTIL Mookie Betts UTIL Teoscar Hernandez UTIL Tyler Tolbert UTIL Starling Marte,,Tyler Tolbert,UTIL,34.78%,9
9,5216692183,friedbaconbits,0,71.5,CPT Mookie Betts UTIL Shohei Ohtani UTIL Bobby Witt Jr. UTIL Teoscar Hernandez UTIL Salvador Perez UTIL Tyler Tolbert,,Salvador Perez,UTIL,30.43%,7
10,5216139841,KILLANADZ24,0,68.5,CPT Andy Pages UTIL Shohei Ohtani UTIL Bobby Witt Jr. UTIL Mookie Betts UTIL Tyler Tolbert UTIL Miguel Rojas,,Nick Loftin,UTIL,30.43%,0
10,5216258014,Tburke34,0,68.5,CPT Andy Pages UTIL Shohei Ohtani UTIL Bobby Witt Jr. UTIL Mookie Betts UTIL Tyler Tolbert UTIL Miguel Rojas,,Miguel Rojas,UTIL,30.43%,9
12,5216756947,Jpage86,0,63.55,CPT Andy Pages UTIL Eric Lauer UTIL Shohei Ohtani UTIL Salvador Perez UTIL Nick Loftin UTIL Miguel Rojas,,Hunter Feduccia,UTIL,26.09%,14
13,5216712220,Bears133,0,61.5,CPT Mookie Betts UTIL Shohei Ohtani UTIL Bobby Witt Jr. UTIL Andy Pages UTIL Nick Loftin UTIL Starling Marte,,Freddie Freeman,UTIL,17.39%,5
14,5216779953,Cmoney13x,0,59.5,CPT Shohei Ohtani UTIL Bobby Witt Jr. UTIL Freddie Freeman UTIL Tyler Tolbert UTIL Nick Loftin UTIL Miguel Rojas,,Jac Caglianone,UTIL,17.39%,5
15,5216423473,corruption79,0,59,CPT Bobby Witt Jr. UTIL Shohei Ohtani UTIL Mookie Betts UTIL Teoscar Hernandez UTIL Salvador Perez UTIL Isaac Collins,,Isaac Collins,UTIL,17.39%,2
16,5216779281,jhawthorne111470,0,58,CPT Max Muncy UTIL Shohei Ohtani UTIL Bobby Witt Jr. UTIL Mookie Betts UTIL Starling Marte UTIL Miguel Rojas,,Kyle Tucker,UTIL,13.04%,2
17,5216768787,dtapper29,0,57.5,CPT Shohei Ohtani UTIL Bobby Witt Jr. UTIL Jac Caglianone UTIL Salvador Perez UTIL Tyler Tolbert UTIL Nick Loftin,,Max Muncy,UTIL,8.70%,0
18,5215896195,Celticsnc,0,56.55,CPT Salvador Perez UTIL Eric Lauer UTIL Freddie Freeman UTIL Max Muncy UTIL Andy Pages UTIL Hunter Feduccia,,Mason Black,UTIL,8.70%,3.75
19,5216789529,bleeski,0,55.5,CPT Shohei Ohtani UTIL Andy Pages UTIL Kyle Tucker UTIL Mookie Betts UTIL Teoscar Hernandez UTIL Starling Marte,,Daniel Lynch IV,UTIL,4.35%,3.45
20,5216664708,DUI-Guy,0,55.28,CPT Eric Lauer UTIL Daniel Lynch IV UTIL Nick Loftin UTIL Starling Marte UTIL Miguel Rojas UTIL Mason Black,,Josh Rojas,UTIL,4.35%,5
21,5216829266,neversummer,0,52.5,CPT Andy Pages UTIL Shohei Ohtani UTIL Freddie Freeman UTIL Mookie Betts UTIL Teoscar Hernandez UTIL Josh Rojas,,,
22,5216805983,TDs_n_Beer,0,48,CPT Bobby Witt Jr. UTIL Andy Pages UTIL Jac Caglianone UTIL Mookie Betts UTIL Salvador Perez UTIL Isaac Collins,,,
23,5216059004,whoisjohngalt420,0,46.75,CPT Bobby Witt Jr. UTIL Shohei Ohtani UTIL Tyler Tolbert UTIL Nick Loftin UTIL Starling Marte UTIL Mason Black,,,
