Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5198790923,ifthethunder,0,173.55,1B Rafael Devers 2B Anthony Seigler 3B Curtis Mead C James McCann OF Dylan Crews OF Heriberto Hernandez OF Jacob Young P Dylan Cease P Robbie Ray SS CJ Abrams,,Dylan Cease,P,52.54%,50.85
2,5198722305,JRaab,0,155.55,1B Ildemaro Vargas 2B Nasim Nunez 3B Nolan Arenado C Gabriel Moreno OF Jackson Merrill OF Heriberto Hernandez OF Jacob Young P Dylan Cease P Robbie Ray SS CJ Abrams,,Eury Perez,P,50.85%,8.35
3,5198640390,wittwerjoe,0,149.2,1B Rafael Devers 2B Luis Arraez 3B Nolan Arenado C James McCann OF Corbin Carroll OF Jung Hoo Lee OF Drew Gilbert P Dylan Cease P Eury Perez SS Willy Adames,,Dylan Crews,OF,37.29%,8
4,5198474827,cobra.commander,0,146.55,1B Andres Chaparro 2B Ildemaro Vargas 3B Casey Schmitt C Keibert Ruiz OF Dylan Crews OF Daylen Lile OF Heriberto Hernandez P Dylan Cease P Robbie Ray SS CJ Abrams,,Heriberto Hernandez,OF,37.29%,0
5,5198595071,snejames001,0,140.05,1B Andres Chaparro 2B Ernie Clement 3B Curtis Mead C Keibert Ruiz OF James Wood OF Jacob Young OF Nathan Lukes P Dylan Cease P Foster Griffin SS Andres Gimenez,,Rafael Devers,1B,35.59%,30
6,5198563275,drunkonpappy,0,139.05,1B Kyle Stowers 2B Jake Cronenworth 3B Manny Machado C Logan O'Hoppe OF Fernando Tatis Jr. OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Foster Griffin SS Otto Lopez,,Sonny Gray,P,35.59%,1.25
7,5198575201,titanhawks,0,136.55,1B Andres Chaparro 2B Nasim Nunez 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF Jackson Merrill OF Esteury Ruiz P Dylan Cease P Robbie Ray SS Geraldo Perdomo,,Curtis Mead,3B,33.90%,6
8,5198631622,gwarrick0639,0,136.05,1B Rafael Devers 2B Xavier Edwards 3B Curtis Mead C Logan O'Hoppe OF Heliot Ramos OF Dylan Crews OF Jacob Young P Dylan Cease P Foster Griffin SS Javier Sanoja,,James Wood,OF,30.51%,3
9,5198329921,pgk8,0,135.2,1B Rafael Devers 2B Ketel Marte 3B Javier Sanoja C Gabriel Moreno OF Jakob Marsee OF Griffin Conine OF Esteury Ruiz P Dylan Cease P Eury Perez SS Otto Lopez,,Robbie Ray,P,27.12%,22.7
10,5198824640,bjonesiv,0,133.2,1B Bryce Eldridge 2B Luis Arraez 3B Casey Schmitt C James McCann OF Mike Trout OF Jung Hoo Lee OF Luis Rengifo P Dylan Cease P Eury Perez SS Willy Adames,,Foster Griffin,P,27.12%,12.2
11,5198673705,aylsg,0,131.2,1B Rafael Devers 2B Jake Cronenworth 3B Vaughn Grissom C Gabriel Moreno OF Mike Trout OF Jorge Soler OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Zach Neto,,Otto Lopez,SS,25.42%,12
12,5198779732,mythicalrhymer01,0,130.2,1B Vladimir Guerrero Jr. 2B Ketel Marte 3B Curtis Mead C Gabriel Moreno OF George Springer OF Nathan Lukes OF Yohendrick Pinango P Dylan Cease P Eury Perez SS Andres Gimenez,,Keibert Ruiz,C,25.42%,5
