Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5232490775,dtapper29,0,80.95,CPT Christian Walker UTIL Gerrit Cole UTIL Hayden Wesneski UTIL Jose Altuve UTIL Daulton Varsho UTIL Taylor Trammell,,Spencer Jones,UTIL,65.22%,0
2,5232505415,Ezilodi,0,76,CPT Isaac Paredes UTIL Yordan Alvarez UTIL Jeremy Pena UTIL Jazz Chisholm Jr. UTIL Christian Walker UTIL Spencer Jones,,Gerrit Cole,CPT,60.87%,19.05
3,5232475818,grantgoupil,0,59.3,CPT Gerrit Cole UTIL Hayden Wesneski UTIL Jeremy Pena UTIL Spencer Jones UTIL Cam Smith UTIL Austin Wells,,Hayden Wesneski,UTIL,52.17%,22.25
3,5232509991,BuckyNation34,0,59.3,CPT Gerrit Cole UTIL Hayden Wesneski UTIL Jazz Chisholm Jr. UTIL Yainer Diaz UTIL Spencer Jones UTIL Austin Wells,,Austin Wells,UTIL,52.17%,0
5,5232345220,KristianFTM,0,56.375,CPT Hayden Wesneski UTIL Yordan Alvarez UTIL Jeremy Pena UTIL Trent Grisham UTIL Cam Smith UTIL Taylor Trammell,,Taylor Trammell,UTIL,43.48%,3
6,5232432795,Sizzy,0,55.3,CPT Gerrit Cole UTIL Hayden Wesneski UTIL Jose Caballero UTIL George Lombard Jr. UTIL Spencer Jones UTIL Taylor Trammell,,Cam Smith,UTIL,30.43%,0
6,5232466719,DicVec,0,55.3,CPT Gerrit Cole UTIL Hayden Wesneski UTIL Isaac Paredes UTIL Daulton Varsho UTIL Spencer Jones UTIL Austin Wells,,Gerrit Cole,UTIL,26.09%,12.7
8,5232154149,KILLANADZ24,0,53.7,CPT Spencer Jones UTIL Gerrit Cole UTIL Yordan Alvarez UTIL Ben Rice UTIL Christian Walker UTIL Taylor Trammell,,Yordan Alvarez,UTIL,26.09%,2
9,5232472202,crf_333,0,53.075,CPT Hayden Wesneski UTIL Gerrit Cole UTIL Trent Grisham UTIL Daulton Varsho UTIL Spencer Jones UTIL Taylor Trammell,,Luis Garcia Jr.,UTIL,26.09%,0
10,5231976337,bposluszny,0,51.95,CPT Austin Wells UTIL Gerrit Cole UTIL Hayden Wesneski UTIL Yordan Alvarez UTIL Jazz Chisholm Jr. UTIL Spencer Jones,,Jazz Chisholm Jr.,UTIL,21.74%,15
11,5232369696,fall54,0,48.3,CPT Gerrit Cole UTIL Hayden Wesneski UTIL Cody Bellinger UTIL Yainer Diaz UTIL Spencer Jones UTIL Austin Wells,,Trent Grisham,UTIL,21.74%,0
12,5232119091,khill111111,0,47.2,CPT Jazz Chisholm Jr. UTIL Gerrit Cole UTIL Luis Garcia Jr. UTIL George Lombard Jr. UTIL Daulton Varsho UTIL Spencer Jones,,George Lombard Jr.,UTIL,17.39%,8
13,5232365693,MaddHatter916,0,47.05,CPT Gerrit Cole UTIL Ben Rice UTIL Jazz Chisholm Jr. UTIL Trent Grisham UTIL Taylor Trammell UTIL Austin Wells,,Yainer Diaz,UTIL,17.39%,3
14,5232530842,jabbo123,0,46.3,CPT Gerrit Cole UTIL Hayden Wesneski UTIL Yordan Alvarez UTIL Cam Smith UTIL Taylor Trammell UTIL Austin Wells,,Daulton Varsho,UTIL,17.39%,4
15,5232512353,USAFJorgensen,0,44.3,CPT Gerrit Cole UTIL Hayden Wesneski UTIL Trent Grisham UTIL Spencer Jones UTIL Taylor Trammell UTIL Austin Wells,,Cody Bellinger,UTIL,17.39%,4
16,5232526522,L053R666,0,41.3,CPT Gerrit Cole UTIL Hayden Wesneski UTIL Luis Garcia Jr. UTIL Spencer Jones UTIL Cam Smith UTIL Austin Wells,,Jose Altuve,UTIL,13.04%,0
16,5232534349,Sally_Bunn,0,41.3,CPT Gerrit Cole UTIL Hayden Wesneski UTIL Luis Garcia Jr. UTIL Spencer Jones UTIL Cam Smith UTIL Austin Wells,,Jose Caballero,UTIL,13.04%,3
16,5232545906,yaya0130,0,41.3,CPT Gerrit Cole UTIL Hayden Wesneski UTIL Luis Garcia Jr. UTIL Spencer Jones UTIL Cam Smith UTIL Austin Wells,,Ben Rice,UTIL,13.04%,10
19,5232545674,DFSdegen,0,38.05,CPT Gerrit Cole UTIL Cody Bellinger UTIL Jazz Chisholm Jr. UTIL Jose Altuve UTIL Spencer Jones UTIL Austin Wells,,Jeremy Pena,UTIL,13.04%,18
20,5232497430,Reboundboy,0,35.05,CPT Gerrit Cole UTIL Ben Rice UTIL Luis Garcia Jr. UTIL Yainer Diaz UTIL Cam Smith UTIL Taylor Trammell,,Christian Walker,UTIL,8.70%,26
21,5231863749,Stolle76,0,32.7,CPT Cody Bellinger UTIL Gerrit Cole UTIL Jose Altuve UTIL Jose Caballero UTIL George Lombard Jr. UTIL Yainer Diaz,,Hayden Wesneski,CPT,8.70%,33.38
22,5232365769,zonaque,0,29.05,CPT Gerrit Cole UTIL Cody Bellinger UTIL Trent Grisham UTIL Jose Caballero UTIL Spencer Jones UTIL Taylor Trammell,,Cody Bellinger,CPT,4.35%,6
23,5232477958,bleeski,0,29,CPT Ben Rice UTIL Yordan Alvarez UTIL Luis Garcia Jr. UTIL Cody Bellinger UTIL George Lombard Jr. UTIL Austin Wells,,Austin Wells,CPT,4.35%,0
,,,,,,,Jazz Chisholm Jr.,CPT,4.35%,22.5
,,,,,,,Spencer Jones,CPT,4.35%,0
,,,,,,,Isaac Paredes,UTIL,4.35%,10
,,,,,,,Ben Rice,CPT,4.35%,15
,,,,,,,Christian Walker,CPT,4.35%,39
