Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5232660682,mylo420,0,72.775,CPT Jose Cabrera UTIL Rafael Devers UTIL Drew Gilbert UTIL Jonah Cox UTIL Drew Cavanaugh UTIL Landen Roupp,,Corbin Carroll,UTIL,47.83%,0
2,5232280966,Tburke34,0,71.15,CPT Bryce Eldridge UTIL Rafael Devers UTIL Geraldo Perdomo UTIL Drew Gilbert UTIL Turner Hill UTIL Landen Roupp,,Rafael Devers,UTIL,43.48%,8
3,5232487738,dtapper29,0,66.5,CPT Geraldo Perdomo UTIL Gabriel Moreno UTIL Rafael Devers UTIL Max Kepler UTIL Lars Nootbaar UTIL Jonah Cox,,Lars Nootbaar,UTIL,34.78%,3
4,5232577057,BADM00N,0,62.15,CPT Geraldo Perdomo UTIL Rafael Devers UTIL Max Kepler UTIL Drew Gilbert UTIL Nate Furman UTIL Landen Roupp,,Drew Gilbert,UTIL,34.78%,16
5,5232635192,TeamDetroit85,0,61,CPT Gabriel Moreno UTIL Corbin Carroll UTIL Rafael Devers UTIL Drew Gilbert UTIL Christian Koss UTIL Bryce Eldridge,,Geraldo Perdomo,UTIL,30.43%,13
6,5232639791,Flipper9,0,60.5,CPT Turner Hill UTIL Corbin Carroll UTIL Gabriel Moreno UTIL Rafael Devers UTIL Geraldo Perdomo UTIL Drew Gilbert,,Landen Roupp,UTIL,30.43%,15.65
7,5232384168,cw1tt,0,59.75,CPT Tim Tawa UTIL Gabriel Moreno UTIL Nolan Arenado UTIL Geraldo Perdomo UTIL Jonah Cox UTIL Jose Cabrera,,Jonah Cox,UTIL,26.09%,17
8,5232514325,atleast31,0,55,CPT Gabriel Moreno UTIL Corbin Carroll UTIL Rafael Devers UTIL Lars Nootbaar UTIL Drew Gilbert UTIL Christian Koss,,Gabriel Moreno,UTIL,26.09%,16
9,5232154315,KILLANADZ24,0,54.4,CPT Tim Tawa UTIL Rafael Devers UTIL Ryan Waldschmidt UTIL Jonah Cox UTIL Landen Roupp UTIL Jose Cabrera,,Max Kepler,UTIL,26.09%,3
10,5231863837,Stolle76,0,53,CPT Rafael Devers UTIL Nolan Arenado UTIL Geraldo Perdomo UTIL Lars Nootbaar UTIL Drew Gilbert UTIL Bryce Eldridge,,Tim Tawa,UTIL,26.09%,2
11,5232398208,KristianFTM,0,50.125,CPT Jose Cabrera UTIL Gabriel Moreno UTIL Geraldo Perdomo UTIL Lars Nootbaar UTIL Tim Tawa UTIL Nate Furman,,Jose Cabrera,CPT,26.09%,16.12
11,5232637118,deathmetalbob,0,50.125,CPT Jose Cabrera UTIL Gabriel Moreno UTIL Geraldo Perdomo UTIL Jose Fernandez UTIL Tim Tawa UTIL Drew Cavanaugh,,Nate Furman,UTIL,21.74%,0
13,5232166688,oneupthedevil,0,48.65,CPT Drew Gilbert UTIL Corbin Carroll UTIL Ildemaro Vargas UTIL Nate Furman UTIL Bryce Eldridge UTIL Landen Roupp,,Turner Hill,UTIL,21.74%,5
14,5232587541,bleeski,0,42,CPT Gabriel Moreno UTIL Corbin Carroll UTIL Nolan Arenado UTIL Geraldo Perdomo UTIL Turner Hill UTIL Nate Furman,,Bryce Eldridge,UTIL,17.39%,9
15,5232279963,udod59,0,41,CPT Corbin Carroll UTIL Gabriel Moreno UTIL Max Kepler UTIL Lars Nootbaar UTIL Tim Tawa UTIL Jonah Cox,,Jose Cabrera,UTIL,17.39%,10.75
