Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5222860407,rynstien,0,126.05,1B Kyle Schwarber 2B Jazz Chisholm Jr. 3B Jose Ramirez C Austin Wells OF Trent Grisham OF Jo Adell OF Steven Kwan P Kyle Leahy P Carlos Rodon SS Trea Turner,,Ivan Herrera,C,56.52%,0
2,5222927119,waiverwirewizards,0,117.3,1B Griffin Conine 2B Xavier Edwards 3B Javier Sanoja C Ben Rice OF Trent Grisham OF Angel Martinez OF Jakob Marsee P Braxton Ashcraft P Foster Griffin SS Otto Lopez,,Zack Wheeler,P,34.78%,17.65
3,5222868799,chex43,0,117.1,1B Rhys Hoskins 2B Osleivis Basabe 3B Jose Ramirez C Ivan Herrera OF Jordan Walker OF Angel Martinez OF Jo Adell P Zack Wheeler P Kyle Leahy SS Angel Genao,,Foster Griffin,P,34.78%,23.3
4,5222922501,youngster201,0,116.95,1B Alec Bohm 2B Luis Arraez 3B Angel Genao C Rafael Flores Jr. OF Kyle Schwarber OF Bryce Harper OF Griffin Conine P Foster Griffin P Andrew Abbott SS Kevin McGonigle,,Jordan Walker,OF,34.78%,5
5,5222936278,fheimes,0,109.95,1B Rhys Hoskins 2B Jazz Chisholm Jr. 3B Jose Ramirez C Ivan Herrera OF Angel Martinez OF Jo Adell OF Joshua Baez P Zack Wheeler P Foster Griffin SS Angel Genao,,Joshua Baez,OF,34.78%,2
6,5222881629,Bankster17,0,101.65,1B Rhys Hoskins 2B Richie Palacios 3B Jose Ramirez C Ivan Herrera OF Jordan Walker OF Angel Martinez OF Jo Adell P Braxton Ashcraft P Nick Martinez SS George Lombard Jr.,,Braxton Ashcraft,P,30.43%,25
7,5222899566,kenpee,0,101.3,1B Alec Burleson 2B Xavier Edwards 3B Coby Mayo C Ivan Herrera OF Jordan Walker OF Bryan Reynolds OF Spencer Jones P Braxton Ashcraft P Foster Griffin SS Angel Genao,,Ben Rice,C,30.43%,2
8,5222889419,mcafeend,0,96.1,1B Ben Rice 2B Jazz Chisholm Jr. 3B Colt Keith C Eduardo Valencia OF Trent Grisham OF Heliot Ramos OF Brett Callahan P Zack Wheeler P Kyle Leahy SS George Lombard Jr.,,Trent Grisham,OF,30.43%,21
9,5222948294,studd2,0,89.9,1B Rafael Flores Jr. 2B JJ Wetherholt 3B Angel Genao C Ben Rice OF JJ Bleday OF Brett Bateman OF Oneil Cruz P Foster Griffin P Carlos Rodon SS Trea Turner,,Kyle Leahy,P,26.09%,25.45
10,5222948786,Making-money,0,88.7,1B Pete Alonso 2B Gleyber Torres 3B Alec Bohm C Ivan Herrera OF Jordan Walker OF Trent Grisham OF Chandler Simpson P Kyle Leahy P Keider Montero SS Kevin McGonigle,,JJ Wetherholt,2B,26.09%,0
