Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5223007587,slophound,0,158.40001,1B Freddie Freeman 2B Tommy Edman 3B Willi Castro C Moises Ballesteros OF Teoscar Hernandez OF Shohei Ohtani OF Cam Smith P Eric Lauer P George Klassen SS Mookie Betts,,Kevin Gausman,P,51.48%,8.35
2,5222620106,Wanna_Square_Up1567 (4/7),0,142.7,1B Shohei Ohtani 2B Connor Norby 3B Willi Castro C Moises Ballesteros OF Jake McCarthy OF Andy Pages OF Jordan Beck P Cal Quantrill P George Klassen SS Cole Carrigg,,Eric Lauer,P,45.15%,15.05
3,5222539384,Extraqtt (5/7),0,138.7,1B Munetaka Murakami 2B Tommy Edman 3B Max Muncy C Hunter Feduccia OF Teoscar Hernandez OF Andrew Benintendi OF Kyle Tucker P Cal Quantrill P George Klassen SS Colson Montgomery,,Shohei Ohtani,OF,35.02%,16
4,5222917946,auweglman (1/5),0,137.85,1B Michael Busch 2B Willi Castro 3B Miguel Vargas C Drew Romo OF Brandon Nimmo OF Jake McCarthy OF Mickey Moniak P Erick Fedde P Cal Quantrill SS Zach Neto,,Cal Quantrill,P,24.47%,27.35
5,5222539380,Extraqtt (1/7),0,136.7,1B Munetaka Murakami 2B Chase Meidroth 3B Colson Montgomery C Drew Romo OF Shohei Ohtani OF Andy Pages OF Tristan Peters P Cal Quantrill P George Klassen SS Corey Seager,,Max Muncy,3B,24.47%,5
6,5222357676,minrobertson210 (3/7),0,134.7,1B Freddie Freeman 2B Cody Freeman 3B Willi Castro C Danny Jansen OF Tommy Edman OF Jordan Beck OF Wyatt Langford P Kevin Gausman P George Klassen SS CJ Abrams,,Cristian Javier,P,24.05%,11.4
7,5222451453,mrcsjhnsn (3/7),0,131,1B Munetaka Murakami 2B Willi Castro 3B Ezequiel Duran C Yainer Diaz OF Pete Crow-Armstrong OF Wade Meckler OF Sam Antonacci P Cal Quantrill P Jackson Kent SS Corey Seager,,Jackson Kent,P,22.78%,-2.35
8,5223006995,jokerdpo (2/2),0,129.15,1B Munetaka Murakami 2B Sam Antonacci 3B Willi Castro C Moises Ballesteros OF Shohei Ohtani OF Jake McCarthy OF Josh Lowe P Erick Fedde P Jackson Kent SS Cole Carrigg,,Mookie Betts,SS,21.52%,0
9,5222295954,jshuey2001,0,129,1B Nolan Schanuel 2B Sam Antonacci 3B Willi Castro C Drew Romo OF Shohei Ohtani OF Pete Crow-Armstrong OF Braden Montgomery P George Klassen P Jackson Kent SS Cole Carrigg,,Andy Pages,OF,20.25%,3
10,5222648935,RickDHeath,0,124.7,1B Nolan Schanuel 2B Tommy Edman 3B Max Muncy C Tyler Heineman OF Shohei Ohtani OF Andy Pages OF Wade Meckler P Cal Quantrill P George Klassen SS Zach Neto,,Freddie Freeman,1B,19.41%,19
11,5222620104,Wanna_Square_Up1567 (2/7),0,123.7,1B Munetaka Murakami 2B Sam Antonacci 3B Miguel Vargas C Drew Romo OF Shohei Ohtani OF Andy Pages OF Tristan Peters P Cal Quantrill P George Klassen SS Ezequiel Tovar,,Abimelec Ortiz,1B,18.99%,0
12,5222528675,PSULucky7 (1/4),0,123.4,1B Munetaka Murakami 2B Sam Antonacci 3B Max Muncy C Hunter Feduccia OF Shohei Ohtani OF Ian Happ OF Tristan Peters P Eric Lauer P Cal Quantrill SS Colson Montgomery,,Wyatt Langford,OF,18.57%,12
12,5222528676,PSULucky7 (2/4),0,123.4,1B Freddie Freeman 2B Chase Meidroth 3B Max Muncy C Hunter Feduccia OF Shohei Ohtani OF Ian Happ OF Josh Lowe P Eric Lauer P Cal Quantrill SS Colson Montgomery,,Yordan Alvarez,OF,18.14%,0
12,5222563420,Elwaysarmy (6/7),0,123.4,1B Michael Busch 2B Pedro Ramirez 3B Alex Bregman C Drew Romo OF Mike Trout OF Shohei Ohtani OF Wyatt Langford P Eric Lauer P George Klassen SS Colson Montgomery,,Hunter Feduccia,C,18.14%,6
