Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5222738025,zonaque,0,98.5,CPT Freddie Freeman UTIL Shohei Ohtani UTIL Kyle Tucker UTIL Willi Castro UTIL Connor Norby UTIL Hunter Feduccia,,Shohei Ohtani,UTIL,56.52%,16
2,5222751364,corruption79,0,89.5,CPT Connor Norby UTIL Shohei Ohtani UTIL Freddie Freeman UTIL Mookie Betts UTIL Tommy Edman UTIL Willi Castro,,Connor Norby,UTIL,56.52%,7
3,5223021676,Oxyfide,0,88.5,CPT Freddie Freeman UTIL Shohei Ohtani UTIL TJ Rumfield UTIL Teoscar Hernandez UTIL Connor Norby UTIL Hunter Feduccia,,Hunter Feduccia,UTIL,43.48%,6
4,5222453880,tnstud46,0,84.58,CPT Eric Lauer UTIL Max Muncy UTIL Mookie Betts UTIL Teoscar Hernandez UTIL Willi Castro UTIL Hunter Feduccia,,Eric Lauer,UTIL,39.13%,15.05
5,5223038919,bleeski,0,84,CPT Shohei Ohtani UTIL Freddie Freeman UTIL Kyle Tucker UTIL Teoscar Hernandez UTIL Connor Norby UTIL Hunter Feduccia,,Mookie Betts,UTIL,39.13%,0
6,5223006445,j-wolf05,0,82,CPT Willi Castro UTIL Andy Pages UTIL Mickey Moniak UTIL Jake McCarthy UTIL Cole Carrigg UTIL Connor Norby,,Freddie Freeman,UTIL,34.78%,19
7,5222399608,Tburke34,0,79.05,CPT Shohei Ohtani UTIL Eric Lauer UTIL Tommy Edman UTIL Teoscar Hernandez UTIL Jordan Beck UTIL Connor Norby,,Willi Castro,UTIL,30.43%,32
8,5222870022,L053R666,0,78.05,CPT Shohei Ohtani UTIL Eric Lauer UTIL Tommy Edman UTIL Teoscar Hernandez UTIL Jordan Beck UTIL Hunter Feduccia,,Tommy Edman,UTIL,26.09%,12
9,5222363137,sbolomo,0,72.58,CPT Eric Lauer UTIL Shohei Ohtani UTIL Kyle Tucker UTIL Tommy Edman UTIL Connor Norby UTIL Hunter Feduccia,,Jordan Beck,UTIL,26.09%,2
10,5222134207,RFinch_Kings,0,67.5,CPT Jake McCarthy UTIL Andy Pages UTIL Mickey Moniak UTIL Mookie Betts UTIL Willi Castro UTIL Connor Norby,,Andy Pages,UTIL,21.74%,3
11,5222541133,Stree,0,64.05,CPT Shohei Ohtani UTIL Eric Lauer UTIL Mookie Betts UTIL Tommy Edman UTIL Connor Norby UTIL Hunter Feduccia,,Kyle Tucker,UTIL,21.74%,9
12,5223033701,wittwerjoe,0,62.05,CPT Jordan Beck UTIL Eric Lauer UTIL Shohei Ohtani UTIL Freddie Freeman UTIL Kyle Tucker UTIL Ezequiel Tovar,,Teoscar Hernandez,UTIL,21.74%,19
13,5222857025,KristianFTM,0,61.98,CPT Ryan Feltner UTIL Shohei Ohtani UTIL Jake McCarthy UTIL Willi Castro UTIL Jordan Beck UTIL Ezequiel Tovar,,Ezequiel Tovar,UTIL,21.74%,0
14,5222430161,whoisjohngalt420,0,60.58,CPT Eric Lauer UTIL Shohei Ohtani UTIL Kyle Tucker UTIL Mookie Betts UTIL Connor Norby UTIL Hunter Feduccia,,Max Muncy,UTIL,17.39%,5
15,5222963638,nomoemoney,0,59.55,CPT Freddie Freeman UTIL Eric Lauer UTIL Andy Pages UTIL Cole Carrigg UTIL Ezequiel Tovar UTIL Hunter Feduccia,,Jake McCarthy,UTIL,17.39%,17
16,5222582521,josephje,0,59,CPT Ezequiel Tovar UTIL Freddie Freeman UTIL Max Muncy UTIL Andy Pages UTIL Mookie Betts UTIL Willi Castro,,Ryan Feltner,UTIL,13.04%,-3.35
17,5222648643,Bears133,0,50.5,CPT Connor Norby UTIL Shohei Ohtani UTIL Freddie Freeman UTIL Max Muncy UTIL Mookie Betts UTIL Ezequiel Tovar,,Mickey Moniak,UTIL,13.04%,0
18,5222489723,Celticsnc,0,45.23,CPT Eric Lauer UTIL Ryan Feltner UTIL Jake McCarthy UTIL Mookie Betts UTIL Jordan Beck UTIL Connor Norby,,Cole Carrigg,UTIL,13.04%,7
19,5222878087,118JLK,0,36.75,CPT Max Muncy UTIL Shohei Ohtani UTIL Andy Pages UTIL Mookie Betts UTIL Hunter Feduccia UTIL Jimmy Herget,,TJ Rumfield,UTIL,4.35%,12
20,5222534487,deathmetalbob,0,22.98,CPT Ryan Feltner UTIL Mickey Moniak UTIL Cole Carrigg UTIL Tommy Edman UTIL Jordan Beck UTIL Connor Norby,,Jimmy Herget,UTIL,4.35%,4.25
21,5222408000,bposluszny,0,0,,,,
21,5222438978,SauraPride,0,0,,,,
21,5222593036,KILLANADZ24,0,0,,,,
