Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5193321290,drunkonpappy (1/5),0,235.85,1B Ty France 2B Xavier Edwards 3B Manny Machado C Drake Baldwin OF Fernando Tatis Jr. OF Jackson Merrill OF Heriberto Hernandez P Paul Skenes P Eury Perez SS Xander Bogaerts,,Paul Skenes,P,45.51%,28.35
2,5193712613,bleeski (4/5),0,229.45,1B Ty France 2B Brice Turang 3B Manny Machado C Drake Baldwin OF Jackson Merrill OF Esmerlyn Valdez OF Brandon Nimmo P Paul Skenes P Nolan McLean SS Xander Bogaerts,,Carter Jensen,C,27.53%,5
3,5193304599,stock2mail (1/5),0,225.35,1B Ty France 2B Xavier Edwards 3B Manny Machado C Drake Baldwin OF Fernando Tatis Jr. OF Jackson Merrill OF Heriberto Hernandez P Nolan McLean P Joey Cantillo SS Xander Bogaerts,,Hunter Brown,P,24.72%,3.9
4,5193321294,drunkonpappy (5/5),0,223.25,1B Ty France 2B Jose Altuve 3B Manny Machado C Carter Jensen OF Fernando Tatis Jr. OF Jackson Merrill OF Jase Bowen P Paul Skenes P Hunter Brown SS Francisco Lindor,,Fernando Tatis Jr.,OF,24.16%,32
5,5193466222,dabouch1988 (5/5),0,217.65,1B Jac Caglianone 2B Jose Altuve 3B Miguel Andujar C Drake Baldwin OF Yordan Alvarez OF Wyatt Langford OF Brandon Nimmo P Nolan McLean P Shota Imanaga SS Francisco Lindor,,Manny Machado,3B,23.03%,8
6,5193422136,Wanna_Square_Up1567 (2/5),0,216.9,1B Ty France 2B Xavier Edwards 3B Manny Machado C Luis Campusano OF Fernando Tatis Jr. OF Jackson Merrill OF Heriberto Hernandez P Paul Skenes P Shota Imanaga SS Francisco Lindor,,Nathan Eovaldi,P,23.03%,0.2
7,5193466218,dabouch1988 (1/5),0,209.45,1B Ty France 2B Jose Altuve 3B Josh Jung C Carter Jensen OF Jac Caglianone OF Wyatt Langford OF Lane Thomas P Paul Skenes P Nolan McLean SS Francisco Lindor,,Juan Soto,OF,22.47%,12
8,5193321292,drunkonpappy (3/5),0,208.8,1B Ty France 2B Marcus Semien 3B Manny Machado C Luis Campusano OF Pete Crow-Armstrong OF Fernando Tatis Jr. OF Jackson Merrill P Paul Skenes P Robert Gasser SS Francisco Lindor,,Nolan McLean,P,22.47%,35.1
9,5193794209,Mige1 (3/5),0,203.35,1B Ty France 2B Jose Altuve 3B Manny Machado C Yainer Diaz OF Yordan Alvarez OF Fernando Tatis Jr. OF Jackson Merrill P Nolan McLean P Joey Cantillo SS Xander Bogaerts,,Shota Imanaga,P,21.91%,23.55
10,5193629957,salatso22 (3/5),0,197.6,1B Ty France 2B Marcus Semien 3B Manny Machado C Carter Jensen OF Fernando Tatis Jr. OF Jackson Merrill OF A.J. Ewing P Paul Skenes P Joey Cantillo SS Francisco Lindor,,Joey Cantillo,P,21.91%,11.25
11,5193541553,Keendom,0,191.25,1B Ty France 2B Jose Altuve 3B Manny Machado C Carter Jensen OF Fernando Tatis Jr. OF Jackson Merrill OF Isaac Collins P Paul Skenes P Hunter Brown SS Xander Bogaerts,,Xander Bogaerts,SS,20.79%,9
12,5193725063,jordanh415,0,190.25,1B Ty France 2B Josh Rojas 3B Manny Machado C Carter Jensen OF Fernando Tatis Jr. OF Jac Caglianone OF Jackson Merrill P Paul Skenes P Hunter Brown SS Xander Bogaerts,,Francisco Lindor,SS,20.22%,30
13,5193324854,pgk8 (1/5),0,189,1B Jake Burger 2B Ozzie Albies 3B Manny Machado C Drake Baldwin OF Fernando Tatis Jr. OF Jackson Merrill OF Miguel Andujar P Hunter Brown P Nolan McLean SS Xander Bogaerts,,Yordan Alvarez,OF,17.98%,7
14,5193321293,drunkonpappy (4/5),0,187.8,1B Ty France 2B Brice Turang 3B Manny Machado C Carter Jensen OF Fernando Tatis Jr. OF Jackson Merrill OF Lane Thomas P Paul Skenes P Robert Gasser SS Xander Bogaerts,,Jackson Merrill,OF,17.42%,43
15,5193682210,case987 (1/5),0,185.6,1B Willson Contreras 2B Jose Altuve 3B Miguel Andujar C Luis Campusano OF Yordan Alvarez OF Fernando Tatis Jr. OF Jase Bowen P Nolan McLean P Eury Perez SS Xander Bogaerts,,Lane Thomas,OF,16.85%,7
16,5193629958,salatso22 (4/5),0,181.6,1B Bryce Harper 2B Marcus Semien 3B Manny Machado C Drake Baldwin OF Fernando Tatis Jr. OF Jackson Merrill OF Miguel Andujar P Paul Skenes P Joey Cantillo SS Xander Bogaerts,,Ty France,1B,15.73%,34
17,5193629393,Extraqtt (1/5),0,177.6,1B Ty France 2B Kody Clemens 3B Manny Machado C Carter Jensen OF Fernando Tatis Jr. OF Jackson Merrill OF Lane Thomas P Paul Skenes P Joey Cantillo SS Xander Bogaerts,,Wyatt Langford,OF,15.17%,26
18,5193682212,case987 (3/5),0,175.45,1B Jac Caglianone 2B Nico Hoerner 3B Alex Bregman C Carson Kelly OF Ian Happ OF Wyatt Langford OF Joc Pederson P Paul Skenes P Nolan McLean SS Dansby Swanson,,Jose Altuve,2B,14.61%,21
19,5193677734,Shellybaby1 (1/5),0,175.25,1B Ty France 2B Brett Baty 3B Manny Machado C Luis Torrens OF Juan Soto OF Fernando Tatis Jr. OF Miguel Andujar P Paul Skenes P Hunter Brown SS Francisco Lindor,,Sonny Gray,P,14.61%,20.1
20,5193466219,dabouch1988 (2/5),0,174.25,1B Ty France 2B Jose Altuve 3B Nick Loftin C Carter Jensen OF Kyle Schwarber OF Jackson Merrill OF Isaac Collins P Paul Skenes P Hunter Brown SS Francisco Lindor,,Jac Caglianone,OF,14.04%,21
21,5193304600,stock2mail (2/5),0,171.85,1B Salvador Perez 2B Josh Rojas 3B Manny Machado C Carter Jensen OF Fernando Tatis Jr. OF Jackson Merrill OF Lane Thomas P Paul Skenes P Eury Perez SS Xander Bogaerts,,Drake Baldwin,C,13.48%,44
22,5193546035,CFinch,0,170,1B Jac Caglianone 2B Josh Rojas 3B Manny Machado C Carter Jensen OF Fernando Tatis Jr. OF Jackson Merrill OF Lane Thomas P Hunter Brown P Nolan McLean SS Xander Bogaerts,,Brice Turang,2B,13.48%,4
23,5193629955,salatso22 (1/5),0,169.6,1B Ty France 2B Marcus Semien 3B Manny Machado C Luis Campusano OF Juan Soto OF Fernando Tatis Jr. OF Wyatt Langford P Paul Skenes P Joey Cantillo SS Xander Bogaerts,,Nick Loftin,3B,13.48%,0
23,5193629959,salatso22 (5/5),0,169.6,1B Ty France 2B Marcus Semien 3B Manny Machado C Luis Campusano OF Juan Soto OF Fernando Tatis Jr. OF Wyatt Langford P Paul Skenes P Joey Cantillo SS Xander Bogaerts,,Jac Caglianone,1B,13.48%,21
25,5193324856,pgk8 (3/5),0,168.25,1B Ty France 2B Xavier Edwards 3B Javier Sanoja C Luis Campusano OF Fernando Tatis Jr. OF Jackson Merrill OF Heriberto Hernandez P Paul Skenes P Hunter Brown SS Xander Bogaerts,,Brandon Nimmo,OF,12.92%,4
26,5193735269,garysavoy (3/5),0,167.3,1B Ty France 2B Xavier Edwards 3B Manny Machado C Liam Hicks OF Fernando Tatis Jr. OF Jackson Merrill OF Griffin Conine P Nathan Eovaldi P Nolan McLean SS Xander Bogaerts,,Xavier Edwards,2B,11.80%,3
27,5193629956,salatso22 (2/5),0,166.5,1B Bryce Harper 2B Brett Baty 3B Manny Machado C Luis Campusano OF Fernando Tatis Jr. OF Jackson Merrill OF Miguel Andujar P Paul Skenes P Brandon Young SS Trea Turner,,Tyler Tolbert,SS,11.80%,0
28,5193523086,ChokeHoldem1,0,165.35,1B Ty France 2B Brice Turang 3B Manny Machado C Luis Campusano OF Fernando Tatis Jr. OF Jackson Merrill OF Lane Thomas P Hunter Brown P Robert Gasser SS Trea Turner,,Luis Campusano,C,11.24%,9
29,5193710807,PensDangleSniper94 (1/5),0,164.55,1B Ty France 2B Jose Altuve 3B Bo Bichette C Yainer Diaz OF Fernando Tatis Jr. OF Jac Caglianone OF Miguel Andujar P Paul Skenes P Nathan Eovaldi SS Xander Bogaerts,,Josh Jung,3B,11.24%,2
30,5193454872,Shamrock3333,0,161.65,1B Michael Busch 2B Brett Baty 3B Nick Gonzales C Drake Baldwin OF Yordan Alvarez OF Jac Caglianone OF Brandon Marsh P Sonny Gray P Shota Imanaga SS Xander Bogaerts,,Yainer Diaz,C,10.11%,3
31,5193622933,cholt27 (4/5),0,159.45,1B Jared Young 2B Brett Baty 3B Junior Caminero C Luis Torrens OF Juan Soto OF Jac Caglianone OF Lane Thomas P Paul Skenes P Nolan McLean SS Francisco Lindor,,Marcus Semien,2B,10.11%,0
32,5193382594,mythicalrhymer01 (4/5),0,157.75,1B Ty France 2B Xavier Edwards 3B Miguel Andujar C Samuel Basallo OF Yordan Alvarez OF Fernando Tatis Jr. OF Jackson Merrill P Nathan Eovaldi P Shota Imanaga SS Xander Bogaerts,,Joc Pederson,OF,10.11%,10
33,5193795822,Aoteoroa (3/3),0,156.6,1B Liam Hicks 2B Nico Hoerner 3B Alex Bregman C Carter Jensen OF Seiya Suzuki OF Jackson Merrill OF Jakob Marsee P Sonny Gray P Eury Perez SS Dansby Swanson,,A.J. Ewing,OF,10.11%,6
34,5193712612,bleeski (3/5),0,152.45,1B Josh Bell 2B Marcus Semien 3B Josh Jung C Drake Baldwin OF Michael Harris II OF Wyatt Langford OF Brandon Nimmo P Paul Skenes P Nolan McLean SS Jeremy Pena,,Pete Crow-Armstrong,OF,9.55%,7
35,5193672757,sboynton10 (2/5),0,151.25,1B Salvador Perez 2B Brice Turang 3B Manny Machado C Luis Campusano OF Fernando Tatis Jr. OF Jackson Merrill OF Jase Bowen P Paul Skenes P Hunter Brown SS Tyler Tolbert,,Kyle Schwarber,OF,9.55%,2
36,5193368864,kylehaeussler,0,149.9,1B Jac Caglianone 2B Jose Altuve 3B Nick Loftin C Carter Jensen OF Yordan Alvarez OF Lane Thomas OF Isaac Collins P Paul Skenes P Shota Imanaga SS Francisco Lindor,,Trea Turner,SS,9.55%,7
37,5193577069,soonerbernie2002 (3/3),0,149.45,1B Michael Busch 2B Jose Altuve 3B Alex Bregman C Yainer Diaz OF Yordan Alvarez OF LaMonte Wade Jr. OF Lucas Spence P Paul Skenes P Sonny Gray SS Francisco Lindor,,Isaac Collins,OF,8.99%,7
