Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5200238610,stock2mail,0,103.5,1B Nolan Schanuel 2B Brice Turang 3B Vaughn Grissom C Tyler Heineman OF Josh Lowe OF Wilyer Abreu OF Ceddanne Rafaela P Brandon Sproat P Payton Tolle SS Zach Neto,,Payton Tolle,P,64.41%,22.4
2,5200710461,bkukor,0,99.9,1B Willson Contreras 2B Jose Altuve 3B Vaughn Grissom C Christian Vazquez OF LaMonte Wade Jr. OF Jo Adell OF Lucas Spence P Tyler Mahle P Payton Tolle SS Jeremy Pena,,Tatsuya Imai,P,54.24%,-3.5
3,5200675788,sportsfan14,0,97.85,1B Nolan Schanuel 2B Brice Turang 3B Vaughn Grissom C Christian Vazquez OF Mike Trout OF Yordan Alvarez OF Tyler Soderstrom P Jack Perkins P Brandon Sproat SS Jeremy Pena,,William Contreras,C,45.76%,0
4,5200848307,Ilost626,0,94.9,1B Nolan Schanuel 2B Caleb Durbin 3B Curtis Mead C William Contreras OF Josh Lowe OF Yordan Alvarez OF Ceddanne Rafaela P Walbert Urena P Payton Tolle SS Cooper Pratt,,Brice Turang,2B,44.07%,0
5,5200886021,mrbig91,0,93.9,1B Willson Contreras 2B Vaughn Grissom 3B Isaac Paredes C William Contreras OF Josh Lowe OF Yordan Alvarez OF Drew Gilbert P Walbert Urena P Payton Tolle SS Jacob Wilson,,Jeremy Pena,SS,42.37%,9
6,5200962944,tigolebitties91,0,92.9,1B Rafael Devers 2B Luis Arraez 3B Caleb Durbin C William Contreras OF Jake Bauers OF Heliot Ramos OF Ceddanne Rafaela P Walbert Urena P Payton Tolle SS Willy Adames,,Yordan Alvarez,OF,37.29%,11
7,5200949307,Surfer_Cole,0,90.9,1B Willson Contreras 2B Vaughn Grissom 3B Casey Schmitt C William Contreras OF Mike Trout OF Jorge Soler OF Jo Adell P Walbert Urena P Payton Tolle SS Cooper Pratt,,Curtis Mead,3B,37.29%,2
8,5200957244,Charles05,0,86.9,1B Rafael Devers 2B Luis Arraez 3B Curtis Mead C Jesus Rodriguez OF Christian Yelich OF Jake Bauers OF Ceddanne Rafaela P Walbert Urena P Payton Tolle SS Cooper Pratt,,Willson Contreras,1B,37.29%,6
9,5200406390,Wanna_Square_Up1567,0,86,1B Rafael Devers 2B Luis Arraez 3B Denzer Guzman C Connor Wong OF Mike Trout OF Jorge Soler OF Jo Adell P Tyler Mahle P Walbert Urena SS Zach Neto,,Walbert Urena,P,33.90%,18.5
10,5200348447,mythicalrhymer01,0,85.9,1B Willson Contreras 2B Brice Turang 3B Curtis Mead C Connor Wong OF Jake Bauers OF Masataka Yoshida OF Ceddanne Rafaela P Walbert Urena P Payton Tolle SS Cooper Pratt,,Wilyer Abreu,OF,30.51%,4
11,5200353091,Jackie2424,0,85.5,1B Willson Contreras 2B Vaughn Grissom 3B Curtis Mead C Tyler Heineman OF Mike Trout OF Jorge Soler OF Wilyer Abreu P Brandon Sproat P Payton Tolle SS Zach Neto,,Rafael Devers,1B,27.12%,2
12,5200585897,Celticsnc,0,84.6,1B Willson Contreras 2B Caleb Durbin 3B Curtis Mead C Connor Wong OF Mike Trout OF Masataka Yoshida OF Tyler Soderstrom P Brandon Sproat P Walbert Urena SS Zach Neto,,Jackson Chourio,OF,23.73%,3
13,5200500353,briguy13,0,84.25,1B Nolan Schanuel 2B Vaughn Grissom 3B Joey Ortiz C Jonah Heim OF Mike Trout OF Christian Yelich OF Jackson Chourio P Jack Perkins P Walbert Urena SS Cooper Pratt,,Christian Yelich,OF,23.73%,0
14,5200947600,gokullect,0,82.9,1B Nolan Schanuel 2B Brice Turang 3B Curtis Mead C Connor Wong OF Mike Trout OF Jorge Soler OF Jo Adell P Walbert Urena P Payton Tolle SS Zach Neto,,Isaac Paredes,3B,22.03%,4
15,5200885462,macyfan,0,82,1B Willson Contreras 2B Caleb Durbin 3B Curtis Mead C Jonah Heim OF Yordan Alvarez OF Wilyer Abreu OF Tyler Soderstrom P Tyler Mahle P Tatsuya Imai SS Andruw Monasterio,,Brandon Sproat,P,22.03%,12.1
16,5200292150,pgk8,0,81.9,1B Rafael Devers 2B Luis Arraez 3B Casey Schmitt C Tyler Heineman OF Mike Trout OF Jorge Soler OF Jo Adell P Walbert Urena P Payton Tolle SS Zach Neto,,Cooper Pratt,SS,22.03%,2
17,5200452003,titanhawks,0,78.15,1B Rafael Devers 2B Brice Turang 3B Isaac Paredes C William Contreras OF Christian Yelich OF Yordan Alvarez OF Grant McCray P Jack Perkins P Payton Tolle SS Jeremy Pena,,Ceddanne Rafaela,OF,20.34%,20
18,5200206323,aramisj22,0,77.9,1B Bryce Eldridge 2B Luis Arraez 3B Casey Schmitt C William Contreras OF Heliot Ramos OF Drew Gilbert OF Jackson Chourio P Tyler Mahle P Payton Tolle SS Jeremy Pena,,Mike Trout,OF,20.34%,4
19,5200655231,grantgoupil,0,76,1B Christian Walker 2B Jose Altuve 3B Isaac Paredes C Jonah Heim OF Yordan Alvarez OF Jarren Duran OF Tyler Soderstrom P Tyler Mahle P Tatsuya Imai SS Jeremy Pena,,Masataka Yoshida,OF,20.34%,5
20,5200222396,Foreman619,0,75.9,1B Rafael Devers 2B Luis Arraez 3B Vaughn Grissom C Gary Sanchez OF Jake Bauers OF Yordan Alvarez OF Jarren Duran P Tatsuya Imai P Payton Tolle SS Jeremy Pena,,Caleb Durbin,2B,20.34%,5
20,5200965233,Jerard,0,75.9,1B Nolan Schanuel 2B Caleb Durbin 3B Curtis Mead C William Contreras OF Christian Yelich OF Jake Bauers OF Jo Adell P Walbert Urena P Payton Tolle SS Jeremy Pena,,Jonah Heim,C,18.64%,14
22,5200898792,flintmonster,0,72.9,1B Rafael Devers 2B Brice Turang 3B Curtis Mead C William Contreras OF Josh Lowe OF Jo Adell OF Drew Gilbert P Walbert Urena P Payton Tolle SS Jeremy Pena,,Jarren Duran,OF,16.95%,0
23,5200914340,jakeupjohnson,0,72.6,1B Willson Contreras 2B Jeff McNeil 3B Tommy White C William Contreras OF Mike Trout OF Yordan Alvarez OF Tyler Soderstrom P Brandon Sproat P Walbert Urena SS Cooper Pratt,,Jake Bauers,OF,16.95%,3
24,5200944584,aarond23,0,69.5,1B Willson Contreras 2B Brice Turang 3B Joey Ortiz C William Contreras OF Josh Lowe OF Yordan Alvarez OF Jo Adell P Brandon Sproat P Payton Tolle SS Cooper Pratt,,Casey Schmitt,3B,15.25%,3
25,5200953496,envymygrind,0,69,1B Willson Contreras 2B Brice Turang 3B Isaac Paredes C Tyler Heineman OF Mike Trout OF Taylor Trammell OF Yordan Alvarez P Tatsuya Imai P Walbert Urena SS Willy Adames,,Zach Neto,SS,15.25%,9
26,5200369718,bthel,0,68.9,1B Nolan Schanuel 2B Luis Arraez 3B Casey Schmitt C Jonah Heim OF Wilyer Abreu OF Jarren Duran OF Jackson Chourio P Tatsuya Imai P Payton Tolle SS Zach Neto,,Jo Adell,OF,15.25%,9
27,5200225562,cpdk69,0,68,1B Rafael Devers 2B Anthony Seigler 3B Isaac Paredes C Yainer Diaz OF Yordan Alvarez OF Jarren Duran OF Jackson Chourio P Tyler Mahle P Walbert Urena SS Jeremy Pena,,Luis Arraez,2B,13.56%,10
28,5200486759,donj9903,0,66.6,1B Willson Contreras 2B Jeff McNeil 3B Curtis Mead C Jonah Heim OF Yordan Alvarez OF Jo Adell OF Wilyer Abreu P Tatsuya Imai P Brandon Sproat SS Jeremy Pena,,Connor Wong,C,11.86%,7
29,5200441493,Greenbay26,0,64.9,1B Willson Contreras 2B Brice Turang 3B Curtis Mead C Tyler Heineman OF Masataka Yoshida OF Wilyer Abreu OF Ceddanne Rafaela P Tatsuya Imai P Payton Tolle SS Jeremy Pena,,Nolan Schanuel,1B,11.86%,7
30,5200748070,ggb777,0,63.9,1B Christian Walker 2B Brice Turang 3B Isaac Paredes C William Contreras OF Christian Yelich OF Yordan Alvarez OF Grant McCray P Tatsuya Imai P Payton Tolle SS Jeremy Pena,,Tyler Mahle,P,10.17%,20.5
31,5200924043,DailyWombat,0,62.9,1B Willson Contreras 2B Caleb Durbin 3B Isaac Paredes C William Contreras OF LaMonte Wade Jr. OF Masataka Yoshida OF Yordan Alvarez P Tatsuya Imai P Payton Tolle SS Jeremy Pena,,Josh Lowe,OF,10.17%,7
32,5200931727,Raiderfanatic2195,0,62.5,1B Andrew Vaughn 2B Brice Turang 3B Caleb Durbin C William Contreras OF Masataka Yoshida OF Garrett Mitchell OF Wilyer Abreu P Brandon Sproat P Payton Tolle SS Zach Neto,,Jorge Soler,OF,10.17%,4
33,5200812299,libo66,0,61.9,1B Tommy White 2B Caleb Durbin 3B Curtis Mead C William Contreras OF Yordan Alvarez OF Ceddanne Rafaela OF Jackson Chourio P Tatsuya Imai P Payton Tolle SS Cooper Pratt,,Tyler Soderstrom,OF,10.17%,16
33,5200958620,Mason7488,0,61.9,1B Willson Contreras 2B Caleb Durbin 3B Curtis Mead C William Contreras OF Masataka Yoshida OF Ceddanne Rafaela OF Jackson Chourio P Tatsuya Imai P Payton Tolle SS Cooper Pratt,,Christian Walker,1B,8.47%,5
35,5200902222,dreday7,0,60,1B Willson Contreras 2B Luis Arraez 3B Casey Schmitt C Jonah Heim OF Christian Yelich OF Jake Bauers OF Garrett Mitchell P Tatsuya Imai P Walbert Urena SS Jeremy Pena,,Tyler Heineman,C,8.47%,0
36,5200848330,MIKEMETAL,0,59.9,1B Jake Bauers 2B Brice Turang 3B Isaac Paredes C Jesus Rodriguez OF Christian Yelich OF Wilyer Abreu OF Tyler Soderstrom P Tatsuya Imai P Payton Tolle SS Willy Adames,,Jack Perkins,P,8.47%,13.75
37,5200926646,scottd923,0,59,1B Rafael Devers 2B Caleb Durbin 3B Casey Schmitt C Jonah Heim OF Yordan Alvarez OF Wilyer Abreu OF Jackson Chourio P Tatsuya Imai P Walbert Urena SS Cooper Pratt,,Jake Bauers,1B,6.78%,3
38,5200793166,MissingManning,0,57.9,1B Rafael Devers 2B Brice Turang 3B Isaac Paredes C William Contreras OF Wilyer Abreu OF Ceddanne Rafaela OF Jarren Duran P Tatsuya Imai P Payton Tolle SS Jeremy Pena,,Vaughn Grissom,3B,6.78%,22
39,5200418270,r2phantom,0,56.9,1B Rafael Devers 2B Brice Turang 3B Joey Ortiz C William Contreras OF Wilyer Abreu OF Jarren Duran OF Jackson Chourio P Walbert Urena P Payton Tolle SS Andruw Monasterio,,Joey Ortiz,3B,6.78%,0
40,5200184010,TheBabz,0,54.9,1B Jake Bauers 2B Brice Turang 3B Curtis Mead C Connor Wong OF LaMonte Wade Jr. OF Yordan Alvarez OF Jarren Duran P Tatsuya Imai P Payton Tolle SS Jeremy Pena,,Jose Altuve,2B,6.78%,0
40,5200223298,JRaab,0,54.9,1B Christian Walker 2B Brice Turang 3B Isaac Paredes C Connor Wong OF Christian Yelich OF Yordan Alvarez OF Jarren Duran P Tatsuya Imai P Payton Tolle SS Jeremy Pena,,Willy Adames,SS,6.78%,7
42,5200619433,ar12gbp,0,54,1B Willson Contreras 2B Brice Turang 3B Curtis Mead C William Contreras OF Masataka Yoshida OF Wilyer Abreu OF Ceddanne Rafaela P Tatsuya Imai P Walbert Urena SS Cooper Pratt,,Garrett Mitchell,OF,6.78%,0
43,5200536105,schnib,0,53.9,1B Rafael Devers 2B Jose Altuve 3B Isaac Paredes C Connor Wong OF Christian Yelich OF Yordan Alvarez OF Wilyer Abreu P Tatsuya Imai P Payton Tolle SS Willy Adames,,LaMonte Wade Jr.,OF,5.08%,4
43,5200848316,joephoto,0,53.9,1B Willson Contreras 2B Caleb Durbin 3B Curtis Mead C William Contreras OF Jake Bauers OF Josh Lowe OF Jackson Chourio P Tatsuya Imai P Payton Tolle SS Jeremy Pena,,Heliot Ramos,OF,5.08%,5
