Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5222044106,iamtheky (1/2),0,182.4,1B Shohei Ohtani 2B Jeff McNeil 3B Maikel Garcia C Drake Baldwin OF Kyle Isbel OF Eli White OF Brett Callahan P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Blake Snell,P,49.30%,22.5
2,5221927595,clags22 (2/2),0,162.25,1B Shohei Ohtani 2B Nick Sogard 3B Max Muncy C Hunter Feduccia OF Wilyer Abreu OF Ceddanne Rafaela OF Eli White P Shota Imanaga P Framber Valdez SS Andruw Monasterio,,Shota Imanaga,P,42.25%,23.9
3,5221899733,Mige1 (1/2),0,161,1B Shohei Ohtani 2B Gleyber Torres 3B Max Muncy C Hunter Feduccia OF Andy Pages OF Gavin Sheets OF Brett Callahan P Shota Imanaga P Walker Buehler SS Mookie Betts,,Max Muncy,3B,35.21%,25
3,5221933533,redspecial (1/2),0,161,1B Freddie Freeman 2B Jake Cronenworth 3B Max Muncy C Hunter Feduccia OF Shohei Ohtani OF Andy Pages OF Eli White P Shota Imanaga P Walker Buehler SS Jared Triolo,,Framber Valdez,P,35.21%,13.35
5,5221898093,seth1374 (2/2),0,160.5,1B Freddie Freeman 2B Tommy Edman 3B Maikel Garcia C Salvador Perez OF Shohei Ohtani OF Isaac Collins OF Kyle Isbel P Blake Snell P Alec Gamboa SS Bobby Witt Jr.,,Hunter Feduccia,C,29.58%,2
6,5221538968,briguy13 (2/2),0,157.8,1B Shohei Ohtani 2B Hao-Yu Lee 3B Max Muncy C Hunter Feduccia OF Tommy Edman OF Zach McKinstry OF Brett Callahan P Nolan McLean P Shota Imanaga SS Javier Baez,,Kyle Tucker,OF,23.94%,0
7,5221663841,oshevach (2/2),0,157.25,1B Jac Caglianone 2B Jorge Polanco 3B Alex Bregman C Salvador Perez OF Pete Crow-Armstrong OF Seiya Suzuki OF Kyle Isbel P Shota Imanaga P Framber Valdez SS Maikel Garcia,,Mookie Betts,SS,23.94%,9
8,5221088345,busboys,0,152.55,1B Matt Olson 2B Adael Amador 3B Max Muncy C Rafael Flores Jr. OF Shohei Ohtani OF Pete Crow-Armstrong OF Lawrence Butler P Bailey Ober P Mason Miller SS Francisco Lindor,,Shohei Ohtani,OF,22.54%,40
9,5221865965,frasig (2/2),0,152.4,1B Shohei Ohtani 2B Hao-Yu Lee 3B Jorge Polanco C Salvador Perez OF Andy Pages OF Teoscar Hernandez OF Brett Callahan P Blake Snell P Shota Imanaga SS Mookie Betts,,Andy Pages,OF,22.54%,21
9,5221927594,clags22 (1/2),0,152.4,1B Jared Young 2B Gleyber Torres 3B Max Muncy C Hunter Feduccia OF Shohei Ohtani OF Andy Pages OF Brett Callahan P Blake Snell P Shota Imanaga SS Jared Triolo,,Matt Olson,1B,21.13%,7
