Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5218507368,mcooper2300,0,152.5,1B Jac Caglianone 2B Jeff McNeil 3B Nick Loftin C Carter Jensen OF Wyatt Langford OF Lawrence Butler OF Isaac Collins P Chris Sale P Kyle Freeland SS Bobby Witt Jr.,,Gavin Williams,P,40.85%,3.15
2,5217990060,SoCalHusker (1/2),0,148.6,1B Jac Caglianone 2B Jeff McNeil 3B Brady House C Keibert Ruiz OF Daylen Lile OF Jacob Young OF Zac Veen P Chris Sale P Michael King SS CJ Abrams,,CJ Abrams,SS,32.39%,13
3,5218223668,rphdallas,0,137.1,1B Pete Alonso 2B Richie Palacios 3B Junior Caminero C Liam Hicks OF Cedric Mullins OF Trent Grisham OF Chandler Simpson P Michael King P Kyle Freeland SS Gunnar Henderson,,Abimelec Ortiz,1B,29.58%,0
4,5218141889,wittwerjoe (1/2),0,123.85,1B Jake Burger 2B Justin Foscue 3B Ezequiel Duran C Elias Diaz OF Andy Pages OF Teoscar Hernandez OF Victor Robles P Chris Sale P Landen Roupp SS Corey Seager,,Chris Sale,P,28.17%,26.5
5,5218070402,redyodagirl (1/2),0,121.15,1B Pete Alonso 2B Michael Massey 3B Christian Encarnacion-Strand C Carter Jensen OF Jac Caglianone OF Kyle Isbel OF Josh Lowe P Gavin Williams P Kyle Freeland SS Bobby Witt Jr.,,Daylen Lile,OF,26.76%,3
6,5218018848,RDB78,0,120.95,1B Abimelec Ortiz 2B Jeff McNeil 3B Angel Genao C Brett Sullivan OF Yordan Alvarez OF Jac Caglianone OF Chase DeLauter P Gavin Williams P Gage Jump SS Bobby Witt Jr.,,Kyle Freeland,P,23.94%,21
7,5218467119,Tburke34,0,120.65,1B Jac Caglianone 2B Angel Genao 3B Bo Bichette C Francisco Alvarez OF Victor Bericoto OF Zac Veen OF Jonah Cox P Chris Sale P Gavin Williams SS CJ Abrams,,Landen Roupp,P,22.54%,9.35
8,5218383810,salatso22 (2/2),0,118.5,1B Yandy Diaz 2B Richie Palacios 3B Junior Caminero C Francisco Alvarez OF Andy Pages OF Chandler Simpson OF Teoscar Hernandez P Chris Sale P Grayson Rodriguez SS Taylor Walls,,Gage Jump,P,21.13%,3.8
9,5218070403,redyodagirl (2/2),0,117.8,1B Jac Caglianone 2B Jake Cronenworth 3B Manny Machado C Carter Jensen OF Shohei Ohtani OF Fernando Tatis Jr. OF Luis Rengifo P Gage Jump P Kyle Freeland SS Xander Bogaerts,,Drake Baldwin,C,19.72%,3
10,5218443890,BSMITTYFIREMAN,0,117.2,1B Pete Alonso 2B Richie Palacios 3B Brady House C Luis Torrens OF Jac Caglianone OF Jake McCarthy OF Zac Veen P Gavin Williams P Peter Lambert SS Francisco Lindor,,Michael Harris II,OF,16.90%,3
11,5218230470,oshevach (1/2),0,116.85,1B Abimelec Ortiz 2B Michael Massey 3B Brady House C Keibert Ruiz OF Jac Caglianone OF Daylen Lile OF Isaac Collins P Chris Sale P Landen Roupp SS Bobby Witt Jr.,,Brady House,3B,16.90%,10
12,5218534524,sasmallen,0,115.05,1B Abimelec Ortiz 2B Jeff McNeil 3B Ryan McMahon C Austin Wells OF Mike Trout OF Trent Grisham OF Tyler O'Neill P Yoshinobu Yamamoto P Gavin Williams SS CJ Abrams,,Wyatt Langford,OF,16.90%,7
13,5218181358,ShineCrazyDiamond (1/2),0,112.2,1B Nolan Schanuel 2B Vaughn Grissom 3B Bo Bichette C Moises Ballesteros OF Mike Trout OF Wade Meckler OF Colton Cowser P Yoshinobu Yamamoto P Gerrit Cole SS Francisco Lindor,,Jazz Chisholm Jr.,2B,15.49%,3
14,5218491864,cb777 (1/2),0,106.8,1B Luis Garcia Jr. 2B Jazz Chisholm Jr. 3B Ryan McMahon C Austin Wells OF Trent Grisham OF Zac Veen OF Petey Halpin P Chris Sale P Gerrit Cole SS CJ Abrams,,Trent Grisham,OF,15.49%,17
15,5218095109,bgwig500 (1/2),0,106.5,1B Luis Garcia Jr. 2B Jazz Chisholm Jr. 3B Ryan McMahon C Luis Campusano OF Fernando Tatis Jr. OF Jackson Merrill OF Luis Robert Jr. P Chris Sale P Grayson Rodriguez SS Francisco Lindor,,Ryan McMahon,3B,15.49%,3
16,5218045700,heathie512 (1/2),0,104.7,1B Luis Garcia Jr. 2B Jazz Chisholm Jr. 3B Ryan McMahon C Liam Hicks OF Trent Grisham OF Victor Mesa Jr. OF Spencer Jones P Yoshinobu Yamamoto P Gage Jump SS Gunnar Henderson,,Matt Olson,1B,14.08%,0
17,5218579793,bleeski (2/2),0,103.85,1B Jac Caglianone 2B Marcus Semien 3B Bo Bichette C Drake Baldwin OF Yordan Alvarez OF Trent Grisham OF A.J. Ewing P Seth Lugo P Jesse Scholtens SS Francisco Lindor,,Gerrit Cole,P,14.08%,17.3
