Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5218559479,oneupthedevil,0,76.45,CPT Gerrit Cole UTIL Shane Bieber UTIL Trent Grisham UTIL Brett Bateman UTIL Ryan McMahon UTIL Austin Wells,,Gerrit Cole,UTIL,83.33%,17.3
2,5218619622,118JLK,0,73.45,CPT Gerrit Cole UTIL Shane Bieber UTIL Trent Grisham UTIL Brett Bateman UTIL Austin Wells UTIL Brent Headrick,,Spencer Jones,UTIL,61.11%,5
3,5218202218,Stree,0,72.75,CPT Shane Bieber UTIL Jazz Chisholm Jr. UTIL George Springer UTIL Alejandro Kirk UTIL Spencer Jones UTIL Brett Bateman,,Brett Bateman,UTIL,50.00%,6
4,5218640961,DFSdegen,0,66.3,CPT Ryan McMahon UTIL Gerrit Cole UTIL Shane Bieber UTIL Trent Grisham UTIL Spencer Jones UTIL George Lombard Jr.,,Shane Bieber,UTIL,44.44%,22.5
5,5218648017,Harmiles,0,64.05,CPT Shane Bieber UTIL Gerrit Cole UTIL Spencer Jones UTIL Nathan Lukes UTIL Jesus Sanchez UTIL Brett Bateman,,Austin Wells,UTIL,44.44%,2
6,5218315296,zonaque,0,62.05,CPT Shane Bieber UTIL Gerrit Cole UTIL Spencer Jones UTIL Ernie Clement UTIL Jesus Sanchez UTIL Ryan McMahon,,Trent Grisham,UTIL,38.89%,17
7,5218670443,Rallycap,0,58.95,CPT Gerrit Cole UTIL Jazz Chisholm Jr. UTIL Trent Grisham UTIL Spencer Jones UTIL Brett Bateman UTIL Austin Wells,,Ryan McMahon,UTIL,38.89%,3
8,5217835169,KILLANADZ24,0,54.8,CPT Vladimir Guerrero Jr. UTIL Gerrit Cole UTIL George Springer UTIL Alejandro Kirk UTIL George Lombard Jr. UTIL Andres Gimenez,,Ben Rice,UTIL,33.33%,0
9,5218571199,bleeski,0,51.95,CPT Gerrit Cole UTIL Trent Grisham UTIL Heliot Ramos UTIL George Lombard Jr. UTIL Brett Bateman UTIL Ryan McMahon,,George Lombard Jr.,UTIL,33.33%,0
10,5218360480,briguy13,0,51.3,CPT Ben Rice UTIL Gerrit Cole UTIL Alejandro Kirk UTIL Spencer Jones UTIL Jesus Sanchez UTIL Brett Bateman,,Jazz Chisholm Jr.,UTIL,27.78%,3
11,5218619493,Harvesters0812,0,50.95,CPT Gerrit Cole UTIL Luis Garcia Jr. UTIL Trent Grisham UTIL George Lombard Jr. UTIL Brett Bateman UTIL Austin Wells,,George Springer,UTIL,22.22%,2
12,5218542914,wittwerjoe,0,45.3,CPT Austin Wells UTIL Gerrit Cole UTIL Ben Rice UTIL Jazz Chisholm Jr. UTIL Trent Grisham UTIL Andres Gimenez,,Heliot Ramos,UTIL,22.22%,0
13,5218152849,Celticsnc,0,40,CPT Spencer Jones UTIL Shane Bieber UTIL George Springer UTIL Heliot Ramos UTIL Vladimir Guerrero Jr. UTIL Ernie Clement,,Alejandro Kirk,UTIL,16.67%,23
14,5218667051,crf_333,0,39.95,CPT Gerrit Cole UTIL Ben Rice UTIL Spencer Jones UTIL George Lombard Jr. UTIL Brett Bateman UTIL Ryan McMahon,,Nathan Lukes,UTIL,16.67%,2
15,5218036173,whoisjohngalt420,0,37.95,CPT Gerrit Cole UTIL Jazz Chisholm Jr. UTIL Heliot Ramos UTIL Spencer Jones UTIL Nathan Lukes UTIL Austin Wells,,Jesus Sanchez,UTIL,16.67%,0
16,5218610804,josephje,0,35,CPT Ryan McMahon UTIL Shane Bieber UTIL Ben Rice UTIL Jazz Chisholm Jr. UTIL Heliot Ramos UTIL Spencer Jones,,Luis Garcia Jr.,UTIL,11.11%,0
17,5218128508,KristianFTM,0,34.95,CPT Gerrit Cole UTIL Ben Rice UTIL Spencer Jones UTIL George Lombard Jr. UTIL Nathan Lukes UTIL Austin Wells,,Vladimir Guerrero Jr.,UTIL,11.11%,5
18,5218680360,BAlmeida402,0,25.3,CPT Austin Wells UTIL Gerrit Cole UTIL Ben Rice UTIL Luis Garcia Jr. UTIL George Springer UTIL Ryan McMahon,,Ernie Clement,UTIL,11.11%,3
,,,,,,,Andres Gimenez,UTIL,11.11%,5
,,,,,,,Brent Headrick,UTIL,5.56%,0
