Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5212544307,peterjpacheco,0,181.6,1B Joc Pederson 2B Royce Lewis 3B Blaze Jordan C Ivan Herrera OF Jordan Walker OF Jake McCarthy OF Jose Fermin P Gavin Williams P Jacob deGrom SS Masyn Winn,,Jacob deGrom,P,52.63%,28.85
2,5212420533,Byronn5,0,119.6,1B Michael Busch 2B Michael Massey 3B Josh Rojas C Carson Kelly OF Seiya Suzuki OF Jac Caglianone OF Tyrone Taylor P Gavin Williams P Jacob deGrom SS Dansby Swanson,,Gavin Williams,P,47.37%,19.75
3,5212549933,fheimes,0,118.6,1B Alec Burleson 2B Osleivis Basabe 3B Jose Fermin C Ivan Herrera OF Jordan Walker OF Jung Hoo Lee OF Jordan Beck P Gavin Williams P Jacob deGrom SS Masyn Winn,,Matthew Liberatore,P,26.32%,0.05
4,5212478981,whoisjohngalt420,0,108.6,1B Michael Busch 2B Angel Genao 3B Alex Bregman C Carson Kelly OF Ian Happ OF Jo Adell OF Steven Kwan P Gavin Williams P Jacob deGrom SS Dansby Swanson,,Shohei Ohtani,1B,26.32%,5
5,5212363414,zandwich,0,97.85,1B Andrew Vaughn 2B Brice Turang 3B Joey Ortiz C Ivan Herrera OF Jackson Chourio OF Riley Greene OF Zach McKinstry P Jacob deGrom P Griffin Jax SS Cooper Pratt,,Max Muncy,3B,26.32%,2
6,5212586453,xmalachi,0,96.15,1B Spencer Torkelson 2B Gleyber Torres 3B Kevin McGonigle C Dillon Dingler OF Kyle Tucker OF Max Clark OF Jordan Beck P Gavin Williams P Casey Legumina SS Masyn Winn,,Michael Busch,1B,26.32%,3
7,5212466444,DaBanker,0,94.15,1B Shohei Ohtani 2B Royce Lewis 3B Max Muncy C Austin Wynns OF Andy Pages OF Kyle Tucker OF Isaac Collins P Gavin Williams P Casey Legumina SS Kaelen Culpepper,,Taj Bradley,P,21.05%,14.45
8,5212530641,Rhombus87,0,91.3,1B Josh Bell 2B Nicky Lopez 3B Ezequiel Duran C Ryan Jeffers OF Wyatt Langford OF Brandon Nimmo OF Austin Martin P Jacob deGrom P Taj Bradley SS Corey Seager,,Ivan Herrera,C,21.05%,19
9,5212425310,moldova,0,90.3,1B Christian Walker 2B Jose Altuve 3B Yandy Diaz C James McCann OF Victor Mesa Jr. OF Taylor Trammell OF Daulton Varsho P Jacob deGrom P Taj Bradley SS Jeremy Pena,,Jo Adell,OF,21.05%,5
10,5212418079,jrice54,0,87.9,1B Michael Busch 2B JJ Wetherholt 3B Blaze Jordan C Ivan Herrera OF Pete Crow-Armstrong OF Seiya Suzuki OF Ian Happ P Jacob deGrom P Matthew Liberatore SS Kaelen Culpepper,,Steven Kwan,OF,21.05%,3
