Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5220090554,rwstephen,0,135.95,1B Joc Pederson 2B Zack Gelof 3B Ezequiel Duran C Jonah Heim OF Brandon Nimmo OF Henry Bolte OF Wyatt Langford P Reid Detmers P Randy Dobnak SS Corey Seager,,Mike Trout,OF,82.61%,3
2,5220137766,MissingManning,0,117.55,1B Nolan Schanuel 2B Zack Gelof 3B Ezequiel Duran C Austin Wynns OF Mike Trout OF Brandon Nimmo OF Henry Bolte P MacKenzie Gore P Reid Detmers SS Corey Seager,,Zack Gelof,2B,69.57%,0
3,5220134165,jc000000,0,109.55,1B Joc Pederson 2B Adam Frazier 3B Ezequiel Duran C Moises Ballesteros OF Mike Trout OF Brandon Nimmo OF Wyatt Langford P MacKenzie Gore P Reid Detmers SS Corey Seager,,Reid Detmers,P,65.22%,42.8
4,5220094420,Spizzwolf,0,107.55,1B Jake Burger 2B Nicky Lopez 3B Ezequiel Duran C Moises Ballesteros OF Mike Trout OF Brandon Nimmo OF Wyatt Langford P MacKenzie Gore P Reid Detmers SS Zach Neto,,MacKenzie Gore,P,56.52%,14.75
5,5220148784,Emac,0,105.5,1B Salvador Perez 2B Zack Gelof 3B Ezequiel Duran C Jonah Heim OF Mike Trout OF Henry Bolte OF Wade Meckler P Reid Detmers P J.T. Ginn SS Corey Seager,,Brandon Nimmo,OF,52.17%,7
6,5220141068,118JLK,0,97.5,1B Jeff McNeil 2B Zack Gelof 3B Denzer Guzman C Jonah Heim OF Mike Trout OF Henry Bolte OF Wade Meckler P Reid Detmers P J.T. Ginn SS Zach Neto,,J.T. Ginn,P,47.83%,14.7
7,5220074422,johnbrock636,0,94.55,1B Joc Pederson 2B Zack Gelof 3B Ezequiel Duran C Moises Ballesteros OF Mike Trout OF Josh Lowe OF Wyatt Langford P MacKenzie Gore P Reid Detmers SS Corey Seager,,Ezequiel Duran,3B,43.48%,0
8,5220121021,haitiankid79,0,91.55,1B Joc Pederson 2B Zack Gelof 3B Max Muncy C Jonah Heim OF Brandon Nimmo OF Lawrence Butler OF Jac Caglianone P MacKenzie Gore P Reid Detmers SS Corey Seager,,Jac Caglianone,1B,43.48%,8
9,5220093009,tn.cowboy,0,85.85,1B Jake Burger 2B Zack Gelof 3B Max Muncy C Jonah Heim OF Mike Trout OF Brandon Nimmo OF Wyatt Langford P Randy Dobnak P J.T. Ginn SS Zach Neto,,Joc Pederson,1B,39.13%,0
10,5220111480,Boltmantom,0,83.55,1B Joc Pederson 2B Zack Gelof 3B Nick Loftin C Jonah Heim OF Mike Trout OF Brandon Nimmo OF Evan Carter P MacKenzie Gore P Reid Detmers SS Zach Neto,,Corey Seager,SS,39.13%,10
11,5220110686,dylanjohn,0,82.85,1B Joc Pederson 2B Zack Gelof 3B Ezequiel Duran C Salvador Perez OF Brandon Nimmo OF Jac Caglianone OF Wyatt Langford P Randy Dobnak P J.T. Ginn SS Corey Seager,,Jonah Heim,C,39.13%,7
12,5220115207,dcw331,0,80.55,1B Jac Caglianone 2B Jeff McNeil 3B Denzer Guzman C Brian Serven OF Mike Trout OF Brandon Nimmo OF Tyler Tolbert P MacKenzie Gore P Reid Detmers SS Bobby Witt Jr.,,Zach Neto,SS,34.78%,2
13,5220088193,wittwerjoe,0,79.9,1B Jac Caglianone 2B Nick Loftin 3B Ezequiel Duran C Luke Maile OF Brandon Nimmo OF Evan Carter OF Wyatt Langford P MacKenzie Gore P Randy Dobnak SS Bobby Witt Jr.,,Wyatt Langford,OF,34.78%,22
