Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5201683118,Wanna_Square_Up1567,0,146.6,1B Shohei Ohtani 2B Cole Young 3B Weston Wilson C Cal Raleigh OF Kyle Tucker OF Julio Rodriguez OF Jasson Dominguez P Gavin Williams P Reid Detmers SS J.P. Crawford,,Gavin Williams,P,45.76%,33.35
2,5201654184,primeness,0,143.6,1B Willson Contreras 2B Jake Cronenworth 3B Max Muncy C Dalton Rushing OF Shohei Ohtani OF Jackson Merrill OF Jahmai Jones P Logan Henderson P Reid Detmers SS Christian Koss,,Jake Cronenworth,2B,32.20%,2
3,5201780681,scottd923,0,135.25,1B Willson Contreras 2B Jake Cronenworth 3B Luis Rengifo C Jonah Heim OF Shohei Ohtani OF Jackson Merrill OF Gavin Sheets P Gavin Williams P Taj Bradley SS Anthony Volpe,,Michael King,P,30.51%,13.3
4,5201653100,brown1975,0,129.25,1B Paul Goldschmidt 2B Kody Clemens 3B Amed Rosario C Victor Caratini OF Jackson Merrill OF Trevor Larnach OF Jasson Dominguez P Gerrit Cole P Gavin Williams SS Anthony Volpe,,Taj Bradley,P,28.81%,25.9
5,5201753379,deckeron,0,128.8,1B Willson Contreras 2B Jake Cronenworth 3B Max Muncy C Luis Campusano OF Kody Clemens OF Jackson Merrill OF Gavin Sheets P Gavin Williams P Jake Bennett SS Xander Bogaerts,,Jackson Merrill,OF,25.42%,18
6,5201706733,Jackie2424,0,127.25,1B Ty France 2B Jake Cronenworth 3B Tommy White C Jonah Heim OF Pete Crow-Armstrong OF Fernando Tatis Jr. OF Jackson Merrill P Gavin Williams P Taj Bradley SS Brayan Rocchio,,Ceddanne Rafaela,OF,23.73%,3
7,5201756453,andrewp332,0,124.649994,1B Ty France 2B Romy Gonzalez 3B Manny Machado C Jonah Heim OF Fernando Tatis Jr. OF Jackson Merrill OF Jahmai Jones P Gavin Williams P Michael King SS Zach Neto,,Willson Contreras,1B,23.73%,4
8,5201592240,jcrosby0017,0,124.4,1B Michael Busch 2B Brice Turang 3B Alex Bregman C William Contreras OF Seiya Suzuki OF Christian Yelich OF Ian Happ P Michael King P Seth Lugo SS Xander Bogaerts,,Paul Goldschmidt,1B,20.34%,4
9,5201749126,jdub.14,0,123.649994,1B Paul Goldschmidt 2B Jake Cronenworth 3B Max Muncy C Dalton Rushing OF Wilyer Abreu OF Ceddanne Rafaela OF Jackson Merrill P Gavin Williams P Michael King SS Anthony Volpe,,Jose Ramirez,3B,18.64%,0
10,5201560086,Extraqtt,0,121.7,1B Shohei Ohtani 2B Jake Cronenworth 3B Manny Machado C Cal Raleigh OF Fernando Tatis Jr. OF Steven Kwan OF Gavin Sheets P Reid Detmers P Landen Roupp SS Xander Bogaerts,,Jonah Heim,C,18.64%,2
11,5201533541,case987,0,118.25,1B Munetaka Murakami 2B Jazz Chisholm Jr. 3B Amed Rosario C Austin Wells OF Shohei Ohtani OF Max Schuemann OF Andrew Benintendi P Gavin Williams P Taj Bradley SS Anthony Volpe,,Romy Gonzalez,2B,18.64%,2
12,5201664699,WiLDM4Ch1NE,0,116.649994,1B Willson Contreras 2B Jake Cronenworth 3B Manny Machado C Carlos Narvaez OF Fernando Tatis Jr. OF Jackson Merrill OF Jahmai Jones P Gavin Williams P Michael King SS Jeremy Pena,,Jahmai Jones,OF,18.64%,5
13,5201724556,ti29349,0,116.25,1B Paul Goldschmidt 2B Jake Cronenworth 3B Jose Ramirez C Victor Caratini OF Ian Happ OF Jackson Merrill OF Garrett Mitchell P Logan Henderson P Taj Bradley SS Jeremy Pena,,Pete Crow-Armstrong,OF,16.95%,2
14,5201697734,Cashis89,0,114.35,1B Willson Contreras 2B Romy Gonzalez 3B Luis Rengifo C Carlos Narvaez OF Shohei Ohtani OF Ceddanne Rafaela OF Jackson Merrill P Gerrit Cole P Jake Bennett SS Cooper Pratt,,Shohei Ohtani,OF,16.95%,28
