Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5230477993,swalcorn,0,177.25,1B Vaughn Grissom 2B Travis Bazzana 3B Jose Ramirez C Moises Ballesteros OF Mike Trout OF Steven Kwan OF Jo Adell P George Kirby P Taj Bradley SS Zach Neto,,Gavin Williams,P,63.09%,-5.2
2,5230401569,JJSaenz (7/20),0,165.75,1B Vaughn Grissom 2B Travis Bazzana 3B Jose Ramirez C Tyler Stephenson OF Steven Kwan OF Petey Halpin OF Angel Martinez P George Kirby P Paul Skenes SS Zach Neto,,Aaron Nola,P,35.83%,19.9
3,5229859880,milligolf (4/20),0,161.5,1B Vaughn Grissom 2B Travis Bazzana 3B Jose Ramirez C Patrick Bailey OF Oneil Cruz OF Steven Kwan OF Jo Adell P Aaron Nola P Brandon Pfaadt SS Zach Neto,,Luke Keaschall,OF,34.59%,7
4,5230050654,Wanna_Square_Up1567 (4/20),0,161.25,1B Michael Busch 2B Travis Bazzana 3B Jose Ramirez C Patrick Bailey OF Byron Buxton OF Steven Kwan OF Luke Keaschall P George Kirby P Taj Bradley SS Brayan Rocchio,,Kaelen Culpepper,SS,31.97%,9
5,5229880256,spabhook,0,160.3,1B Rafael Devers 2B Nate Furman 3B Jose Ramirez C Cal Raleigh OF Steven Kwan OF Pete Crow-Armstrong OF Luke Keaschall P Clay Holmes P Michael King SS Kaelen Culpepper,,Byron Buxton,OF,31.76%,0
6,5230499807,Buckeye-Ninja (3/5),0,159.1,1B Vaughn Grissom 2B Travis Bazzana 3B Jose Ramirez C Ryan Jeffers OF Steven Kwan OF Jo Adell OF Angel Martinez P Aaron Nola P Taj Bradley SS Zach Neto,,Ryan Jeffers,C,25.81%,0
7,5230333406,tybry85 (6/20),0,158.3,1B Josh Naylor 2B Travis Bazzana 3B Jose Ramirez C Cal Raleigh OF JJ Bleday OF Dominic Canzone OF Julio Rodriguez P George Kirby P Gage Jump SS Elly De La Cruz,,Michael King,P,25.64%,24.95
8,5230137675,jnwallen (19/20),0,155.9,1B Michael Busch 2B Travis Bazzana 3B Jose Ramirez C Patrick Bailey OF Mike Trout OF Steven Kwan OF Petey Halpin P Taj Bradley P Paul Skenes SS Zach Neto,,Royce Lewis,1B,20.52%,11
9,5229935675,wazzu24 (2/20),0,154.95,1B Vaughn Grissom 2B Travis Bazzana 3B Jose Ramirez C Moises Ballesteros OF Mike Trout OF Steven Kwan OF Jo Adell P Brady Singer P Taj Bradley SS Elly De La Cruz,,Paul Skenes,P,17.43%,19.7
10,5230534786,kimberlylair (1/4),0,154.75,1B Rafael Devers 2B Nate Furman 3B Jose Ramirez C Cal Raleigh OF Byron Buxton OF Dominic Canzone OF Julio Rodriguez P George Kirby P Paul Skenes SS Kaelen Culpepper,,Rafael Devers,3B,16.45%,18
