Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
,,,,,,,Luis Campusano,C,17.39%,5
,,,,,,,Anthony Seigler,2B,17.39%,5
,,,,,,,Jarren Duran,OF,17.39%,0
,,,,,,,Caleb Durbin,3B,17.39%,4
,,,,,,,Nick Kurtz,1B,17.39%,2
,,,,,,,Kike Hernandez,3B,13.04%,0
,,,,,,,Xander Bogaerts,SS,13.04%,5
,,,,,,,Connor Wong,C,13.04%,2
,,,,,,,Randy Arozarena,OF,13.04%,17
,,,,,,,Daniel Susac,C,13.04%,18
,,,,,,,Cole Young,2B,13.04%,13
,,,,,,,Jacob Wilson,SS,13.04%,10
,,,,,,,Jeff McNeil,2B,8.70%,3
,,,,,,,Andruw Monasterio,SS,8.70%,7
,,,,,,,Jake Cronenworth,2B,8.70%,0
,,,,,,,Masataka Yoshida,OF,8.70%,3
,,,,,,,Julio Rodriguez,OF,8.70%,0
,,,,,,,Lawrence Butler,OF,8.70%,16
,,,,,,,Jase Bowen,OF,8.70%,0
,,,,,,,Jackson Merrill,OF,8.70%,3
,,,,,,,Dalton Rushing,C,8.70%,18
,,,,,,,Bryce Eldridge,1B,8.70%,6
,,,,,,,Teoscar Hernandez,OF,4.35%,21
,,,,,,,Rafael Devers,1B,4.35%,13
,,,,,,,Kyle Tucker,OF,4.35%,9
,,,,,,,Josh Naylor,1B,4.35%,6
,,,,,,,Luke Raley,OF,4.35%,0
,,,,,,,Carlos Cortes,OF,4.35%,6
,,,,,,,Christian Koss,2B,4.35%,3
,,,,,,,Dominic Canzone,OF,4.35%,4
,,,,,,,Tommy White,3B,4.35%,0
