Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5203840741,BUdropout,0,129.55,1B Willson Contreras 2B Anthony Seigler 3B Max Muncy C Dalton Rushing OF Heliot Ramos OF Wilyer Abreu OF Ceddanne Rafaela P Sonny Gray P Roki Sasaki SS Andruw Monasterio,,Sonny Gray,P,62.00%,16.35
2,5203888081,Darkmen715,0,128.25,1B Willson Contreras 2B Cole Young 3B Max Muncy C Jonah Heim OF Wilyer Abreu OF Ceddanne Rafaela OF Lawrence Butler P Roki Sasaki P Bryan Woo SS Xander Bogaerts,,Roki Sasaki,P,62.00%,21.2
3,5203866120,tom.kingery28,0,126.55,1B Willson Contreras 2B Anthony Seigler 3B Caleb Durbin C Jonah Heim OF Wilyer Abreu OF Andy Pages OF Ceddanne Rafaela P Sonny Gray P Roki Sasaki SS Mookie Betts,,Wilyer Abreu,OF,52.00%,14
4,5203872680,joephoto,0,121.25,1B Willson Contreras 2B Cole Young 3B Max Muncy C Cal Raleigh OF Randy Arozarena OF Dominic Canzone OF Ceddanne Rafaela P Sonny Gray P Robbie Ray SS Andruw Monasterio,,Anthony Seigler,2B,38.00%,5
5,5203876796,r2phantom,0,120.55,1B Rafael Devers 2B Cole Young 3B Kike Hernandez C Dalton Rushing OF Randy Arozarena OF Fernando Tatis Jr. OF Wilyer Abreu P Sonny Gray P Roki Sasaki SS Xander Bogaerts,,Bryan Woo,P,34.00%,13.05
6,5203849496,meyers2305,0,118.55,1B Freddie Freeman 2B Anthony Seigler 3B Luis Rengifo C Dalton Rushing OF Teoscar Hernandez OF Kyle Tucker OF Jackson Merrill P Sonny Gray P Roki Sasaki SS Mookie Betts,,Willy Adames,SS,32.00%,10
7,5203904468,Stree,0,117.55,1B Willson Contreras 2B Anthony Seigler 3B Luis Rengifo C Luis Campusano OF Fernando Tatis Jr. OF Wilyer Abreu OF Ceddanne Rafaela P Sonny Gray P Roki Sasaki SS Andruw Monasterio,,Fernando Tatis Jr.,OF,32.00%,3
8,5203894821,doinky1,0,115.25,1B Rafael Devers 2B Anthony Seigler 3B Manny Machado C Jonah Heim OF Heliot Ramos OF Wilyer Abreu OF Ceddanne Rafaela P Roki Sasaki P Bryan Woo SS Jacob Wilson,,Ceddanne Rafaela,OF,32.00%,17
9,5203895878,Countrystorm3379,0,114.25,1B Freddie Freeman 2B Anthony Seigler 3B Kike Hernandez C Daniel Susac OF Tommy Edman OF Randy Arozarena OF Ceddanne Rafaela P Sonny Gray P Robbie Ray SS Jacob Wilson,,Andy Pages,OF,30.00%,8
10,5203897222,d9144,0,113.25,1B Willson Contreras 2B Anthony Seigler 3B Caleb Durbin C Jonah Heim OF Wilyer Abreu OF Ceddanne Rafaela OF Tyler Soderstrom P Roki Sasaki P Bryan Woo SS Jacob Wilson,,Willson Contreras,1B,28.00%,19
11,5203845775,Raiderfanatic2195,0,113.100006,1B Bryce Eldridge 2B Tommy Edman 3B Max Muncy C Dalton Rushing OF Kike Hernandez OF Teoscar Hernandez OF Jung Hoo Lee P Robbie Ray P Roki Sasaki SS Willy Adames,,Jonah Heim,C,26.00%,10
12,5203875045,H-Rex,0,112.55,1B Ty France 2B Anthony Seigler 3B Luis Rengifo C Dalton Rushing OF Kyle Tucker OF Fernando Tatis Jr. OF Wilyer Abreu P Sonny Gray P Roki Sasaki SS Mookie Betts,,Max Muncy,3B,26.00%,0
13,5203841619,bjonesiv,0,112.100006,1B Bryce Eldridge 2B Luis Arraez 3B Max Muncy C Daniel Susac OF Jung Hoo Lee OF Heliot Ramos OF Andy Pages P Robbie Ray P Roki Sasaki SS Mookie Betts,,Robbie Ray,P,26.00%,23.9
14,5203895682,RR1948,0,108.55,1B Willson Contreras 2B Anthony Seigler 3B Max Muncy C Daniel Susac OF Fernando Tatis Jr. OF Heliot Ramos OF Dominic Canzone P Sonny Gray P Roki Sasaki SS Willy Adames,,Manny Machado,3B,24.00%,0
15,5203840276,jacksonboy42,0,108.100006,1B Freddie Freeman 2B Anthony Seigler 3B Max Muncy C Jonah Heim OF Teoscar Hernandez OF Masataka Yoshida OF Jung Hoo Lee P Robbie Ray P Roki Sasaki SS Mookie Betts,,Dalton Rushing,C,24.00%,18
16,5203905541,Bay101,0,107.05,1B Willson Contreras 2B Tommy Edman 3B Max Muncy C Dalton Rushing OF Masataka Yoshida OF Wilyer Abreu OF Ceddanne Rafaela P JP Sears P Roki Sasaki SS Jacob Wilson,,Luis Arraez,2B,24.00%,2
17,5203894015,bigosillusions,0,104.55,1B Freddie Freeman 2B Anthony Seigler 3B Caleb Durbin C Dalton Rushing OF Masataka Yoshida OF Wilyer Abreu OF Andy Pages P Sonny Gray P Roki Sasaki SS Mookie Betts,,Caleb Durbin,3B,22.00%,4
18,5203856404,Baca369,0,103.55,1B Ty France 2B Cole Young 3B Manny Machado C Dalton Rushing OF Tommy Edman OF Wilyer Abreu OF Andy Pages P Sonny Gray P Roki Sasaki SS Xander Bogaerts,,Mookie Betts,SS,22.00%,12
19,5203866478,CNOLAN,0,103.100006,1B Nick Kurtz 2B Anthony Seigler 3B Caleb Durbin C Cal Raleigh OF Fernando Tatis Jr. OF Wilyer Abreu OF Lawrence Butler P Robbie Ray P Roki Sasaki SS Willy Adames,,Cole Young,2B,20.00%,13
20,5203832437,patricklivings,0,100.55,1B Ty France 2B Tommy Edman 3B Manny Machado C Daniel Susac OF Luis Rengifo OF Fernando Tatis Jr. OF Wilyer Abreu P Sonny Gray P Roki Sasaki SS Willy Adames,,Freddie Freeman,1B,18.00%,3
20,5203867652,brandonabk,0,100.55,1B Willson Contreras 2B Jeff McNeil 3B Manny Machado C Connor Wong OF Fernando Tatis Jr. OF Wilyer Abreu OF Ceddanne Rafaela P Sonny Gray P Roki Sasaki SS Xander Bogaerts,,Andruw Monasterio,SS,18.00%,7
22,5203860705,BigRedMachine1975,0,100.4,1B Willson Contreras 2B Anthony Seigler 3B Caleb Durbin C Connor Wong OF Randy Arozarena OF Wilyer Abreu OF Tyler Soderstrom P Sonny Gray P Bryan Woo SS Willy Adames,,Heliot Ramos,OF,18.00%,12
23,5203845441,Extraqtt,0,99.55,1B Freddie Freeman 2B Luis Arraez 3B Max Muncy C Daniel Susac OF Jung Hoo Lee OF Heliot Ramos OF Andy Pages P Sonny Gray P Roki Sasaki SS Willy Adames,,Randy Arozarena,OF,18.00%,17
23,5203892965,LukeKidd,0,99.55,1B Ty France 2B Luis Arraez 3B Luis Rengifo C Jonah Heim OF Tommy Edman OF Wilyer Abreu OF Andy Pages P Sonny Gray P Roki Sasaki SS Jacob Wilson,,Ty France,1B,16.00%,4
25,5203848048,MrPointman,0,96.4,1B Ty France 2B Tommy Edman 3B Luis Rengifo C Jonah Heim OF Randy Arozarena OF Fernando Tatis Jr. OF Jung Hoo Lee P Sonny Gray P Bryan Woo SS Willy Adames,,Daniel Susac,C,16.00%,18
25,5203856672,sportsfan14,0,96.4,1B Willson Contreras 2B Cole Young 3B Caleb Durbin C Cal Raleigh OF Masataka Yoshida OF Wilyer Abreu OF Jarren Duran P Sonny Gray P Bryan Woo SS Willy Adames,,JP Sears,P,16.00%,0.85
27,5203905133,sellputs,0,95.4,1B Willson Contreras 2B Anthony Seigler 3B Manny Machado C Connor Wong OF Wilyer Abreu OF Dominic Canzone OF Ceddanne Rafaela P Sonny Gray P Bryan Woo SS Xander Bogaerts,,Jarren Duran,OF,16.00%,0
